,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Broncos vs Sea Eagles,2013
1,Interchange - Sin Bin Return,Matt Gillett,,,,Broncos,79:13,Broncos vs Sea Eagles,2013
2,Line Dropout,Scott Prince,,,,Broncos,75:57,Broncos vs Sea Eagles,2013
3,Interchange - Sin Bin Return,Peter Wallace,,,,Broncos,73:58,Broncos vs Sea Eagles,2013
4,Eagles Interchange - Sin Bin Return,Jamie Lyon,,,,Sea,70:34,Broncos vs Sea Eagles,2013
5,Linebreak,Brent Kite,,,,Sea Eagles,70:13,Broncos vs Sea Eagles,2013
6,Interchange - Sin Bin Return,Scott Prince,,,,Broncos,67:45,Broncos vs Sea Eagles,2013
7,Conversion-Missed,Jamie Lyon,,,,Sea Eagles,55:43,Broncos vs Sea Eagles,2013
8,Try,David Williams,,,14-22,Sea Eagles,54:24,Broncos vs Sea Eagles,2013
9,Kick Bomb,Daly Cherry-Evans,,,,Sea Eagles,54:07,Broncos vs Sea Eagles,2013
10,Conversion-Made,Jamie Lyon,,,14-18,Sea Eagles,52:43,Broncos vs Sea Eagles,2013
11,Try,Steve Matai,,,14-16,Sea Eagles,51:39,Broncos vs Sea Eagles,2013
12,Linebreak,Steve Matai,,,,Sea Eagles,51:35,Broncos vs Sea Eagles,2013
13,Conversion-Made,Jamie Lyon,,,14-12,Sea Eagles,48:40,Broncos vs Sea Eagles,2013
14,Try,Daly Cherry-Evans,,,14-10,Sea Eagles,47:32,Broncos vs Sea Eagles,2013
15,Linebreak,Daly Cherry-Evans,,,,Sea Eagles,47:31,Broncos vs Sea Eagles,2013
16,Penalty - Ball Strip,Matt Gillett,,,,Broncos,46:28,Broncos vs Sea Eagles,2013
17,Kick Bomb,Daly Cherry-Evans,,,,Sea Eagles,41:05,Broncos vs Sea Eagles,2013
18,Interchange - Sin Bin Return,Jack Reed,,,,Broncos,37:27,Broncos vs Sea Eagles,2013
19,Penalty - 2nd Effort,Daly Cherry-Evans,,,,Sea Eagles,36:14,Broncos vs Sea Eagles,2013
20,Conversion-Made,Scott Prince,,,14-6,Broncos,35:01,Broncos vs Sea Eagles,2013
21,Try,Lachlan Maranta,,,12-6,Broncos,33:30,Broncos vs Sea Eagles,2013
22,Linebreak,Lachlan Maranta,,,,Broncos,33:28,Broncos vs Sea Eagles,2013
23,Linebreak,Peter Wallace,,,,Broncos,33:06,Broncos vs Sea Eagles,2013
24,Penalties - Other,Corey Norman,,,,Broncos,29:00,Broncos vs Sea Eagles,2013
25,Conversion-Made,Jamie Lyon,,,8-6,Sea Eagles,28:32,Broncos vs Sea Eagles,2013
26,Try,Steve Matai,,,8-4,Sea Eagles,27:19,Broncos vs Sea Eagles,2013
27,Linebreak,Steve Matai,,,,Sea Eagles,27:16,Broncos vs Sea Eagles,2013
28,Line Dropout,Scott Prince,,,,Broncos,26:53,Broncos vs Sea Eagles,2013
29,Penalty - Obstruction,Jamie Lyon,,,,Sea Eagles,22:27,Broncos vs Sea Eagles,2013
30,Kick Bomb,Daly Cherry-Evans,,,,Sea Eagles,22:24,Broncos vs Sea Eagles,2013
31,Conversion-Made,Scott Prince,,,8-0,Broncos,20:16,Broncos vs Sea Eagles,2013
32,Try,Matt Gillett,,,6-0,Broncos,18:59,Broncos vs Sea Eagles,2013
33,Linebreak,Matt Gillett,,,,Broncos,18:57,Broncos vs Sea Eagles,2013
34,Penalty - Offside inside 10m,Matt Ballin,,,,Sea Eagles,18:05,Broncos vs Sea Eagles,2013
35,Penalty - Holding Down,Richie Fa'aoso,,,,Sea Eagles,16:50,Broncos vs Sea Eagles,2013
36,Penalty Shot-Made,Scott Prince,,,2-0,Broncos,14:48,Broncos vs Sea Eagles,2013
37,Penalty - Marker Not Square,Anthony Watmough,,,,Sea Eagles,12:07,Broncos vs Sea Eagles,2013
38,Penalty - Ball Strip,Kieran Foran,,,,Sea Eagles,11:39,Broncos vs Sea Eagles,2013
39,Penalty - Dangerous Tackle,Daly Cherry-Evans,,,,Sea Eagles,10:28,Broncos vs Sea Eagles,2013
40,Kick Bomb,Daly Cherry-Evans,,,,Sea Eagles,08:16,Broncos vs Sea Eagles,2013
41,Penalty - Ball Strip,Justin Hodges,,,,Broncos,06:56,Broncos vs Sea Eagles,2013
42,Penalty - Leg Pull,Kieran Foran,,,,Sea Eagles,06:33,Broncos vs Sea Eagles,2013
43,Line Dropout,Scott Prince,,,,Broncos,02:42,Broncos vs Sea Eagles,2013
44,Penalty - Offside Downtown,Corey Parker,,,,Broncos,00:55,Broncos vs Sea Eagles,2013
45,KICK OFF,,,,,,00:00,Broncos vs Sea Eagles,2013
