,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Broncos vs Titans,2013
1,Linebreak,Dave Taylor,,,,Titans,79:18,Broncos vs Titans,2013
2,Penalty - Hand in the Ruck,Jarrod Wallace,,,,Broncos,77:10,Broncos vs Titans,2013
3,Interchange - Sin Bin Return,William Zillman,,,,Titans,76:05,Broncos vs Titans,2013
4,Penalty - Ball Strip,Andrew McCullough,,,,Broncos,72:44,Broncos vs Titans,2013
5,Interchange - Sin Bin Return,Lachlan Maranta,,,,Broncos,71:43,Broncos vs Titans,2013
6,Penalty - Ball Strip,Mark Minichiello,,,,Titans,71:05,Broncos vs Titans,2013
7,Penalty - Escorts,Jamal Idris,,,,Titans,70:26,Broncos vs Titans,2013
8,Kick Bomb,Corey Norman,,,,Broncos,70:23,Broncos vs Titans,2013
9,Penalty - Ball Strip,Sam Thaiday,,,,Broncos,67:56,Broncos vs Titans,2013
10,Penalty - Slow Peel,Jarrod Wallace,,,,Broncos,65:01,Broncos vs Titans,2013
11,Conversion-Made,Corey Parker,,,32-6,Broncos,63:21,Broncos vs Titans,2013
12,Try,Lachlan Maranta,,,30-6,Broncos,61:52,Broncos vs Titans,2013
13,Penalty Shot-Made,Corey Parker,,,26-6,Broncos,59:29,Broncos vs Titans,2013
14,Penalty - Pressure on Kicker,Nate Myles,,,,Titans,57:59,Broncos vs Titans,2013
15,Interchange - Sin Bin Return,Matt Srama,,,,Titans,54:12,Broncos vs Titans,2013
16,Linebreak,David Mead,,,,Titans,54:01,Broncos vs Titans,2013
17,Penalty - Slow Peel,David Stagg,,,,Broncos,53:04,Broncos vs Titans,2013
18,Interchange - Sin Bin Return,Jake Granville,,,,Broncos,51:16,Broncos vs Titans,2013
19,Kick Bomb,Peter Wallace,,,,Broncos,49:54,Broncos vs Titans,2013
20,Kick Bomb,Peter Wallace,,,,Broncos,48:00,Broncos vs Titans,2013
21,Conversion-Made,Aidan Sezer,,,24-6,Titans,46:02,Broncos vs Titans,2013
22,Try,David Mead,,,24-4,Titans,45:14,Broncos vs Titans,2013
23,Linebreak,Albert Kelly,,,,Titans,45:06,Broncos vs Titans,2013
24,Interchange - Sin Bin Return,Alex Glenn,,,,Broncos,42:15,Broncos vs Titans,2013
25,Kick Bomb,Peter Wallace,,,,Broncos,42:11,Broncos vs Titans,2013
26,Interchange - Sin Bin Return,David Stagg,,,,Broncos,39:55,Broncos vs Titans,2013
27,Penalty - 2nd Effort,Peter Wallace,,,,Broncos,36:38,Broncos vs Titans,2013
28,Penalty - Hand in the Ruck,Alex Glenn,,,,Broncos,36:07,Broncos vs Titans,2013
29,Conversion-Made,Corey Parker,,,24-0,Broncos,34:39,Broncos vs Titans,2013
30,Try,Jack Reed,,,22-0,Broncos,33:29,Broncos vs Titans,2013
31,Linebreak,Jack Reed,,,,Broncos,33:29,Broncos vs Titans,2013
32,On Report,Dave Taylor,,,,Titans,32:42,Broncos vs Titans,2013
33,Kick Bomb,Peter Wallace,,,,Broncos,32:37,Broncos vs Titans,2013
34,Penalty - Pressure on Kicker,Dave Taylor,,,,Titans,32:37,Broncos vs Titans,2013
35,Sin Bin,Greg Bird,,,,Titans,31:13,Broncos vs Titans,2013
36,Penalty - Dangerous Tackle,Greg Bird,,,,Titans,31:06,Broncos vs Titans,2013
37,Penalty Shot-Made,Corey Parker,,,18-0,Broncos,30:35,Broncos vs Titans,2013
38,Penalty - Holding Down,Ryan James,,,,Titans,29:07,Broncos vs Titans,2013
39,Penalty - Dangerous Tackle,Jamal Idris,,,,Titans,28:42,Broncos vs Titans,2013
40,Penalty Shot-Made,Corey Parker,,,16-0,Broncos,27:21,Broncos vs Titans,2013
41,Penalty - Dangerous Tackle,Ashley Harrison,,,,Titans,26:01,Broncos vs Titans,2013
42,Penalty - Dangerous Tackle,Dave Taylor,,,,Titans,25:06,Broncos vs Titans,2013
43,Penalty - Crowding,Dave Taylor,,,,Titans,24:20,Broncos vs Titans,2013
44,Kick Bomb,Ben Hunt,,,,Broncos,22:14,Broncos vs Titans,2013
45,Penalty Shot-Made,Corey Parker,,,14-0,Broncos,20:46,Broncos vs Titans,2013
46,Penalty - Marker Not Square,Luke Bailey,,,,Titans,19:29,Broncos vs Titans,2013
47,Penalty - Offside inside 10m,Mark Minichiello,,,,Titans,18:40,Broncos vs Titans,2013
48,Kick Bomb,Corey Norman,,,,Broncos,17:12,Broncos vs Titans,2013
49,Kick Bomb,Aidan Sezer,,,,Titans,15:37,Broncos vs Titans,2013
50,Kick Bomb,Aidan Sezer,,,,Titans,14:02,Broncos vs Titans,2013
51,Conversion-Made,Corey Parker,,,12-0,Broncos,10:11,Broncos vs Titans,2013
52,Try,Sam Thaiday,,,10-0,Broncos,08:47,Broncos vs Titans,2013
53,Linebreak,Sam Thaiday,,,,Broncos,08:46,Broncos vs Titans,2013
54,Penalty - Holding Down,Mark Minichiello,,,,Titans,07:57,Broncos vs Titans,2013
55,Kick Bomb,Aidan Sezer,,,,Titans,07:18,Broncos vs Titans,2013
56,Kick Bomb,Albert Kelly,,,,Titans,05:36,Broncos vs Titans,2013
57,Conversion-Made,Corey Parker,,,6-0,Broncos,03:25,Broncos vs Titans,2013
58,Try,Josh Hoffman,,,4-0,Broncos,01:50,Broncos vs Titans,2013
59,Linebreak,Josh Hoffman,,,,Broncos,01:50,Broncos vs Titans,2013
60,KICK OFF,,,,,,00:00,Broncos vs Titans,2013
