,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Dragons vs Eels,2013
1,Penalty - Hand in the Ruck,Michael Weyman,,,,Dragons,79:10,Dragons vs Eels,2013
2,Penalty - Pressure on Kicker,Bronson Harrison,,,,Dragons,78:47,Dragons vs Eels,2013
3,Conversion-Made,Chris Sandow,,,32-12,Eels,77:23,Dragons vs Eels,2013
4,Try,Peni Terepo,,,32-10,Eels,76:42,Dragons vs Eels,2013
5,Linebreak,Peni Terepo,,,,Eels,76:39,Dragons vs Eels,2013
6,Interchange - Sin Bin Return,Nathan Fien,,,,Dragons,75:24,Dragons vs Eels,2013
7,Conversion-Made,Jamie Soward,,,32-6,Dragons,74:12,Dragons vs Eels,2013
8,Try,Josh Dugan,,,30-6,Dragons,72:52,Dragons vs Eels,2013
9,Interchange - Sin Bin Return,Jarryd Hayne,,,,Eels,71:14,Dragons vs Eels,2013
10,Kick Bomb,Nathan Fien,,,,Dragons,68:53,Dragons vs Eels,2013
11,Penalty - Obstruction,Michael Weyman,,,,Dragons,66:49,Dragons vs Eels,2013
12,Penalties - Other,Chris Sandow,,,,Eels,65:10,Dragons vs Eels,2013
13,Penalty - Shoulder Charge,Reni Maitua,,,,Eels,63:22,Dragons vs Eels,2013
14,Conversion-Made,Chris Sandow,,,26-6,Eels,61:39,Dragons vs Eels,2013
15,Try,Peni Terepo,,,26-4,Eels,60:42,Dragons vs Eels,2013
16,Linebreak,Chris Sandow,,,,Eels,60:37,Dragons vs Eels,2013
17,Penalty - Slow Peel,Kaysa Pritchard,,,,Eels,57:39,Dragons vs Eels,2013
18,Interchange - Sin Bin Return,Daniel Vidot,,,,Dragons,55:37,Dragons vs Eels,2013
19,Interchange - Sin Bin Return,Damien Cook,,,,Dragons,51:04,Dragons vs Eels,2013
20,Linebreak,Josh Dugan,,,,Dragons,50:52,Dragons vs Eels,2013
21,Penalty - Leg Pull,Tyson Frizell,,,,Dragons,48:18,Dragons vs Eels,2013
22,Conversion-Made,Jamie Soward,,,26-0,Dragons,46:01,Dragons vs Eels,2013
23,Try,Josh Dugan,,,24-0,Dragons,44:43,Dragons vs Eels,2013
24,Kick Bomb,Chris Sandow,,,,Eels,39:40,Dragons vs Eels,2013
25,Conversion-Missed,Jamie Soward,,,,Dragons,37:21,Dragons vs Eels,2013
26,Try,Daniel Vidot,,,20-0,Dragons,35:46,Dragons vs Eels,2013
27,Linebreak,Daniel Vidot,,,,Dragons,35:46,Dragons vs Eels,2013
28,Line Dropout,Chris Sandow,,,,Eels,35:01,Dragons vs Eels,2013
29,Line Dropout,Jamie Soward,,,,Dragons,29:53,Dragons vs Eels,2013
30,Penalty - Crowding,Cameron King,,,,Dragons,28:01,Dragons vs Eels,2013
31,Conversion-Missed,Jamie Soward,,,,Dragons,26:34,Dragons vs Eels,2013
32,Try,Daniel Vidot,,,16-0,Dragons,25:01,Dragons vs Eels,2013
33,Linebreak,Daniel Vidot,,,,Dragons,24:59,Dragons vs Eels,2013
34,Linebreak,Bronson Harrison,,,,Dragons,24:49,Dragons vs Eels,2013
35,Linebreak,Josh Dugan,,,,Dragons,24:18,Dragons vs Eels,2013
36,Kick Bomb,Jamie Soward,,,,Dragons,23:27,Dragons vs Eels,2013
37,Conversion-Made,Jamie Soward,,,12-0,Dragons,20:26,Dragons vs Eels,2013
38,Try,Ben Creagh,,,10-0,Dragons,19:16,Dragons vs Eels,2013
39,Linebreak,Ben Creagh,,,,Dragons,19:14,Dragons vs Eels,2013
40,Penalty - Ball Strip,Joseph Paulo,,,,Eels,18:24,Dragons vs Eels,2013
41,Penalty - Hand in the Ruck,Joseph Paulo,,,,Eels,17:17,Dragons vs Eels,2013
42,Penalty - Hand in the Ruck,Bronson Harrison,,,,Dragons,12:30,Dragons vs Eels,2013
43,Kick Bomb,Jamie Soward,,,,Dragons,11:52,Dragons vs Eels,2013
44,Penalty - Dangerous Tackle,Jarryd Hayne,,,,Eels,08:15,Dragons vs Eels,2013
45,Penalty - Hand in the Ruck,Josh Dugan,,,,Dragons,07:28,Dragons vs Eels,2013
46,Line Dropout,Jamie Soward,,,,Dragons,06:34,Dragons vs Eels,2013
47,Interchange - Sin Bin Return,Chase Stanley,,,,Dragons,04:15,Dragons vs Eels,2013
48,Penalty - Lying in the Ruck,Peni Terepo,,,,Eels,03:32,Dragons vs Eels,2013
49,Conversion-Made,Jamie Soward,,,6-0,Dragons,02:35,Dragons vs Eels,2013
50,Try,Trent Merrin,,,4-0,Dragons,01:24,Dragons vs Eels,2013
51,Linebreak,Trent Merrin,,,,Dragons,01:24,Dragons vs Eels,2013
52,Penalty - Hand in the Ruck,Kelepi Tanginoa,,,,Eels,00:38,Dragons vs Eels,2013
53,KICK OFF,,,,,,00:00,Dragons vs Eels,2013
