,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Billy
                
                  Slater",1.0,Fullback,,90:00,,-,-,-,-,-,-,-,,1,,22.0,210.0,118,,38.0,-,-,-,-,6,-,-,-,1,11,-,,1,6,34,57.0,1.55,,100%,2.0,-,-,-,15,,1,12,-,-,1,-,-,-,,-,-,-,-,-,-,-,,90:00,-,Storm,10,2013-05-20T09:00:00Z,Storm vs Sea Eagles,2013
1,,"Sisa
                
                  Waqa",2.0,Winger,,90:00,,-,-,-,-,-,-,-,,1,,16.0,117.0,8,,32.0,-,-,-,-,3,-,-,-,-,-,-,,1,-,7,26.0,0.44,,100%,5.0,-,-,-,3,,-,-,-,-,-,-,-,-,,-,2,-,1,-,-,-,,90:00,-,Storm,10,2013-05-20T09:00:00Z,Storm vs Sea Eagles,2013
2,,"Maurice
                
                  Blair",16.0,Centre,,90:00,,4,1,-,-,-,-,-,,-,,9.0,93.0,-,,41.0,-,-,-,-,4,-,-,-,-,-,-,,-,-,5,15.0,0.56,,90.9%,20.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,90:00,-,Storm,10,2013-05-20T09:00:00Z,Storm vs Sea Eagles,2013
3,,"Justin
                
                  O'Neill",4.0,Centre,,90:00,,-,-,-,-,-,-,-,,1,,13.0,127.0,-,,42.0,-,-,-,-,2,-,-,-,2,8,-,,-,-,3,15.0,0.23,,85%,17.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,90:00,-,Storm,10,2013-05-20T09:00:00Z,Storm vs Sea Eagles,2013
4,,"Mahe
                
                  Fonua",5.0,Winger,,90:00,,-,-,-,-,-,-,-,,-,,16.0,152.0,-,,70.0,-,-,-,-,4,-,-,-,-,-,-,,-,-,7,26.0,0.44,,57.1%,4.0,3,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,90:00,-,Storm,10,2013-05-20T09:00:00Z,Storm vs Sea Eagles,2013
5,,"Gareth
                
                  Widdop",6.0,Five-Eighth,,90:00,,-,-,-,-,-,-,-,,-,,9.0,64.0,-,,13.0,-,-,1,-,-,-,-,-,-,-,-,,-,2,38,50.0,4.22,,81.8%,18.0,3,1,-,1,,3,31,1,-,2,-,1,-,,-,-,-,-,-,-,-,,90:00,-,Storm,10,2013-05-20T09:00:00Z,Storm vs Sea Eagles,2013
6,,"Cooper
                
                  Cronk",7.0,Halfback,,90:00,,-,-,-,-,-,-,-,,-,,11.0,89.0,17,,24.0,-,-,-,-,1,-,-,-,-,-,-,,1,10,42,77.0,3.82,,93.1%,27.0,2,-,-,-,,22,463,1,4,5,-,4,1,,-,1,-,-,-,-,-,,90:00,-,Storm,10,2013-05-20T09:00:00Z,Storm vs Sea Eagles,2013
7,,"Jesse
                
                  Bromwich",8.0,Prop,,56:00,,-,-,-,-,-,-,-,,-,,17.0,171.0,51,,58.0,-,-,-,-,2,14,-,-,-,-,-,,1,1,1,18.0,0.06,,96.6%,28.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,56:00,-,Storm,10,2013-05-20T09:00:00Z,Storm vs Sea Eagles,2013
8,,"Cameron
                
                  Smith",9.0,Hooker,,33:00,,6,-,1,1,2,100%,-,,1,,11.0,80.0,-,,22.0,-,-,-,-,1,2,-,-,9,64,-,,2,13,129,137.0,11.73,,89.1%,41.0,4,1,-,-,,3,91,-,-,1,-,-,-,,-,-,-,1,-,-,-,,33:00,-,Storm,10,2013-05-20T09:00:00Z,Storm vs Sea Eagles,2013
9,,"Bryan
                
                  Norrie",10.0,Prop,,38:00,,-,-,-,-,-,-,-,,-,,14.0,116.0,21,,40.0,-,-,-,-,2,12,-,-,-,-,-,,-,-,-,14.0,-,,94.1%,16.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,1,1,-,-,-,,38:00,-,Storm,10,2013-05-20T09:00:00Z,Storm vs Sea Eagles,2013
10,,"Kevin
                
                  Proctor",11.0,2nd Row,,67:00,,-,-,-,-,-,-,-,,-,,9.0,72.0,-,,38.0,-,-,-,-,1,9,-,-,-,-,-,,-,-,1,11.0,0.11,,93.9%,31.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,67:00,-,Storm,10,2013-05-20T09:00:00Z,Storm vs Sea Eagles,2013
11,,"Ryan
                
                  Hoffman",12.0,2nd Row,,90:00,,-,-,-,-,-,-,-,,1,,16.0,115.0,5,,48.0,-,-,-,-,3,14,-,-,1,8,-,,-,1,-,16.0,-,,89.6%,43.0,4,1,-,-,,-,-,-,-,-,-,-,-,,-,1,-,1,-,-,-,,90:00,-,Storm,10,2013-05-20T09:00:00Z,Storm vs Sea Eagles,2013
12,,"Ryan
                
                  Hinchcliffe",19.0,Lock,,57:00,,-,-,-,-,-,-,-,,1,,8.0,51.0,-,,11.0,-,-,-,-,-,7,-,-,-,-,-,,-,2,3,10.0,0.38,,97.4%,37.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,57:00,-,Storm,10,2013-05-20T09:00:00Z,Storm vs Sea Eagles,2013
