,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Kevin
                
                  Locke",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,-,,14.0,115.0,32,,36.0,-,-,1,-,5,-,-,-,2,10,-,,3,-,18,33.0,1.29,,50%,2.0,2,-,-,5,,3,43,1,-,2,-,1,-,,-,2,-,-,-,-,-,,80:00,-,Warriors,11,2013-05-26T04:00:00Z,Warriors vs Knights,2013
1,,"Glen
                
                  Fisiiahi",18.0,Winger,,80:00,,-,-,-,-,-,-,-,,-,,9.0,107.0,46,,32.0,-,-,-,-,-,-,-,-,-,-,-,,-,-,2,12.0,0.22,,75%,6.0,-,2,-,4,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Warriors,11,2013-05-26T04:00:00Z,Warriors vs Knights,2013
2,,"Dane
                
                  Nielsen",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,2,,15.0,111.0,-,,37.0,-,1,1,-,-,2,-,-,3,27,-,,1,-,1,16.0,0.07,,87.5%,7.0,1,-,-,-,,1,13,-,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Warriors,11,2013-05-26T04:00:00Z,Warriors vs Knights,2013
3,,"Carlos
                
                  Tuimavave",17.0,Centre,,40:00,,-,-,-,-,-,-,-,,-,,5.0,39.0,-,,15.0,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,5.0,-,,86.7%,13.0,-,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,3,-,-,-,,40:00,-,Warriors,11,2013-05-26T04:00:00Z,Warriors vs Knights,2013
4,,"Manu
                
                  Vatuvei",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,1,,17.0,153.0,19,,56.0,1,-,-,-,10,2,-,-,-,-,-,,1,-,1,18.0,0.06,,83.3%,5.0,1,-,-,5,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Warriors,11,2013-05-26T04:00:00Z,Warriors vs Knights,2013
5,,"Thomas
                
                  Leuluai",6.0,Five-Eighth,,80:00,,4,1,-,-,-,-,-,,-,,5.0,38.0,-,,13.0,1,-,-,-,3,1,-,-,-,-,-,,-,1,32,45.0,6.4,,100%,15.0,-,-,-,-,,8,236,-,2,-,-,1,-,,-,-,-,-,-,-,-,,80:00,-,Warriors,11,2013-05-26T04:00:00Z,Warriors vs Knights,2013
6,,"Shaun
                
                  Johnson",7.0,Halfback,,80:00,,8,-,4,5,-,80%,-,,-,,5.0,24.0,-,,1.0,-,1,1,-,-,-,-,-,-,-,-,,-,4,30,42.0,6,,72.7%,24.0,5,4,-,-,,9,246,-,3,1,-,2,-,,-,2,-,1,-,-,-,,80:00,-,Warriors,11,2013-05-26T04:00:00Z,Warriors vs Knights,2013
7,,"Sam
                
                  Rapira",8.0,Prop,,68:00,,4,1,-,-,-,-,-,,1,,15.0,138.0,24,,39.0,1,-,-,-,2,12,-,-,-,-,-,,2,-,2,16.0,0.13,,100%,29.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,68:00,-,Warriors,11,2013-05-26T04:00:00Z,Warriors vs Knights,2013
8,,"Nathan
                
                  Friend",9.0,Hooker,,54:00,,-,-,-,-,-,-,-,,-,,11.0,81.0,-,,19.0,-,1,1,-,-,-,-,-,8,60,-,,-,3,98,100.0,8.91,,96.4%,53.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,54:00,-,Warriors,11,2013-05-26T04:00:00Z,Warriors vs Knights,2013
9,,"Russell
                
                  Packer",10.0,Prop,,30:00,,-,-,-,-,-,-,-,,-,,4.0,38.0,16,,11.0,-,-,-,-,-,3,-,-,-,-,-,,1,-,2,6.0,0.5,,100%,15.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,30:00,-,Warriors,11,2013-05-26T04:00:00Z,Warriors vs Knights,2013
