,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Wests Tigers vs Cowboys,2013
1,Interchange - Sin Bin Return,Johnathan Thurston,,,,Cowboys,79:50,Wests Tigers vs Cowboys,2013
2,Conversion-Missed,Benji Marshall,,,,Wests Tigers,79:16,Wests Tigers vs Cowboys,2013
3,Try,David Nofoaluma,,,22-20,Wests Tigers,77:46,Wests Tigers vs Cowboys,2013
4,Linebreak,David Nofoaluma,,,,Wests Tigers,77:46,Wests Tigers vs Cowboys,2013
5,Interchange - Sin Bin Return,Brent Tate,,,,Cowboys,76:54,Wests Tigers vs Cowboys,2013
6,Linebreak,Benji Marshall,,,,Wests Tigers,75:47,Wests Tigers vs Cowboys,2013
7,Penalty - Dangerous Tackle,Glenn Hall,,,,Cowboys,73:14,Wests Tigers vs Cowboys,2013
8,Line Dropout,Benji Marshall,,,,Wests Tigers,72:10,Wests Tigers vs Cowboys,2013
9,Line Dropout,Johnathan Thurston,,,,Cowboys,68:43,Wests Tigers vs Cowboys,2013
10,Interchange - Sin Bin Return,Kane Linnett,,,,Cowboys,67:02,Wests Tigers vs Cowboys,2013
11,Penalty - Shoulder Charge,Marika Koroibete,,,,Wests Tigers,65:49,Wests Tigers vs Cowboys,2013
12,Line Dropout,Benji Marshall,,,,Wests Tigers,64:37,Wests Tigers vs Cowboys,2013
13,Tigers Interchange - Sin Bin Return,James Tedesco,,,,Wests,62:57,Wests Tigers vs Cowboys,2013
14,Conversion-Made,Johnathan Thurston,,,18-20,Cowboys,60:54,Wests Tigers vs Cowboys,2013
15,Try,Antonio Winterstein,,,18-18,Cowboys,59:21,Wests Tigers vs Cowboys,2013
16,Linebreak,Antonio Winterstein,,,,Cowboys,59:18,Wests Tigers vs Cowboys,2013
17,Penalty - Dangerous Tackle,Tariq Sims,,,,Cowboys,55:25,Wests Tigers vs Cowboys,2013
18,Tigers Interchange - Sin Bin Return,Jack Buchanan,,,,Wests,53:07,Wests Tigers vs Cowboys,2013
19,Tigers Interchange - Sin Bin Return,James Tedesco,,,,Wests,51:39,Wests Tigers vs Cowboys,2013
20,Conversion-Missed,Johnathan Thurston,,,,Cowboys,49:56,Wests Tigers vs Cowboys,2013
21,Try,Tariq Sims,,,18-14,Cowboys,48:49,Wests Tigers vs Cowboys,2013
22,Tigers Interchange - Sin Bin Return,David Nofoaluma,,,,Wests,48:48,Wests Tigers vs Cowboys,2013
23,Penalty - Hand in the Ruck,Aaron Woods,,,,Wests Tigers,47:20,Wests Tigers vs Cowboys,2013
24,Conversion-Made,Benji Marshall,,,18-10,Wests Tigers,46:14,Wests Tigers vs Cowboys,2013
25,Try,Jack Buchanan,,,16-10,Wests Tigers,45:28,Wests Tigers vs Cowboys,2013
26,Line Dropout,Benji Marshall,,,,Wests Tigers,41:48,Wests Tigers vs Cowboys,2013
27,Kick Bomb,Matthew Bowen,,,,Cowboys,39:39,Wests Tigers vs Cowboys,2013
28,Conversion-Made,Benji Marshall,,,12-10,Wests Tigers,35:28,Wests Tigers vs Cowboys,2013
29,Try,Marika Koroibete,,,10-10,Wests Tigers,34:20,Wests Tigers vs Cowboys,2013
30,Linebreak,Curtis Sironen,,,,Wests Tigers,34:10,Wests Tigers vs Cowboys,2013
31,Line Dropout,Benji Marshall,,,,Wests Tigers,32:42,Wests Tigers vs Cowboys,2013
32,Penalty - Offside inside 10m,Robbie Farah,,,,Wests Tigers,29:26,Wests Tigers vs Cowboys,2013
33,Tigers Interchange - Sin Bin Return,Curtis Sironen,,,,Wests,27:18,Wests Tigers vs Cowboys,2013
