,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Panthers vs Wests Tigers,2013
1,Penalty - Dangerous Tackle,Tim Simona,,,,Wests Tigers,79:23,Panthers vs Wests Tigers,2013
2,Kick Bomb,Benji Marshall,,,,Wests Tigers,79:19,Panthers vs Wests Tigers,2013
3,Interchange - Sin Bin Return,Isaac John,,,,Panthers,78:10,Panthers vs Wests Tigers,2013
4,Kick Bomb,Benji Marshall,,,,Wests Tigers,77:12,Panthers vs Wests Tigers,2013
5,Penalty - Pressure on Kicker,James Segeyaro,,,,Panthers,75:50,Panthers vs Wests Tigers,2013
6,Kick Bomb,Isaac John,,,,Panthers,75:46,Panthers vs Wests Tigers,2013
7,Interchange - Sin Bin Return,Matt Robinson,,,,Panthers,74:13,Panthers vs Wests Tigers,2013
8,Tigers Interchange - Sin Bin Return,Masada Iosefa,,,,Wests,73:01,Panthers vs Wests Tigers,2013
9,Conversion-Made,Benji Marshall,,,18-20,Wests Tigers,67:48,Panthers vs Wests Tigers,2013
10,Try,Tim Simona,,,18-18,Wests Tigers,66:19,Panthers vs Wests Tigers,2013
11,Linebreak,Tim Simona,,,,Wests Tigers,66:10,Panthers vs Wests Tigers,2013
12,Penalty - Dangerous Tackle,Adam Blair,,,,Wests Tigers,64:31,Panthers vs Wests Tigers,2013
13,On Report,James Segeyaro,,,,Panthers,61:06,Panthers vs Wests Tigers,2013
14,Penalty - Dangerous Tackle,James Segeyaro,,,,Panthers,61:02,Panthers vs Wests Tigers,2013
15,Penalty - Offside inside 10m,Adam Blair,,,,Wests Tigers,59:25,Panthers vs Wests Tigers,2013
16,Kick Bomb,Benji Marshall,,,,Wests Tigers,57:21,Panthers vs Wests Tigers,2013
17,Conversion-Made,Benji Marshall,,,18-14,Wests Tigers,52:45,Panthers vs Wests Tigers,2013
18,Try,Ava Seumanufagai,,,18-12,Wests Tigers,51:42,Panthers vs Wests Tigers,2013
19,Penalty - 2nd Effort,Jack Buchanan,,,,Wests Tigers,47:36,Panthers vs Wests Tigers,2013
20,Linebreak,Eddy Pettybourne,,,,Wests Tigers,46:56,Panthers vs Wests Tigers,2013
21,Penalty - Dangerous Tackle,Curtis Sironen,,,,Wests Tigers,44:40,Panthers vs Wests Tigers,2013
22,Kick Bomb,Benji Marshall,,,,Wests Tigers,40:56,Panthers vs Wests Tigers,2013
23,Conversion-Missed,Benji Marshall,,,,Wests Tigers,38:48,Panthers vs Wests Tigers,2013
24,Try,David Nofoaluma,,,18-8,Wests Tigers,37:38,Panthers vs Wests Tigers,2013
25,Linebreak,David Nofoaluma,,,,Wests Tigers,37:38,Panthers vs Wests Tigers,2013
26,Penalty - Hand in the Ruck,Sika Manu,,,,Panthers,36:36,Panthers vs Wests Tigers,2013
27,Conversion-Made,Luke Walsh,,,18-4,Panthers,33:57,Panthers vs Wests Tigers,2013
28,Try,Dean Whare,,,16-4,Panthers,32:38,Panthers vs Wests Tigers,2013
29,Linebreak,James Segeyaro,,,,Panthers,32:22,Panthers vs Wests Tigers,2013
30,Tigers Interchange - Sin Bin Return,David Nofoaluma,,,,Wests,30:33,Panthers vs Wests Tigers,2013
31,Interchange - Sin Bin Return,Clint Newton,,,,Panthers,29:07,Panthers vs Wests Tigers,2013
32,Kick Bomb,Benji Marshall,,,,Wests Tigers,23:25,Panthers vs Wests Tigers,2013
33,Kick Bomb,Luke Walsh,,,,Panthers,22:30,Panthers vs Wests Tigers,2013
34,Kick Bomb,Luke Walsh,,,,Panthers,20:50,Panthers vs Wests Tigers,2013
35,Conversion-Made,Luke Walsh,,,12-4,Panthers,18:11,Panthers vs Wests Tigers,2013
36,Try,Mose Masoe,,,10-4,Panthers,16:32,Panthers vs Wests Tigers,2013
37,Linebreak,Mose Masoe,,,,Panthers,16:29,Panthers vs Wests Tigers,2013
38,Conversion-Missed,Benji Marshall,,,,Wests Tigers,13:02,Panthers vs Wests Tigers,2013
39,Try,David Nofoaluma,,,6-4,Wests Tigers,11:42,Panthers vs Wests Tigers,2013
40,Linebreak,David Nofoaluma,,,,Wests Tigers,11:42,Panthers vs Wests Tigers,2013
41,Interchange - Sin Bin Return,Isaac John,,,,Panthers,10:52,Panthers vs Wests Tigers,2013
42,Linebreak,Sean Meaney,,,,Wests Tigers,10:04,Panthers vs Wests Tigers,2013
43,Penalty - Ball Strip,Isaac John,,,,Panthers,09:25,Panthers vs Wests Tigers,2013
44,Penalty - Slow Peel,Aaron Woods,,,,Wests Tigers,06:41,Panthers vs Wests Tigers,2013
45,Conversion-Made,Luke Walsh,,,6-0,Panthers,06:05,Panthers vs Wests Tigers,2013
46,Try,David Simmons,,,4-0,Panthers,04:49,Panthers vs Wests Tigers,2013
47,Linebreak,David Simmons,,,,Panthers,04:49,Panthers vs Wests Tigers,2013
48,Tigers Interchange - Sin Bin Return,David Nofoaluma,,,,Wests,03:36,Panthers vs Wests Tigers,2013
49,Line Dropout,Benji Marshall,,,,Wests Tigers,02:41,Panthers vs Wests Tigers,2013
50,Tigers Interchange - Sin Bin Return,Joel Reddy,,,,Wests,00:52,Panthers vs Wests Tigers,2013
51,Kick Bomb,Luke Walsh,,,,Panthers,00:47,Panthers vs Wests Tigers,2013
52,KICK OFF,,,,,,00:00,Panthers vs Wests Tigers,2013
