,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Reece
                
                  Robinson",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,1,,15.0,132.0,42,,51.0,-,1,1,-,3,-,-,-,2,21,-,,1,-,12,27.0,0.8,,100%,3.0,-,-,-,4,,1,12,-,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Raiders,13,2013-06-10T09:00:00Z,Raiders vs Broncos,2013
1,,"Jack
                
                  Wighton",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,1,,14.0,132.0,17,,48.0,-,-,-,-,1,-,-,-,-,-,-,,-,-,-,13.0,-,,71.4%,5.0,1,1,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Raiders,13,2013-06-10T09:00:00Z,Raiders vs Broncos,2013
2,,"Jarrod
                
                  Croker",3.0,Centre,,80:00,,14,1,5,5,-,100%,-,,-,,8.0,78.0,-,,36.0,-,-,-,-,-,-,-,-,-,-,-,,-,-,4,13.0,0.5,,79.2%,19.0,1,4,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Raiders,13,2013-06-10T09:00:00Z,Raiders vs Broncos,2013
3,,"Blake
                
                  Ferguson",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,-,,7.0,59.0,4,,24.0,-,-,1,-,1,-,-,-,-,-,-,,1,-,1,9.0,0.14,,85%,17.0,2,1,-,1,,1,40,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Raiders,13,2013-06-10T09:00:00Z,Raiders vs Broncos,2013
4,,"Edrick
                
                  Lee",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,1,,10.0,164.0,44,,32.0,2,-,1,-,4,-,-,-,-,-,-,,-,-,4,11.0,0.4,,90.9%,10.0,1,-,-,2,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Raiders,13,2013-06-10T09:00:00Z,Raiders vs Broncos,2013
5,,"Terry
                
                  Campese",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,-,,6.0,27.0,-,,3.0,1,1,2,-,1,-,-,-,1,-,-,,-,-,40,55.0,6.67,,79.2%,19.0,1,4,1,-,,15,482,-,4,2,-,-,2,,-,-,-,1,-,-,-,,80:00,-,Raiders,13,2013-06-10T09:00:00Z,Raiders vs Broncos,2013
6,,"Josh
                
                  McCrone",7.0,Halfback,,60:00,,4,1,-,-,-,-,-,,-,,4.0,28.0,1,,5.0,-,-,-,-,1,-,-,-,-,-,-,,1,-,37,43.0,9.25,,89.7%,26.0,3,-,-,-,,3,108,-,1,-,-,-,-,,-,-,-,-,-,-,-,,60:00,-,Raiders,13,2013-06-10T09:00:00Z,Raiders vs Broncos,2013
7,,"Dane
                
                  Tilse",16.0,Prop,,38:00,,-,-,-,-,-,-,-,,1,,15.0,120.0,-,,45.0,-,-,-,-,-,13,-,-,-,-,-,,-,-,2,16.0,0.13,,93.3%,14.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,38:00,-,Raiders,13,2013-06-10T09:00:00Z,Raiders vs Broncos,2013
8,,"Glen
                
                  Buttriss",18.0,Hooker,,57:00,,-,-,-,-,-,-,-,,1,,6.0,33.0,-,,13.0,-,-,-,-,-,2,-,-,4,24,-,,-,-,82,85.0,13.67,,83.3%,30.0,3,3,1,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,57:00,-,Raiders,13,2013-06-10T09:00:00Z,Raiders vs Broncos,2013
9,,"Brett
                
                  White",10.0,Prop,,22:00,,-,-,-,-,-,-,-,,1,,12.0,102.0,14,,38.0,-,-,-,-,-,11,-,-,-,-,-,,1,-,2,14.0,0.17,,100%,24.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,22:00,-,Raiders,13,2013-06-10T09:00:00Z,Raiders vs Broncos,2013
10,,"Josh
                
                  Papalii",11.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,-,,14.0,164.0,-,,76.0,-,-,-,-,2,14,-,-,-,-,-,,1,-,4,18.0,0.29,,91.2%,31.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,1,-,-,,80:00,-,Raiders,13,2013-06-10T09:00:00Z,Raiders vs Broncos,2013
11,,"Joel
                
                  Thompson",12.0,2nd Row,,64:00,,4,1,-,-,-,-,-,,-,,11.0,124.0,-,,40.0,-,-,-,-,3,11,-,-,-,-,-,,1,-,-,11.0,-,,90.9%,30.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,64:00,-,Raiders,13,2013-06-10T09:00:00Z,Raiders vs Broncos,2013
12,,"Shaun
                
                  Fensom",13.0,Lock,,80:00,,-,-,-,-,-,-,-,,-,,14.0,133.0,-,,59.0,-,-,-,-,2,14,-,-,-,-,-,,-,-,5,19.0,0.36,,95.8%,68.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Raiders,13,2013-06-10T09:00:00Z,Raiders vs Broncos,2013
13,,"David
                
                  Shillington",8.0,Interchange,,28:00,,-,-,-,-,-,-,-,,1,,9.0,93.0,26,,38.0,-,-,-,-,-,7,-,-,-,-,-,,-,-,-,9.0,-,,73.3%,11.0,2,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,28:00,-,Raiders,13,2013-06-10T09:00:00Z,Raiders vs Broncos,2013
14,,"Anthony
                
                  Milford",14.0,Interchange,,45:00,,-,-,-,-,-,-,-,,1,,8.0,79.0,19,,18.0,-,-,-,-,3,-,-,-,-,-,-,,1,1,7,16.0,0.88,,83.3%,10.0,1,1,-,2,,1,22,-,1,-,-,-,-,,-,-,-,2,-,-,-,,45:00,-,Raiders,13,2013-06-10T09:00:00Z,Raiders vs Broncos,2013
15,,"Paul
                
                  Vaughan",17.0,Interchange,,23:00,,-,-,-,-,-,-,-,,-,,6.0,67.0,-,,34.0,-,-,-,-,-,6,-,-,-,-,-,,-,-,-,6.0,-,,88.2%,15.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,23:00,-,Raiders,13,2013-06-10T09:00:00Z,Raiders vs Broncos,2013
16,,"Joel
                
                  Edwards",19.0,Interchange,,52:00,,4,1,-,-,-,-,-,,-,,8.0,64.0,-,,20.0,1,-,-,-,3,6,-,-,-,-,-,,1,-,4,11.0,0.5,,77.8%,28.0,4,4,-,-,,-,-,-,-,-,-,-,-,,-,1,-,1,-,-,-,,52:00,-,Raiders,13,2013-06-10T09:00:00Z,Raiders vs Broncos,2013
0,,"Corey
                
                  Norman",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,1,,20.0,204.0,97,,42.0,2,-,-,-,3,-,-,-,2,10,-,,-,-,11,33.0,0.55,,40%,2.0,3,-,-,9,,3,58,-,1,-,-,2,-,,-,1,-,-,-,-,-,,80:00,-,Broncos,13,2013-06-10T09:00:00Z,Raiders vs Broncos,2013
1,,"Josh
                
                  Hoffman",4.0,Winger,,80:00,,-,-,-,-,-,-,-,,1,,11.0,120.0,41,,33.0,-,-,-,-,1,-,-,-,3,26,-,,1,-,5,17.0,0.45,,33.3%,1.0,1,1,-,3,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Broncos,13,2013-06-10T09:00:00Z,Raiders vs Broncos,2013
2,,"Jack
                
                  Reed",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,-,,12.0,156.0,-,,50.0,1,-,-,-,1,-,-,-,1,14,-,,-,-,4,17.0,0.33,,100%,9.0,-,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,13,2013-06-10T09:00:00Z,Raiders vs Broncos,2013
3,,"Justin
                
                  Hodges",21.0,Centre,,80:00,,-,-,-,-,-,-,-,,1,,19.0,193.0,-,,69.0,-,1,-,-,4,-,-,-,9,85,-,,6,-,9,29.0,0.47,,72.7%,8.0,3,-,-,-,,1,26,-,1,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Broncos,13,2013-06-10T09:00:00Z,Raiders vs Broncos,2013
4,,"Jordan
                
                  Kahu",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,-,,13.0,119.0,22,,43.0,-,-,-,-,-,-,-,-,-,-,-,,-,-,1,13.0,0.08,,80%,4.0,1,-,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,13,2013-06-10T09:00:00Z,Raiders vs Broncos,2013
5,,"Scott
                
                  Prince",6.0,Five-Eighth,,80:00,,10,1,3,3,-,100%,-,,-,,8.0,65.0,13,,10.0,1,-,-,-,3,-,-,-,-,-,-,,-,1,33,48.0,4.13,,92%,23.0,1,1,-,1,,8,224,2,1,3,-,-,2,,-,-,-,2,-,-,-,,80:00,-,Broncos,13,2013-06-10T09:00:00Z,Raiders vs Broncos,2013
6,,"Peter
                
                  Wallace",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,-,,6.0,61.0,-,,12.0,1,1,1,-,-,-,-,-,-,-,-,,1,-,43,56.0,7.17,,85%,17.0,2,1,-,-,,8,232,-,2,1,-,1,2,,-,1,-,1,-,-,-,,80:00,-,Broncos,13,2013-06-10T09:00:00Z,Raiders vs Broncos,2013
