,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Glen
                
                  Fisiiahi",2.0,Fullback,,80:00,,4,1,-,-,-,-,-,,-,,19.0,152.0,81,,41.0,1,-,-,-,1,-,-,-,1,1,-,,-,4,7,28.0,0.37,,87.5%,7.0,1,-,-,8,,1,14,1,-,1,-,-,-,,-,-,-,2,-,-,-,,80:00,-,Warriors,13,2013-06-09T04:00:00Z,Warriors vs Sea Eagles,2013
1,,"Ngani
                
                  Laumape",18.0,Winger,,80:00,,-,-,-,-,-,-,-,,1,,14.0,115.0,1,,42.0,-,-,-,-,2,1,-,-,5,38,-,,-,-,3,16.0,0.21,,60%,6.0,2,2,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Warriors,13,2013-06-09T04:00:00Z,Warriors vs Sea Eagles,2013
2,,"Dane
                
                  Nielsen",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,-,,11.0,85.0,-,,33.0,-,-,-,-,-,1,-,-,3,30,-,,-,-,4,15.0,0.36,,91.7%,11.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,3,-,1,-,-,-,,80:00,-,Warriors,13,2013-06-09T04:00:00Z,Warriors vs Sea Eagles,2013
3,,"Konrad
                
                  Hurrell",4.0,Centre,,80:00,,4,1,-,-,-,-,-,,2,,10.0,72.0,12,,24.0,1,-,-,-,5,2,-,-,1,7,-,,2,-,-,12.0,-,,79.2%,19.0,3,2,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Warriors,13,2013-06-09T04:00:00Z,Warriors vs Sea Eagles,2013
4,,"Manu
                
                  Vatuvei",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,-,,10.0,81.0,-,,43.0,-,-,-,-,5,-,-,-,-,-,-,,-,-,3,16.0,0.3,,50%,4.0,2,2,-,2,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Warriors,13,2013-06-09T04:00:00Z,Warriors vs Sea Eagles,2013
5,,"Thomas
                
                  Leuluai",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,-,,9.0,56.0,-,,5.0,-,-,-,-,1,-,-,-,-,-,-,,-,-,36,49.0,4,,92%,23.0,1,1,-,-,,5,86,-,2,2,-,1,-,,-,-,-,-,-,-,-,,80:00,-,Warriors,13,2013-06-09T04:00:00Z,Warriors vs Sea Eagles,2013
6,,"Shaun
                
                  Johnson",7.0,Halfback,,67:00,,6,-,3,3,-,100%,-,,-,,6.0,24.0,2,,5.0,-,-,-,-,-,-,-,-,-,-,1,,-,4,25,49.0,4.17,,89.5%,17.0,2,-,-,2,,12,384,-,2,2,-,-,-,,-,-,-,1,-,-,-,,67:00,-,Warriors,13,2013-06-09T04:00:00Z,Warriors vs Sea Eagles,2013
7,,"Sam
                
                  Rapira",8.0,Prop,,42:00,,-,-,-,-,-,-,-,,-,,11.0,81.0,-,,35.0,-,-,-,-,-,11,-,-,-,-,-,,1,-,2,13.0,0.18,,88.5%,23.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,42:00,-,Warriors,13,2013-06-09T04:00:00Z,Warriors vs Sea Eagles,2013
8,,"Nathan
                
                  Friend",9.0,Hooker,,12:00,,-,-,-,-,-,-,-,,1,,9.0,51.0,-,,18.0,-,-,-,-,2,4,-,-,4,24,-,,-,9,124,121.0,13.78,,92.6%,50.0,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,12:00,-,Warriors,13,2013-06-09T04:00:00Z,Warriors vs Sea Eagles,2013
9,,"Suaia
                
                  Matagi",21.0,Prop,,14:00,,-,-,-,-,-,-,-,,1,,2.0,20.0,14,,1.0,-,-,-,-,-,1,-,-,-,-,-,,-,-,1,3.0,0.5,,100%,5.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,14:00,-,Warriors,13,2013-06-09T04:00:00Z,Warriors vs Sea Eagles,2013
