,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Josh
                
                  Dugan",1.0,Fullback,,80:00,,4,-,2,3,-,66.67%,-,,1,,26.0,296.0,98,,70.0,1,-,-,-,4,-,-,-,-,-,-,,3,6,14.0,42.0,0.54,,88.9%,8.0,-,1,-,8,,1,26,-,-,-,-,-,1,,-,1,-,1,-,-,-,,80:00,-,Dragons,14,2013-06-14T09:35:00Z,Dragons vs Cowboys,2013
1,,"Brett
                
                  Morris",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,1,,15.0,172.0,17,,44.0,-,-,1,-,5,-,-,-,7,80,-,,2,1,4.0,19.0,0.27,,50%,1.0,-,1,-,2,,1,14,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Dragons,14,2013-06-14T09:35:00Z,Dragons vs Cowboys,2013
2,,"Nathan
                
                  Green",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,-,,8.0,59.0,-,,25.0,1,-,-,-,-,-,-,-,1,4,-,,-,-,4.0,13.0,0.5,,91.7%,11.0,1,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Dragons,14,2013-06-14T09:35:00Z,Dragons vs Cowboys,2013
3,,"Matt
                
                  Prior",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,-,,10.0,83.0,-,,33.0,-,-,-,-,-,1,-,-,-,-,-,,1,-,2.0,15.0,0.2,,81%,17.0,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Dragons,14,2013-06-14T09:35:00Z,Dragons vs Cowboys,2013
4,,"Jason
                
                  Nightingale",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,1,,16.0,124.0,46,,42.0,-,-,-,-,1,-,-,-,3,26,-,,4,1,7.0,24.0,0.44,,100%,10.0,-,-,-,4,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Dragons,14,2013-06-14T09:35:00Z,Dragons vs Cowboys,2013
5,,"Chase
                
                  Stanley",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,2,,11.0,110.0,15,,40.0,-,1,-,-,2,-,-,-,2,27,-,,-,7,26.0,40.0,2.36,,81.8%,9.0,1,1,-,-,,1,3,-,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Dragons,14,2013-06-14T09:35:00Z,Dragons vs Cowboys,2013
6,,"Nathan
                
                  Fien",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,-,,4.0,15.0,-,,3.0,-,-,1,-,-,-,-,-,-,-,-,,-,7,46.0,69.0,11.5,,85.7%,18.0,2,1,-,-,,21,399,2,4,4,-,4,-,,-,-,-,-,-,-,-,,80:00,-,Dragons,14,2013-06-14T09:35:00Z,Dragons vs Cowboys,2013
7,,"Dan
                
                  Hunt",8.0,Prop,,38:00,,-,-,-,-,-,-,-,,-,,9.0,88.0,13,,29.0,-,-,-,-,-,8,-,-,-,-,-,,-,-,2.0,12.0,0.22,,95%,19.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,38:00,-,Dragons,14,2013-06-14T09:35:00Z,Dragons vs Cowboys,2013
8,,"Mitch
                
                  Rein",9.0,Hooker,,51:00,,-,-,-,-,-,-,-,,1,,4.0,24.0,-,,5.0,-,-,-,-,-,1,-,-,2,13,-,,-,5,78.0,79.0,19.5,,95.2%,40.0,2,-,-,-,,1,42,-,-,-,-,-,-,,-,-,-,-,-,-,-,,51:00,-,Dragons,14,2013-06-14T09:35:00Z,Dragons vs Cowboys,2013
9,,"Jack
                
                  Stockwell",17.0,Prop,,38:00,,-,-,-,-,-,-,-,,-,,8.0,66.0,13,,18.0,-,-,-,-,1,7,-,-,-,-,-,,-,-,1.0,9.0,0.13,,96.3%,26.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,38:00,-,Dragons,14,2013-06-14T09:35:00Z,Dragons vs Cowboys,2013
10,,"Tyson
                
                  Frizell",11.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,-,,11.0,99.0,-,,35.0,-,-,-,-,4,11,-,-,-,-,-,,1,1,2.0,13.0,0.18,,100%,31.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Dragons,14,2013-06-14T09:35:00Z,Dragons vs Cowboys,2013
11,,"Ben
                
                  Creagh",12.0,2nd Row,,80:00,,4,1,-,-,-,-,-,,1,,15.0,137.0,14,,44.0,-,-,-,-,2,13,-,-,-,-,-,,-,-,7.0,23.0,0.47,,100%,24.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Dragons,14,2013-06-14T09:35:00Z,Dragons vs Cowboys,2013
12,,"Trent
                
                  Merrin",13.0,Lock,,58:00,,-,-,-,-,-,-,-,,-,,19.0,153.0,-,,60.0,-,-,-,-,1,18,-,-,-,-,-,,4,1,7.0,27.0,0.37,,96.9%,31.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,58:00,-,Dragons,14,2013-06-14T09:35:00Z,Dragons vs Cowboys,2013
13,,"Michael
                
                  Weyman",10.0,Interchange,,30:00,,4,1,-,-,-,-,-,,1,,9.0,60.0,24,,19.0,1,-,-,-,3,7,-,-,-,-,-,,1,-,1.0,11.0,0.11,,95.7%,22.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,30:00,-,Dragons,14,2013-06-14T09:35:00Z,Dragons vs Cowboys,2013
14,,"Cameron
                
                  King",14.0,Interchange,,29:00,,-,-,-,-,-,-,-,,-,,3.0,34.0,-,,7.0,-,1,1,-,-,-,-,-,3,34,-,,1,1,32.0,35.0,10.67,,94.4%,17.0,-,1,-,-,,1,44,-,-,-,-,-,-,,-,-,-,-,-,-,-,,29:00,-,Dragons,14,2013-06-14T09:35:00Z,Dragons vs Cowboys,2013
15,,"Leeson
                
                  Ah Mau",15.0,Interchange,,34:00,,-,-,-,-,-,-,-,,-,,8.0,88.0,-,,49.0,-,-,-,-,2,8,-,-,-,-,-,,-,-,1.0,10.0,0.13,,100%,25.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,34:00,-,Dragons,14,2013-06-14T09:35:00Z,Dragons vs Cowboys,2013
16,,"Jack
                
                  de Belin",16.0,Interchange,,42:00,,-,-,-,-,-,-,-,,-,,11.0,89.0,-,,37.0,-,-,-,-,-,11,-,-,-,-,-,,2,-,2.0,13.0,0.18,,97.2%,35.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,42:00,-,Dragons,14,2013-06-14T09:35:00Z,Dragons vs Cowboys,2013
0,,"Clint
                
                  Greenshields",1.0,Fullback,,80:00,,4,1,-,-,-,-,-,,-,,10.0,89.0,20,,26.0,1,-,-,-,1,-,-,-,3,31,-,,1,4,8,23.0,0.8,,83.3%,10.0,2,-,-,3,,1,8,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Cowboys,14,2013-06-14T09:35:00Z,Dragons vs Cowboys,2013
1,,"Ashley
                
                  Graham",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,-,,11.0,103.0,11,,32.0,-,-,-,-,-,-,-,-,2,20,-,,-,-,3,15.0,0.27,,72.7%,8.0,3,-,-,2,,-,-,-,-,-,-,-,-,,-,1,-,1,-,-,-,,80:00,-,Cowboys,14,2013-06-14T09:35:00Z,Dragons vs Cowboys,2013
2,,"Brent
                
                  Tate",3.0,Centre,,80:00,,4,1,-,-,-,-,-,,1,,8.0,57.0,4,,20.0,-,-,-,-,1,-,-,-,2,19,-,,1,1,3,12.0,0.38,,85%,17.0,3,-,-,4,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Cowboys,14,2013-06-14T09:35:00Z,Dragons vs Cowboys,2013
3,,"Kane
                
                  Linnett",4.0,Centre,,67:00,,4,1,-,-,-,-,-,,1,,12.0,114.0,-,,34.0,1,1,1,-,5,-,-,-,3,26,-,,1,-,2,16.0,0.17,,79.2%,19.0,1,4,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,67:00,-,Cowboys,14,2013-06-14T09:35:00Z,Dragons vs Cowboys,2013
4,,"Antonio
                
                  Winterstein",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,1,,11.0,99.0,16,,46.0,1,-,1,-,-,1,-,-,3,26,-,,-,-,2,12.0,0.18,,66.7%,2.0,-,1,-,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Cowboys,14,2013-06-14T09:35:00Z,Dragons vs Cowboys,2013
5,,"Johnathan
                
                  Thurston",6.0,Five-Eighth,,80:00,,6,-,3,4,-,75%,-,,-,,10.0,120.0,-,,24.0,2,-,1,-,1,-,-,-,-,-,-,,-,5,29,52.0,2.9,,81%,17.0,3,1,-,1,,15,295,1,2,3,-,3,-,,-,-,-,-,-,-,-,,80:00,-,Cowboys,14,2013-06-14T09:35:00Z,Dragons vs Cowboys,2013
6,,"Robert
                
                  Lui",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,-,,4.0,33.0,-,,9.0,-,2,1,-,-,-,-,-,-,-,-,,-,2,28,37.0,7,,74.2%,23.0,2,6,-,-,,6,211,-,1,-,-,-,-,,-,-,-,1,1,-,-,,80:00,-,Cowboys,14,2013-06-14T09:35:00Z,Dragons vs Cowboys,2013
7,,"Matthew
                
                  Scott",8.0,Prop,,55:00,,-,-,-,-,-,-,-,,1,,16.0,156.0,17,,71.0,-,-,-,-,-,15,-,-,-,-,-,,2,-,2,18.0,0.13,,94.4%,34.0,-,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,55:00,-,Cowboys,14,2013-06-14T09:35:00Z,Dragons vs Cowboys,2013
8,,"Ray
                
                  Thompson",9.0,Hooker,,77:00,,-,-,-,-,-,-,-,,-,,5.0,39.0,-,,13.0,-,1,-,-,2,-,-,-,5,39,-,,-,3,98,103.0,19.6,,89.1%,49.0,3,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,77:00,-,Cowboys,14,2013-06-14T09:35:00Z,Dragons vs Cowboys,2013
9,,"Ashton
                
                  Sims",16.0,Prop,,46:00,,-,-,-,-,-,-,-,,1,,9.0,76.0,17,,30.0,-,-,-,-,-,7,-,-,-,-,-,,-,-,3,12.0,0.33,,94.3%,33.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,46:00,-,Cowboys,14,2013-06-14T09:35:00Z,Dragons vs Cowboys,2013
10,,"Tariq
                
                  Sims",11.0,2nd Row,,57:00,,-,-,-,-,-,-,-,,-,,13.0,116.0,-,,52.0,-,-,-,-,-,13,-,-,-,-,-,,-,-,1,15.0,0.08,,89.7%,26.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,1,-,-,,57:00,-,Cowboys,14,2013-06-14T09:35:00Z,Dragons vs Cowboys,2013
11,,"Glenn
                
                  Hall",12.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,-,,3.0,29.0,-,,13.0,-,-,-,-,-,3,-,-,-,-,-,,-,-,1,5.0,0.33,,86.2%,50.0,2,6,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Cowboys,14,2013-06-14T09:35:00Z,Dragons vs Cowboys,2013
12,,"Dallas
                
                  Johnson",13.0,Lock,,58:00,,-,-,-,-,-,-,-,,-,,6.0,35.0,-,,12.0,-,-,-,-,-,5,-,-,-,-,-,,-,-,5,10.0,0.83,,88.9%,32.0,1,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,58:00,-,Cowboys,14,2013-06-14T09:35:00Z,Dragons vs Cowboys,2013
13,,"Rory
                
                  Kostjasyn",14.0,Interchange,,29:00,,-,-,-,-,-,-,-,,1,,6.0,55.0,-,,18.0,-,-,-,-,-,3,-,-,1,3,-,,-,-,8,14.0,1.33,,94.7%,18.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,29:00,-,Cowboys,14,2013-06-14T09:35:00Z,Dragons vs Cowboys,2013
14,,"Jason
                
                  Taumalolo",15.0,Interchange,,26:00,,-,-,-,-,-,-,-,,-,,7.0,47.0,-,,28.0,-,-,-,-,2,7,-,-,-,-,-,,-,-,-,7.0,-,,88.9%,8.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,26:00,-,Cowboys,14,2013-06-14T09:35:00Z,Dragons vs Cowboys,2013
15,,"Scott
                
                  Bolton",17.0,Interchange,,39:00,,-,-,-,-,-,-,-,,-,,16.0,155.0,30,,70.0,-,-,-,-,-,14,-,-,-,-,-,,-,-,1,17.0,0.06,,78.9%,15.0,2,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,39:00,-,Cowboys,14,2013-06-14T09:35:00Z,Dragons vs Cowboys,2013
16,,"Ricky
                
                  Thorby",18.0,Interchange,,08:00,,-,-,-,-,-,-,-,,-,,7.0,61.0,-,,27.0,-,-,-,-,-,7,-,-,-,-,-,,-,-,1,9.0,0.14,,90.9%,10.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,08:00,-,Cowboys,14,2013-06-14T09:35:00Z,Dragons vs Cowboys,2013
