,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Dragons vs Cowboys,2013
1,Interchange - Sin Bin Return,Josh Dugan,,,,Dragons,79:05,Dragons vs Cowboys,2013
2,Line Dropout,Johnathan Thurston,,,,Cowboys,75:21,Dragons vs Cowboys,2013
3,Penalty - Holding Down,Matthew Scott,,,,Cowboys,73:02,Dragons vs Cowboys,2013
4,Interchange - Sin Bin Return,Tariq Sims,,,,Cowboys,72:33,Dragons vs Cowboys,2013
5,Penalty - Offside General,Tariq Sims,,,,Cowboys,72:33,Dragons vs Cowboys,2013
6,Kick Bomb,Nathan Fien,,,,Dragons,69:33,Dragons vs Cowboys,2013
7,Kick Bomb,Robert Lui,,,,Cowboys,65:31,Dragons vs Cowboys,2013
8,Conversion-Made,Johnathan Thurston,,,16-22,Cowboys,64:17,Dragons vs Cowboys,2013
9,Try,Brent Tate,,,16-20,Cowboys,64:02,Dragons vs Cowboys,2013
10,Linebreak,Johnathan Thurston,,,,Cowboys,63:57,Dragons vs Cowboys,2013
11,Conversion-Made,Josh Dugan,,,16-16,Dragons,62:15,Dragons vs Cowboys,2013
12,Try,Ben Creagh,,,14-16,Dragons,60:27,Dragons vs Cowboys,2013
13,Linebreak,Josh Dugan,,,,Dragons,60:17,Dragons vs Cowboys,2013
14,Interchange - Sin Bin Return,Glenn Hall,,,,Cowboys,57:28,Dragons vs Cowboys,2013
15,Penalty - 2nd Effort,Dan Hunt,,,,Dragons,56:25,Dragons vs Cowboys,2013
16,Interchange - Sin Bin Return,Josh Dugan,,,,Dragons,53:14,Dragons vs Cowboys,2013
17,Line Dropout,Johnathan Thurston,,,,Cowboys,52:46,Dragons vs Cowboys,2013
18,Line Dropout,Johnathan Thurston,,,,Cowboys,51:19,Dragons vs Cowboys,2013
19,Interchange - Sin Bin Return,Ashley Graham,,,,Cowboys,45:00,Dragons vs Cowboys,2013
20,Line Dropout,Johnathan Thurston,,,,Cowboys,44:04,Dragons vs Cowboys,2013
21,On Report,Robert Lui,,,,Cowboys,42:32,Dragons vs Cowboys,2013
22,Penalty - Dangerous Tackle,Robert Lui,,,,Cowboys,42:16,Dragons vs Cowboys,2013
23,Penalty - Crowding,Ashley Graham,,,,Cowboys,41:48,Dragons vs Cowboys,2013
24,Line Dropout,Josh Dugan,,,,Dragons,36:26,Dragons vs Cowboys,2013
25,Penalty - Flop,Michael Weyman,,,,Dragons,34:45,Dragons vs Cowboys,2013
26,Interchange - Sin Bin Return,Ricky Thorby,,,,Cowboys,33:24,Dragons vs Cowboys,2013
27,Conversion-Made,Johnathan Thurston,,,10-16,Cowboys,32:47,Dragons vs Cowboys,2013
28,Try,Kane Linnett,,,10-14,Cowboys,31:52,Dragons vs Cowboys,2013
29,Linebreak,Kane Linnett,,,,Cowboys,31:52,Dragons vs Cowboys,2013
30,Penalty - Slow Peel,Michael Weyman,,,,Dragons,30:25,Dragons vs Cowboys,2013
31,Conversion-Made,Josh Dugan,,,10-10,Dragons,28:50,Dragons vs Cowboys,2013
32,Try,Michael Weyman,,,8-10,Dragons,27:28,Dragons vs Cowboys,2013
33,Linebreak,Michael Weyman,,,,Dragons,27:28,Dragons vs Cowboys,2013
34,On Report,Tariq Sims,,,,Cowboys,27:01,Dragons vs Cowboys,2013
35,Penalty - Pressure on Kicker,Tariq Sims,,,,Cowboys,26:47,Dragons vs Cowboys,2013
36,Interchange - Sin Bin Return,Nathan Green,,,,Dragons,25:01,Dragons vs Cowboys,2013
37,Interchange - Sin Bin Return,Chase Stanley,,,,Dragons,20:49,Dragons vs Cowboys,2013
38,Kick Bomb,Nathan Fien,,,,Dragons,20:43,Dragons vs Cowboys,2013
39,Linebreak,Nathan Green,,,,Dragons,19:04,Dragons vs Cowboys,2013
40,Kick Bomb,Johnathan Thurston,,,,Cowboys,18:18,Dragons vs Cowboys,2013
41,Conversion-Missed,Johnathan Thurston,,,,Cowboys,17:11,Dragons vs Cowboys,2013
42,Try,Clint Greenshields,,,4-10,Cowboys,16:22,Dragons vs Cowboys,2013
43,Linebreak,Clint Greenshields,,,,Cowboys,16:22,Dragons vs Cowboys,2013
44,Interchange - Sin Bin Return,Josh Dugan,,,,Dragons,15:20,Dragons vs Cowboys,2013
45,Kick Bomb,Johnathan Thurston,,,,Cowboys,15:17,Dragons vs Cowboys,2013
46,Interchange - Sin Bin Return,Jack Stockwell,,,,Dragons,13:49,Dragons vs Cowboys,2013
47,Penalty - Ball Strip,Clint Greenshields,,,,Cowboys,12:39,Dragons vs Cowboys,2013
48,Penalties - Other,Josh Dugan,,,,Dragons,11:05,Dragons vs Cowboys,2013
49,Conversion-Made,Johnathan Thurston,,,4-6,Cowboys,10:42,Dragons vs Cowboys,2013
50,Try,Antonio Winterstein,,,4-4,Cowboys,09:14,Dragons vs Cowboys,2013
51,Linebreak,Antonio Winterstein,,,,Cowboys,09:14,Dragons vs Cowboys,2013
52,Linebreak,Johnathan Thurston,,,,Cowboys,09:01,Dragons vs Cowboys,2013
53,Interchange - Sin Bin Return,Dan Hunt,,,,Dragons,08:17,Dragons vs Cowboys,2013
54,Kick Bomb,Nathan Fien,,,,Dragons,06:13,Dragons vs Cowboys,2013
55,Conversion-Missed,Josh Dugan,,,,Dragons,05:01,Dragons vs Cowboys,2013
56,Try,Brett Morris,,,4-0,Dragons,03:30,Dragons vs Cowboys,2013
57,Kick Bomb,Nathan Fien,,,,Dragons,03:23,Dragons vs Cowboys,2013
58,KICK OFF,,,,,,00:00,Dragons vs Cowboys,2013
