,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Reece
                
                  Robinson",1.0,Fullback,,80:00,,4,1,-,-,-,-,-,,1,,16.0,146.0,43,,60.0,1,-,-,-,8,-,-,-,1,9,-,,-,1,16,35.0,1,,-,-,1,-,-,9,,1,44,-,-,-,-,-,1,,-,-,-,-,-,-,-,,80:00,-,Raiders,14,2013-06-15T07:30:00Z,Raiders vs Panthers,2013
1,,"Jack
                
                  Wighton",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,1,,10.0,120.0,26,,27.0,-,-,-,-,4,-,-,-,1,12,-,,2,-,1,11.0,0.1,,90.9%,10,-,1,-,2,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,80:00,-,Raiders,14,2013-06-15T07:30:00Z,Raiders vs Panthers,2013
2,,"Jarrod
                
                  Croker",3.0,Centre,,64:00,,8,-,4,4,-,100%,-,,1,,12.0,91.0,-,,38.0,-,-,-,-,2,-,-,-,2,12,-,,-,-,2,16.0,0.17,,100%,8,-,-,-,-,,1,6,-,-,1,-,-,-,,-,1,-,1,-,-,-,,64:00,-,Raiders,14,2013-06-15T07:30:00Z,Raiders vs Panthers,2013
3,,"Blake
                
                  Ferguson",4.0,Centre,,80:00,,4,1,-,-,-,-,-,,-,,7.0,76.0,25,,27.0,-,-,-,-,3,-,-,-,-,-,-,,1,1,3,10.0,0.43,,87.5%,14,1,1,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Raiders,14,2013-06-15T07:30:00Z,Raiders vs Panthers,2013
4,,"Sandor
                
                  Earl",18.0,Winger,,80:00,,-,-,-,-,-,-,-,,2,,14.0,164.0,62,,44.0,1,-,-,-,3,1,-,-,2,26,-,,-,-,1,16.0,0.07,,88.9%,8,-,1,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Raiders,14,2013-06-15T07:30:00Z,Raiders vs Panthers,2013
5,,"Terry
                
                  Campese",6.0,Five-Eighth,,71:00,,-,-,-,-,-,-,-,,-,,1.0,11.0,-,,5.0,-,1,2,-,-,-,-,-,-,-,-,,-,-,53,71.0,53,,87.5%,14,-,2,1,-,,17,592,-,7,-,-,3,1,,-,-,-,-,-,-,-,,71:00,-,Raiders,14,2013-06-15T07:30:00Z,Raiders vs Panthers,2013
6,,"Josh
                
                  McCrone",7.0,Halfback,,80:00,,4,1,-,-,-,-,-,,-,,3.0,34.0,-,,9.0,-,-,-,-,-,-,-,-,1,14,-,,-,-,58,60.0,19.33,,76.2%,16,1,4,1,-,,2,24,1,-,1,-,1,-,,-,-,-,2,-,-,-,,80:00,-,Raiders,14,2013-06-15T07:30:00Z,Raiders vs Panthers,2013
7,,"Dane
                
                  Tilse",8.0,Prop,,36:00,,-,-,-,-,-,-,-,,-,,12.0,114.0,32,,33.0,-,-,-,-,1,10,-,-,-,-,-,,2,2,2,14.0,0.17,,94.4%,17,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,36:00,-,Raiders,14,2013-06-15T07:30:00Z,Raiders vs Panthers,2013
8,,"Glen
                
                  Buttriss",9.0,Hooker,,59:00,,-,-,-,-,-,-,-,,-,,4.0,44.0,-,,15.0,-,-,-,-,-,1,-,-,3,31,-,,-,-,67,74.0,16.75,,97.2%,35,-,1,-,-,,1,27,-,-,-,-,-,-,,-,1,-,-,-,-,-,,59:00,-,Raiders,14,2013-06-15T07:30:00Z,Raiders vs Panthers,2013
9,,"Brett
                
                  White",10.0,Prop,,22:00,,-,-,-,-,-,-,-,,-,,15.0,169.0,72,,43.0,-,1,1,-,-,11,-,-,-,-,-,,1,-,3,18.0,0.2,,81.3%,13,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,22:00,-,Raiders,14,2013-06-15T07:30:00Z,Raiders vs Panthers,2013
