,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Peta
                
                  Hiku",1.0,Fullback,,85:00,,-,-,-,-,-,-,-,,-,,17.0,133.0,31,,43.0,-,-,-,-,3,-,-,-,-,-,-,,2,5,14,33.0,0.82,,50%,1.0,1,-,-,5,,1,16,1,-,1,-,-,-,,-,1,-,-,-,-,-,,85:00,-,Sea,14,2013-06-14T09:35:00Z,Sea Eagles vs Bulldogs,2013
1,,"Jorge
                
                  Taufua",2.0,Winger,,85:00,,4,1,-,-,-,-,-,,1,,10.0,110.0,15,,22.0,-,-,-,-,3,-,-,-,-,-,-,,-,-,1,10.0,0.1,,83.3%,5.0,1,-,-,-,,1,12,-,-,-,-,-,-,,-,-,-,1,-,-,-,,85:00,-,Sea,14,2013-06-14T09:35:00Z,Sea Eagles vs Bulldogs,2013
2,,"Jamie
                
                  Lyon",3.0,Centre,,77:00,,10,-,5,5,-,100%,-,,-,,14.0,88.0,5,,32.0,-,-,-,-,3,-,-,-,-,-,-,,-,4,15,30.0,1.07,,100%,12.0,-,-,-,3,,3,64,1,-,2,-,-,-,,-,-,-,-,-,-,-,,77:00,-,Sea,14,2013-06-14T09:35:00Z,Sea Eagles vs Bulldogs,2013
3,,"Steve
                
                  Matai",4.0,Centre,,85:00,,4,1,-,-,-,-,-,,-,,8.0,51.0,-,,14.0,1,-,1,-,2,-,-,-,1,10,-,,2,2,13,15.0,1.63,,90%,9.0,1,-,-,-,,1,21,-,-,1,-,-,1,,-,-,-,-,-,-,-,,85:00,-,Sea,14,2013-06-14T09:35:00Z,Sea Eagles vs Bulldogs,2013
4,,"David
                
                  Williams",5.0,Winger,,85:00,,-,-,-,-,-,-,-,,1,,10.0,87.0,56,,17.0,-,-,-,-,-,-,-,-,2,14,-,,-,-,5,16.0,0.5,,100%,3.0,-,-,-,4,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,85:00,-,Sea,14,2013-06-14T09:35:00Z,Sea Eagles vs Bulldogs,2013
5,,"Kieran
                
                  Foran",6.0,Five-Eighth,,85:00,,-,-,-,-,-,-,-,,-,,14.0,114.0,-,,31.0,1,1,2,-,3,-,-,-,-,-,-,,1,13,27,47.0,1.93,,80%,12.0,2,1,-,-,,8,95,-,-,4,-,2,1,,-,1,-,1,-,-,-,,85:00,-,Sea,14,2013-06-14T09:35:00Z,Sea Eagles vs Bulldogs,2013
6,,"Daly
                
                  Cherry-Evans",7.0,Halfback,,85:00,,8,2,-,-,-,-,-,,-,,11.0,86.0,-,,20.0,1,-,-,-,6,-,-,-,1,13,-,,3,6,35,54.0,3.18,,81.3%,13.0,2,1,-,-,,7,176,-,5,1,-,-,1,,-,-,-,1,-,-,-,,85:00,-,Sea,14,2013-06-14T09:35:00Z,Sea Eagles vs Bulldogs,2013
7,,"Brenton
                
                  Lawrence",8.0,Prop,,49:00,,-,-,-,-,-,-,-,,-,,11.0,106.0,26,,43.0,-,-,-,-,1,9,-,-,-,-,-,,2,1,-,11.0,-,,87.9%,29.0,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,49:00,-,Sea,14,2013-06-14T09:35:00Z,Sea Eagles vs Bulldogs,2013
8,,"Matt
                
                  Ballin",9.0,Hooker,,70:00,,-,-,-,-,-,-,-,,-,,5.0,40.0,-,,13.0,-,-,-,-,-,-,-,-,5,40,-,,-,4,118,121.0,23.6,,93.5%,43.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,70:00,-,Sea,14,2013-06-14T09:35:00Z,Sea Eagles vs Bulldogs,2013
9,,"Brent
                
                  Kite",10.0,Prop,,58:00,,-,-,-,-,-,-,-,,1,,13.0,112.0,15,,41.0,-,-,-,-,1,12,-,-,-,-,-,,-,2,3,16.0,0.23,,93.1%,27.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,58:00,-,Sea,14,2013-06-14T09:35:00Z,Sea Eagles vs Bulldogs,2013
