,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Rabbitohs vs Raiders,2013
1,Penalty - Crowding,Nathan Peats,,,,Rabbitohs,79:12,Rabbitohs vs Raiders,2013
2,Kick Bomb,John Sutton,,,,Rabbitohs,72:59,Rabbitohs vs Raiders,2013
3,Conversion-Made,Bryson Goodwin,,,32-2,Rabbitohs,71:38,Rabbitohs vs Raiders,2013
4,Try,Dylan Walker,,,30-2,Rabbitohs,70:01,Rabbitohs vs Raiders,2013
5,Conversion-Missed,Adam Reynolds,,,,Rabbitohs,64:46,Rabbitohs vs Raiders,2013
6,Try,Bryson Goodwin,,,26-2,Rabbitohs,62:59,Rabbitohs vs Raiders,2013
7,Linebreak,Bryson Goodwin,,,,Rabbitohs,62:58,Rabbitohs vs Raiders,2013
8,Kick Bomb,Adam Reynolds,,,,Rabbitohs,62:08,Rabbitohs vs Raiders,2013
9,Conversion-Made,Adam Reynolds,,,22-2,Rabbitohs,59:25,Rabbitohs vs Raiders,2013
10,Try,Nathan Merritt,,,20-2,Rabbitohs,58:00,Rabbitohs vs Raiders,2013
11,Linebreak,Nathan Merritt,,,,Rabbitohs,57:59,Rabbitohs vs Raiders,2013
12,Line Dropout,Terry Campese,,,,Raiders,57:27,Rabbitohs vs Raiders,2013
13,Line Dropout,Terry Campese,,,,Raiders,56:37,Rabbitohs vs Raiders,2013
14,Interchange - Sin Bin Return,Dylan Walker,,,,Rabbitohs,54:18,Rabbitohs vs Raiders,2013
15,Penalty - Hand in the Ruck,Joel Thompson,,,,Raiders,51:21,Rabbitohs vs Raiders,2013
16,Line Dropout,Adam Reynolds,,,,Rabbitohs,44:37,Rabbitohs vs Raiders,2013
17,Interchange - Sin Bin Return,Greg Inglis,,,,Rabbitohs,43:00,Rabbitohs vs Raiders,2013
18,Line Dropout,Terry Campese,,,,Raiders,41:21,Rabbitohs vs Raiders,2013
19,Interchange - Sin Bin Return,Jarrod Croker,,,,Raiders,40:53,Rabbitohs vs Raiders,2013
20,Interchange - Sin Bin Return,Adam Reynolds,,,,Rabbitohs,40:00,Rabbitohs vs Raiders,2013
21,Penalty - Slow Peel,Roy Asotasi,,,,Rabbitohs,39:00,Rabbitohs vs Raiders,2013
22,Penalty - Hand in the Ruck,Roy Asotasi,,,,Rabbitohs,37:59,Rabbitohs vs Raiders,2013
23,Line Dropout,Adam Reynolds,,,,Rabbitohs,37:01,Rabbitohs vs Raiders,2013
24,Interchange - Sin Bin Return,Greg Inglis,,,,Rabbitohs,35:18,Rabbitohs vs Raiders,2013
25,Interchange - Sin Bin Return,Jack Wighton,,,,Raiders,34:09,Rabbitohs vs Raiders,2013
26,Conversion-Made,Adam Reynolds,,,16-2,Rabbitohs,31:34,Rabbitohs vs Raiders,2013
27,Try,Issac Luke,,,14-2,Rabbitohs,30:05,Rabbitohs vs Raiders,2013
28,Linebreak,Issac Luke,,,,Rabbitohs,30:05,Rabbitohs vs Raiders,2013
29,Interchange - Sin Bin Return,Sandor Earl,,,,Raiders,28:41,Rabbitohs vs Raiders,2013
30,Line Dropout,Terry Campese,,,,Raiders,28:16,Rabbitohs vs Raiders,2013
31,Penalty - Flop,Thomas Burgess,,,,Rabbitohs,25:55,Rabbitohs vs Raiders,2013
32,Interchange - Sin Bin Return,Sami Sauiluma,,,,Raiders,24:36,Rabbitohs vs Raiders,2013
33,On Report,Sami Sauiluma,,,,Raiders,21:13,Rabbitohs vs Raiders,2013
34,Penalty - Shoulder Charge,Sami Sauiluma,,,,Raiders,21:01,Rabbitohs vs Raiders,2013
35,Conversion-Missed,Adam Reynolds,,,,Rabbitohs,20:28,Rabbitohs vs Raiders,2013
36,Try,Justin Hunt,,,10-2,Rabbitohs,18:32,Rabbitohs vs Raiders,2013
37,Linebreak,Justin Hunt,,,,Rabbitohs,18:32,Rabbitohs vs Raiders,2013
38,Penalty - Offside inside 10m,Josh Papalii,,,,Raiders,17:55,Rabbitohs vs Raiders,2013
39,Linebreak,Nathan Merritt,,,,Rabbitohs,17:45,Rabbitohs vs Raiders,2013
40,Conversion-Made,Adam Reynolds,,,6-2,Rabbitohs,16:46,Rabbitohs vs Raiders,2013
41,Try,Sam Burgess,,,4-2,Rabbitohs,15:24,Rabbitohs vs Raiders,2013
42,Linebreak,Sam Burgess,,,,Rabbitohs,15:24,Rabbitohs vs Raiders,2013
43,Kick Bomb,Terry Campese,,,,Raiders,13:46,Rabbitohs vs Raiders,2013
44,Penalty - Marker Not Square,Glen Buttriss,,,,Raiders,06:19,Rabbitohs vs Raiders,2013
45,Penalty - Marker Not Square,Shaun Fensom,,,,Raiders,06:19,Rabbitohs vs Raiders,2013
46,Penalty - Hand in the Ruck,David Tyrrell,,,,Rabbitohs,05:22,Rabbitohs vs Raiders,2013
47,Penalty Shot-Made,Jarrod Croker,,,0-2,Raiders,04:14,Rabbitohs vs Raiders,2013
48,Penalty - Offside General,Dylan Walker,,,,Rabbitohs,02:50,Rabbitohs vs Raiders,2013
49,KICK OFF,,,,,,00:00,Rabbitohs vs Raiders,2013
