,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Roosters vs Sea Eagles,2013
1,Conversion-Made,Jamie Lyon,,,18-12,Sea Eagles,76:46,Roosters vs Sea Eagles,2013
2,Try,George Rose,,,18-10,Sea Eagles,76:19,Roosters vs Sea Eagles,2013
3,Linebreak,George Rose,,,,Sea Eagles,76:18,Roosters vs Sea Eagles,2013
4,Penalty - Crowding,Jake Friend,,,,Roosters,76:00,Roosters vs Sea Eagles,2013
5,Penalty - Marker Not Square,Mitchell Pearce,,,,Roosters,75:29,Roosters vs Sea Eagles,2013
6,Penalty - 2nd Effort,Brett Stewart,,,,Sea Eagles,71:20,Roosters vs Sea Eagles,2013
7,Conversion-Missed,Boyd Cordner,,,,Roosters,70:42,Roosters vs Sea Eagles,2013
8,Try,Michael Jennings,,,18-6,Roosters,69:06,Roosters vs Sea Eagles,2013
9,Linebreak,Michael Jennings,,,,Roosters,69:05,Roosters vs Sea Eagles,2013
10,Penalty - Crowding,Daly Cherry-Evans,,,,Sea Eagles,68:27,Roosters vs Sea Eagles,2013
11,Penalty - Punching,Brent Kite,,,,Sea Eagles,65:20,Roosters vs Sea Eagles,2013
12,Penalty - Obstruction,Frank-Paul Nuuausala,,,,Roosters,63:29,Roosters vs Sea Eagles,2013
13,Kick Bomb,Mitchell Pearce,,,,Roosters,62:16,Roosters vs Sea Eagles,2013
14,Penalty Shot-Made,Boyd Cordner,,,14-6,Roosters,58:59,Roosters vs Sea Eagles,2013
15,On Report,Justin Horo,,,,Sea Eagles,58:03,Roosters vs Sea Eagles,2013
16,Penalty - Dangerous Tackle,Justin Horo,,,,Sea Eagles,57:27,Roosters vs Sea Eagles,2013
17,Line Dropout,Daly Cherry-Evans,,,,Sea Eagles,56:43,Roosters vs Sea Eagles,2013
18,Kick Bomb,Mitchell Pearce,,,,Roosters,54:34,Roosters vs Sea Eagles,2013
19,Conversion-Missed,Mitchell Pearce,,,,Roosters,53:09,Roosters vs Sea Eagles,2013
20,Try,Michael Jennings,,,12-6,Roosters,52:04,Roosters vs Sea Eagles,2013
21,Linebreak,Daniel Tupou,,,,Roosters,51:57,Roosters vs Sea Eagles,2013
22,Conversion-Made,Jamie Lyon,,,8-6,Sea Eagles,48:02,Roosters vs Sea Eagles,2013
23,Try,Jamie Lyon,,,8-4,Sea Eagles,47:02,Roosters vs Sea Eagles,2013
24,Linebreak,Jamie Lyon,,,,Sea Eagles,47:01,Roosters vs Sea Eagles,2013
25,Penalty - Marker Not Square,Jamie Buhrer,,,,Sea Eagles,43:40,Roosters vs Sea Eagles,2013
26,Kick Bomb,Daly Cherry-Evans,,,,Sea Eagles,43:17,Roosters vs Sea Eagles,2013
27,Eagles Interchange - Sin Bin Return,Justin Horo,,,,Sea,41:36,Roosters vs Sea Eagles,2013
28,Linebreak,Jamie Lyon,,,,Sea Eagles,39:57,Roosters vs Sea Eagles,2013
29,Line Dropout,Mitchell Pearce,,,,Roosters,38:56,Roosters vs Sea Eagles,2013
30,Eagles Interchange - Sin Bin Return,Brett Stewart,,,,Sea,35:22,Roosters vs Sea Eagles,2013
31,Kick Bomb,Mitchell Pearce,,,,Roosters,32:48,Roosters vs Sea Eagles,2013
32,Interchange - Sin Bin Return,Michael Jennings,,,,Roosters,30:28,Roosters vs Sea Eagles,2013
33,Linebreak,Sonny Bill Williams,,,,Roosters,30:22,Roosters vs Sea Eagles,2013
34,Penalty - Dangerous Tackle,Jorge Taufua,,,,Sea Eagles,29:26,Roosters vs Sea Eagles,2013
35,Kick Bomb,Daly Cherry-Evans,,,,Sea Eagles,29:22,Roosters vs Sea Eagles,2013
36,Conversion-Missed,Boyd Cordner,,,,Roosters,27:12,Roosters vs Sea Eagles,2013
37,Try,Jake Friend,,,8-0,Roosters,25:57,Roosters vs Sea Eagles,2013
38,Linebreak,Jake Friend,,,,Roosters,25:56,Roosters vs Sea Eagles,2013
39,Penalty - Hand in the Ruck,Michael Jennings,,,,Roosters,23:39,Roosters vs Sea Eagles,2013
40,Penalty - Hand in the Ruck,Shaun Kenny-Dowall,,,,Roosters,22:54,Roosters vs Sea Eagles,2013
41,Penalty - Dangerous Tackle,Anthony Watmough,,,,Sea Eagles,21:19,Roosters vs Sea Eagles,2013
42,Penalty - Offside inside 10m,Brent Kite,,,,Sea Eagles,20:44,Roosters vs Sea Eagles,2013
43,Penalty - Offside inside 10m,Aidan Guerra,,,,Roosters,18:50,Roosters vs Sea Eagles,2013
44,Interchange - Sin Bin Return,Aidan Guerra,,,,Roosters,18:18,Roosters vs Sea Eagles,2013
45,Kick Bomb,Mitchell Pearce,,,,Roosters,18:09,Roosters vs Sea Eagles,2013
46,Line Dropout,Mitchell Pearce,,,,Roosters,16:28,Roosters vs Sea Eagles,2013
47,Penalty - Hand in the Ruck,Mitchell Aubusson,,,,Roosters,14:51,Roosters vs Sea Eagles,2013
48,Line Dropout,Mitchell Pearce,,,,Roosters,14:31,Roosters vs Sea Eagles,2013
49,Line Dropout,Mitchell Pearce,,,,Roosters,13:11,Roosters vs Sea Eagles,2013
50,Penalty - Holding Down,Luke O'Donnell,,,,Roosters,09:50,Roosters vs Sea Eagles,2013
51,Kick Bomb,Mitchell Pearce,,,,Roosters,08:01,Roosters vs Sea Eagles,2013
52,Conversion-Missed,Boyd Cordner,,,,Roosters,06:46,Roosters vs Sea Eagles,2013
53,Try,Roger Tuivasa-Sheck,,,4-0,Roosters,05:29,Roosters vs Sea Eagles,2013
54,Linebreak,Roger Tuivasa-Sheck,,,,Roosters,05:29,Roosters vs Sea Eagles,2013
55,Line Dropout,Daly Cherry-Evans,,,,Sea Eagles,04:36,Roosters vs Sea Eagles,2013
56,Penalty - Slow Peel,Justin Horo,,,,Sea Eagles,02:44,Roosters vs Sea Eagles,2013
57,KICK OFF,,,,,,00:00,Roosters vs Sea Eagles,2013
