,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Sea Eagles vs Eels,2013
1,Conversion-Made,Jamie Lyon,,,50-10,Sea Eagles,80:00,Sea Eagles vs Eels,2013
2,Try,Kieran Foran,,,48-10,Sea Eagles,79:36,Sea Eagles vs Eels,2013
3,Linebreak,Jorge Taufua,,,,Sea Eagles,79:27,Sea Eagles vs Eels,2013
4,Conversion-Made,Jamie Lyon,,,44-10,Sea Eagles,78:22,Sea Eagles vs Eels,2013
5,Try,Jamie Lyon,,,42-10,Sea Eagles,76:40,Sea Eagles vs Eels,2013
6,Conversion-Made,Jamie Lyon,,,38-10,Sea Eagles,75:11,Sea Eagles vs Eels,2013
7,Try,Jorge Taufua,,,36-10,Sea Eagles,73:35,Sea Eagles vs Eels,2013
8,Linebreak,Jorge Taufua,,,,Sea Eagles,73:35,Sea Eagles vs Eels,2013
9,On Report,Mitchell Allgood,,,,Eels,72:43,Sea Eagles vs Eels,2013
10,Sin Bin,Mitchell Allgood,,,,Eels,72:43,Sea Eagles vs Eels,2013
11,Penalty - Dangerous Tackle,Mitchell Allgood,,,,Eels,72:38,Sea Eagles vs Eels,2013
12,Eagles Interchange - Sin Bin Return,Justin Horo,,,,Sea,70:38,Sea Eagles vs Eels,2013
13,Conversion-Made,Jamie Lyon,,,32-10,Sea Eagles,69:33,Sea Eagles vs Eels,2013
14,Try,Jamie Buhrer,,,30-10,Sea Eagles,68:06,Sea Eagles vs Eels,2013
15,Linebreak,Jamie Buhrer,,,,Sea Eagles,68:04,Sea Eagles vs Eels,2013
16,Line Dropout,Chris Sandow,,,,Eels,67:39,Sea Eagles vs Eels,2013
17,Eagles Interchange - Sin Bin Return,James Hasson,,,,Sea,64:45,Sea Eagles vs Eels,2013
18,Interchange - Sin Bin Return,Ben Roberts,,,,Eels,63:48,Sea Eagles vs Eels,2013
19,Penalty - Holding Down,Daniel Harrison,,,,Eels,61:27,Sea Eagles vs Eels,2013
20,Conversion-Missed,Chris Sandow,,,,Eels,57:39,Sea Eagles vs Eels,2013
21,Try,Brayden Wiliame,,,26-10,Eels,56:33,Sea Eagles vs Eels,2013
22,Linebreak,Brayden Wiliame,,,,Eels,56:33,Sea Eagles vs Eels,2013
23,Penalty - Ball Strip,Brent Kite,,,,Sea Eagles,55:52,Sea Eagles vs Eels,2013
24,Linebreak,Chris Sandow,,,,Eels,55:42,Sea Eagles vs Eels,2013
25,Penalty - Obstruction,Steve Matai,,,,Sea Eagles,54:44,Sea Eagles vs Eels,2013
26,Conversion-Made,Jamie Lyon,,,26-6,Sea Eagles,51:43,Sea Eagles vs Eels,2013
27,Try,Tom Symonds,,,24-6,Sea Eagles,50:09,Sea Eagles vs Eels,2013
28,Linebreak,Tom Symonds,,,,Sea Eagles,50:08,Sea Eagles vs Eels,2013
29,Interchange - Sin Bin Return,Brayden Wiliame,,,,Eels,49:20,Sea Eagles vs Eels,2013
30,Kick Bomb,Chris Sandow,,,,Eels,47:46,Sea Eagles vs Eels,2013
31,Eagles Interchange - Sin Bin Return,Jamie Buhrer,,,,Sea,44:18,Sea Eagles vs Eels,2013
32,Penalty - Offside inside 10m,Daly Cherry-Evans,,,,Sea Eagles,38:57,Sea Eagles vs Eels,2013
