,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Roosters vs Sharks,2013
1,Penalty - Marker Not Square,Andrew Fifita,,,,Sharks,75:50,Roosters vs Sharks,2013
2,Interchange - Sin Bin Return,Jonathan Wright,,,,Sharks,75:00,Roosters vs Sharks,2013
3,Penalty - Offside inside 10m,Luke O'Donnell,,,,Roosters,73:55,Roosters vs Sharks,2013
4,Interchange - Sin Bin Return,Chad Townsend,,,,Sharks,72:07,Roosters vs Sharks,2013
5,Linebreak,Mitchell Aubusson,,,,Roosters,71:18,Roosters vs Sharks,2013
6,Penalty - Dangerous Tackle,Daniel Mortimer,,,,Roosters,69:13,Roosters vs Sharks,2013
7,Kick Bomb,Mitchell Pearce,,,,Roosters,69:08,Roosters vs Sharks,2013
8,Interchange - Sin Bin Return,Tyrone Peachey,,,,Sharks,65:23,Roosters vs Sharks,2013
9,Penalty - Holding Down,Michael Gordon,,,,Sharks,64:24,Roosters vs Sharks,2013
10,Kick Bomb,James Maloney,,,,Roosters,64:09,Roosters vs Sharks,2013
11,Kick Bomb,Todd Carney,,,,Sharks,63:13,Roosters vs Sharks,2013
12,Penalty - Escorts,Michael Jennings,,,,Roosters,61:54,Roosters vs Sharks,2013
13,Linebreak,James Maloney,,,,Roosters,61:41,Roosters vs Sharks,2013
14,Conversion-Made,James Maloney,,,40-0,Roosters,60:40,Roosters vs Sharks,2013
15,Try,Mitchell Aubusson,,,38-0,Roosters,58:58,Roosters vs Sharks,2013
16,Linebreak,Mitchell Aubusson,,,,Roosters,58:54,Roosters vs Sharks,2013
17,Kick Bomb,Chad Townsend,,,,Sharks,57:53,Roosters vs Sharks,2013
18,Interchange - Sin Bin Return,Tyrone Peachey,,,,Sharks,56:22,Roosters vs Sharks,2013
19,Penalty - Marker Not Square,James Maloney,,,,Roosters,55:42,Roosters vs Sharks,2013
20,Interchange - Sin Bin Return,Roger Tuivasa-Sheck,,,,Roosters,55:21,Roosters vs Sharks,2013
21,Interchange - Sin Bin Return,James Maloney,,,,Roosters,54:00,Roosters vs Sharks,2013
22,Linebreak,Roger Tuivasa-Sheck,,,,Roosters,51:31,Roosters vs Sharks,2013
23,Conversion-Made,James Maloney,,,34-0,Roosters,50:15,Roosters vs Sharks,2013
24,Try,Sam Moa,,,32-0,Roosters,49:16,Roosters vs Sharks,2013
25,Linebreak,Sam Moa,,,,Roosters,49:16,Roosters vs Sharks,2013
26,Penalty - Dangerous Tackle,Andrew Fifita,,,,Sharks,48:12,Roosters vs Sharks,2013
27,Line Dropout,Todd Carney,,,,Sharks,47:54,Roosters vs Sharks,2013
