,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Brett
                
                  Stewart",1.0,Fullback,,80:00,,4,1,-,-,-,-,-,,-,,10.0,79.0,11,,16.0,1,3,3,-,3,-,-,-,1,7,-,,1,4,21,31.0,2.1,,100%,3.0,-,-,-,5,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sea,19,2013-07-21T05:00:00Z,Sea Eagles vs Titans,2013
1,,"Jorge
                
                  Taufua",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,2,,12.0,110.0,54,,46.0,1,-,-,-,2,-,-,-,1,9,-,,-,-,1,16.0,0.08,,100%,3.0,-,-,-,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sea,19,2013-07-21T05:00:00Z,Sea Eagles vs Titans,2013
2,,"Jamie
                
                  Lyon",3.0,Centre,,80:00,,10,1,3,8,-,37.5%,-,,-,,11.0,75.0,-,,28.0,1,-,-,-,2,-,-,-,-,-,-,,2,-,7,18.0,0.64,,81.3%,13.0,2,1,-,-,,1,35,1,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sea,19,2013-07-21T05:00:00Z,Sea Eagles vs Titans,2013
3,,"Steve
                
                  Matai",4.0,Centre,,48:00,,4,1,-,-,-,-,-,,1,,9.0,90.0,-,,30.0,-,-,-,-,2,-,-,-,2,18,-,,-,1,9,14.0,1,,75%,6.0,2,-,-,1,,1,9,-,-,1,-,-,-,,-,-,-,1,-,-,-,,48:00,-,Sea,19,2013-07-21T05:00:00Z,Sea Eagles vs Titans,2013
4,,"David
                
                  Williams",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,1,,13.0,118.0,29,,23.0,1,-,-,-,1,-,-,-,2,12,-,,2,-,6,20.0,0.46,,50%,1.0,1,-,-,3,,1,20,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sea,19,2013-07-21T05:00:00Z,Sea Eagles vs Titans,2013
5,,"Kieran
                
                  Foran",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,-,,2.0,30.0,-,,14.0,-,1,1,-,-,-,-,-,-,-,-,,-,1,34,41.0,17,,100%,21.0,-,-,-,-,,5,37,-,1,2,-,2,-,,-,1,-,-,-,-,-,,80:00,-,Sea,19,2013-07-21T05:00:00Z,Sea Eagles vs Titans,2013
6,,"Daly
                
                  Cherry-Evans",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,-,,5.0,54.0,-,,8.0,-,-,-,-,1,-,-,-,-,-,-,,1,2,30,44.0,6,,91.7%,22.0,1,1,-,-,,12,419,-,2,2,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sea,19,2013-07-21T05:00:00Z,Sea Eagles vs Titans,2013
7,,"Brenton
                
                  Lawrence",8.0,Prop,,51:00,,-,-,-,-,-,-,-,,-,,8.0,107.0,22,,19.0,1,-,-,-,2,6,-,-,-,-,-,,-,-,-,8.0,-,,93.5%,29.0,-,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,51:00,-,Sea,19,2013-07-21T05:00:00Z,Sea Eagles vs Titans,2013
8,,"Matt
                
                  Ballin",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,1,,8.0,60.0,-,,24.0,-,-,-,-,-,1,-,-,6,57,-,,1,-,87,92.0,10.88,,91.9%,34.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sea,19,2013-07-21T05:00:00Z,Sea Eagles vs Titans,2013
9,,"Brent
                
                  Kite",10.0,Prop,,43:00,,-,-,-,-,-,-,-,,-,,8.0,76.0,-,,31.0,-,-,-,-,1,8,-,-,-,-,-,,-,-,2,11.0,0.25,,87.5%,21.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,43:00,-,Sea,19,2013-07-21T05:00:00Z,Sea Eagles vs Titans,2013
