,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Sea Eagles vs Titans,2013
1,Conversion-Missed,Jamie Lyon,,,,Sea Eagles,78:33,Sea Eagles vs Titans,2013
2,Try,Jorge Taufua,,,38-20,Sea Eagles,76:59,Sea Eagles vs Titans,2013
3,Linebreak,Jorge Taufua,,,,Sea Eagles,76:58,Sea Eagles vs Titans,2013
4,Linebreak,Brenton Lawrence,,,,Sea Eagles,76:45,Sea Eagles vs Titans,2013
5,Conversion-Made,Jamie Lyon,,,34-20,Sea Eagles,75:52,Sea Eagles vs Titans,2013
6,Try,Nick Skinner,,,32-20,Sea Eagles,74:23,Sea Eagles vs Titans,2013
7,Linebreak,Nick Skinner,,,,Sea Eagles,74:22,Sea Eagles vs Titans,2013
8,Kick Bomb,Kieran Foran,,,,Sea Eagles,74:15,Sea Eagles vs Titans,2013
9,Eagles Interchange - Sin Bin Return,Kieran Foran,,,,Sea,71:55,Sea Eagles vs Titans,2013
10,Penalty - Offside General,Mark Minichiello,,,,Titans,70:56,Sea Eagles vs Titans,2013
11,Line Dropout,Aidan Sezer,,,,Titans,70:12,Sea Eagles vs Titans,2013
12,Line Dropout,Aidan Sezer,,,,Titans,68:49,Sea Eagles vs Titans,2013
13,Conversion-Missed,Aidan Sezer,,,,Titans,64:51,Sea Eagles vs Titans,2013
14,Try,Aidan Sezer,,,28-20,Titans,63:16,Sea Eagles vs Titans,2013
15,Linebreak,Aidan Sezer,,,,Titans,63:05,Sea Eagles vs Titans,2013
16,Interchange - Sin Bin Return,Kevin Gordon,,,,Titans,61:57,Sea Eagles vs Titans,2013
17,Penalty - Holding Down,Richie Fa'aoso,,,,Sea Eagles,59:30,Sea Eagles vs Titans,2013
18,Conversion-Missed,Jamie Lyon,,,,Sea Eagles,55:49,Sea Eagles vs Titans,2013
19,Try,Justin Horo,,,28-16,Sea Eagles,54:21,Sea Eagles vs Titans,2013
20,Linebreak,Justin Horo,,,,Sea Eagles,54:21,Sea Eagles vs Titans,2013
21,Interchange - Sin Bin Return,Aidan Sezer,,,,Titans,53:51,Sea Eagles vs Titans,2013
22,Conversion-Made,Aidan Sezer,,,24-16,Titans,52:32,Sea Eagles vs Titans,2013
23,Try,Kevin Gordon,,,24-14,Titans,51:30,Sea Eagles vs Titans,2013
24,Sin Bin,Ryan James,,,,Titans,47:52,Sea Eagles vs Titans,2013
25,Penalty - Professional Foul,Ryan James,,,,Titans,47:47,Sea Eagles vs Titans,2013
26,Interchange - Sin Bin Return,Beau Falloon,,,,Titans,47:35,Sea Eagles vs Titans,2013
27,Interchange - Sin Bin Return,Mark Minichiello,,,,Titans,43:44,Sea Eagles vs Titans,2013
28,Kick Bomb,Aidan Sezer,,,,Titans,42:15,Sea Eagles vs Titans,2013
29,Conversion-Made,Aidan Sezer,,,24-10,Titans,39:53,Sea Eagles vs Titans,2013
30,Try,David Mead,,,24-8,Titans,38:27,Sea Eagles vs Titans,2013
31,Linebreak,David Mead,,,,Titans,38:27,Sea Eagles vs Titans,2013
32,Penalty - Ball Strip,Steve Matai,,,,Sea Eagles,37:39,Sea Eagles vs Titans,2013
33,Conversion-Missed,Jamie Lyon,,,,Sea Eagles,34:28,Sea Eagles vs Titans,2013
34,Try,Jamie Buhrer,,,24-4,Sea Eagles,33:09,Sea Eagles vs Titans,2013
35,Linebreak,Jamie Buhrer,,,,Sea Eagles,33:08,Sea Eagles vs Titans,2013
36,Penalty - 2nd Effort,Beau Falloon,,,,Titans,31:59,Sea Eagles vs Titans,2013
37,Conversion-Missed,Jamie Lyon,,,,Sea Eagles,31:16,Sea Eagles vs Titans,2013
38,Try,Steve Matai,,,20-4,Sea Eagles,30:12,Sea Eagles vs Titans,2013
39,Penalty - Offside General,Ryan James,,,,Titans,29:16,Sea Eagles vs Titans,2013
