,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Cowboys vs Storm,2013
1,Conversion-Made,Gareth Widdop,,,10-32,Storm,79:27,Cowboys vs Storm,2013
2,Try,Ryan Hoffman,,,10-30,Storm,78:08,Cowboys vs Storm,2013
3,Linebreak,Ryan Hoffman,,,,Storm,78:06,Cowboys vs Storm,2013
4,Line Dropout,Johnathan Thurston,,,,Cowboys,77:39,Cowboys vs Storm,2013
5,Penalties - Other,Johnathan Thurston,,,,Cowboys,76:09,Cowboys vs Storm,2013
6,Conversion-Made,Cameron Smith,,,10-26,Storm,75:40,Cowboys vs Storm,2013
7,Try,Will Chambers,,,10-24,Storm,74:37,Cowboys vs Storm,2013
8,Kick Bomb,Cooper Cronk,,,,Storm,74:32,Cowboys vs Storm,2013
9,Interchange - Sin Bin Return,Ray Thompson,,,,Cowboys,73:32,Cowboys vs Storm,2013
10,Kick Bomb,Johnathan Thurston,,,,Cowboys,73:25,Cowboys vs Storm,2013
11,Conversion-Missed,Johnathan Thurston,,,,Cowboys,71:41,Cowboys vs Storm,2013
12,Try,Ashley Graham,,,10-20,Cowboys,70:24,Cowboys vs Storm,2013
13,Linebreak,Ashley Graham,,,,Cowboys,70:24,Cowboys vs Storm,2013
14,Penalty - Slow Peel,Cooper Cronk,,,,Storm,69:26,Cowboys vs Storm,2013
15,Penalty - 2nd Effort,Cooper Cronk,,,,Storm,67:32,Cowboys vs Storm,2013
16,Interchange - Sin Bin Return,Ryan Hoffman,,,,Storm,67:17,Cowboys vs Storm,2013
17,Linebreak,Brent Tate,,,,Cowboys,66:13,Cowboys vs Storm,2013
18,Interchange - Sin Bin Return,Rory Kostjasyn,,,,Cowboys,62:53,Cowboys vs Storm,2013
19,Kick Bomb,Johnathan Thurston,,,,Cowboys,61:16,Cowboys vs Storm,2013
20,Interchange - Sin Bin Return,Matthew Scott,,,,Cowboys,59:13,Cowboys vs Storm,2013
21,Penalty - Ball Strip,Slade Griffin,,,,Storm,56:11,Cowboys vs Storm,2013
22,Penalty - Holding Down,Slade Griffin,,,,Storm,55:33,Cowboys vs Storm,2013
23,Penalty - Ball Strip,Jason Taumalolo,,,,Cowboys,54:00,Cowboys vs Storm,2013
24,Interchange - Sin Bin Return,James Tamou,,,,Cowboys,52:54,Cowboys vs Storm,2013
25,Penalty - 2nd Effort,James Tamou,,,,Cowboys,51:02,Cowboys vs Storm,2013
26,Conversion-Missed,Cameron Smith,,,,Storm,49:36,Cowboys vs Storm,2013
27,Try,Cooper Cronk,,,6-20,Storm,47:43,Cowboys vs Storm,2013
28,Linebreak,Cooper Cronk,,,,Storm,47:42,Cowboys vs Storm,2013
29,Penalty - Holding Down,Ray Thompson,,,,Cowboys,45:22,Cowboys vs Storm,2013
30,Interchange - Sin Bin Return,Jason Taumalolo,,,,Cowboys,45:03,Cowboys vs Storm,2013
31,On Report,Siosaia Vave,,,,Storm,44:15,Cowboys vs Storm,2013
32,Penalty - Dangerous Tackle,Siosaia Vave,,,,Storm,44:11,Cowboys vs Storm,2013
33,Penalty - Ball Strip,Ryan Hoffman,,,,Storm,43:31,Cowboys vs Storm,2013
34,Penalty - Crowding,Antonio Winterstein,,,,Cowboys,41:55,Cowboys vs Storm,2013
35,Penalty - Ball Strip,Cooper Cronk,,,,Storm,40:26,Cowboys vs Storm,2013
36,Conversion-Missed,Cameron Smith,,,,Storm,39:28,Cowboys vs Storm,2013
37,Try,Will Chambers,,,6-16,Storm,37:52,Cowboys vs Storm,2013
38,Linebreak,Will Chambers,,,,Storm,37:50,Cowboys vs Storm,2013
39,Linebreak,Tohu Harris,,,,Storm,37:33,Cowboys vs Storm,2013
40,Linebreak,Johnathan Thurston,,,,Cowboys,37:02,Cowboys vs Storm,2013
41,Line Dropout,Cameron Smith,,,,Storm,34:25,Cowboys vs Storm,2013
42,Penalty - Ball Strip,Jason Ryles,,,,Storm,32:17,Cowboys vs Storm,2013
43,Kick Bomb,Cooper Cronk,,,,Storm,30:24,Cowboys vs Storm,2013
44,Conversion-Made,Cameron Smith,,,6-12,Storm,28:55,Cowboys vs Storm,2013
45,Try,Cooper Cronk,,,6-10,Storm,27:20,Cowboys vs Storm,2013
46,Linebreak,Cooper Cronk,,,,Storm,27:18,Cowboys vs Storm,2013
47,Interchange - Sin Bin Return,Gavin Cooper,,,,Cowboys,26:47,Cowboys vs Storm,2013
48,Kick Bomb,Johnathan Thurston,,,,Cowboys,25:16,Cowboys vs Storm,2013
49,Penalty - Offside inside 10m,Gavin Cooper,,,,Cowboys,21:22,Cowboys vs Storm,2013
50,Linebreak,Antonio Winterstein,,,,Cowboys,20:25,Cowboys vs Storm,2013
51,Interchange - Sin Bin Return,Glenn Hall,,,,Cowboys,12:43,Cowboys vs Storm,2013
52,Conversion-Made,Johnathan Thurston,,,6-6,Cowboys,11:51,Cowboys vs Storm,2013
53,Try,Kane Linnett,,,4-6,Cowboys,10:38,Cowboys vs Storm,2013
54,Linebreak,Antonio Winterstein,,,,Cowboys,10:33,Cowboys vs Storm,2013
55,Penalty - Dangerous Tackle,Bryan Norrie,,,,Storm,07:37,Cowboys vs Storm,2013
56,Kick Bomb,Cooper Cronk,,,,Storm,05:34,Cowboys vs Storm,2013
57,Conversion-Made,Cameron Smith,,,0-6,Storm,04:26,Cowboys vs Storm,2013
58,Try,Ryan Hinchcliffe,,,0-4,Storm,02:27,Cowboys vs Storm,2013
59,Linebreak,Ryan Hinchcliffe,,,,Storm,02:22,Cowboys vs Storm,2013
60,Interchange - Sin Bin Return,Justin O'Neill,,,,Storm,00:55,Cowboys vs Storm,2013
61,Kick Bomb,Cooper Cronk,,,,Storm,00:51,Cowboys vs Storm,2013
62,KICK OFF,,,,,,00:00,Cowboys vs Storm,2013
