,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Greg
                
                  Inglis",1.0,Fullback,,78:00,,-,-,-,-,-,-,-,,1,,14.0,223.0,88,,69,-,-,-,-,4,-,-,-,-,-,-,,-,-,12,25.0,0.86,,55.6%,5.0,3,1,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,78:00,-,Rabbitohs,2,2013-03-18T08:00:00Z,Rabbitohs vs Sharks,2013
1,,"Nathan
                
                  Merritt",2.0,Winger,,78:00,,-,-,-,-,-,-,-,,1,,7.0,73.0,16,,27,-,-,-,-,2,-,-,-,-,-,-,,1,-,2,12.0,0.29,,100%,2.0,-,-,-,2,,-,-,-,-,-,-,-,-,,-,1,-,1,-,-,-,,78:00,-,Rabbitohs,2,2013-03-18T08:00:00Z,Rabbitohs vs Sharks,2013
2,,"Dylan
                
                  Farrell",3.0,Centre,,78:00,,4,1,-,-,-,-,-,,1,,6.0,48.0,-,,10,-,-,-,-,2,-,-,-,1,9,-,,-,-,10,15.0,1.67,,100%,20.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,78:00,-,Rabbitohs,2,2013-03-18T08:00:00Z,Rabbitohs vs Sharks,2013
3,,"Bryson
                
                  Goodwin",4.0,Centre,,78:00,,-,-,-,-,-,-,-,,-,,8.0,86.0,-,,20,1,-,-,-,2,-,-,-,-,-,-,,-,-,5,13.0,0.63,,81%,17.0,1,3,-,1,,-,-,-,-,-,-,-,-,,-,1,-,2,-,-,-,,78:00,-,Rabbitohs,2,2013-03-18T08:00:00Z,Rabbitohs vs Sharks,2013
4,,"Andrew
                
                  Everingham",5.0,Winger,,78:00,,4,1,-,-,-,-,-,,1,,6.0,68.0,16,,23,-,-,-,-,-,-,-,-,3,38,-,,-,-,4,11.0,0.67,,100%,3.0,-,-,-,1,,1,2,-,-,1,-,-,-,,-,-,-,-,-,-,-,,78:00,-,Rabbitohs,2,2013-03-18T08:00:00Z,Rabbitohs vs Sharks,2013
5,,"John
                
                  Sutton",6.0,Five-Eighth,,78:00,,-,-,-,-,-,-,-,,1,,15.0,140.0,-,,57,-,-,-,-,3,1,-,-,-,-,-,,2,-,32,50.0,2.13,,88.9%,24.0,-,3,-,-,,4,121,1,-,1,-,1,-,,-,1,-,1,-,-,-,,78:00,-,Rabbitohs,2,2013-03-18T08:00:00Z,Rabbitohs vs Sharks,2013
6,,"Adam
                
                  Reynolds",7.0,Halfback,,78:00,,6,-,2,2,1,100%,-,,-,,2.0,6.0,-,,-,-,-,2,-,-,-,-,-,-,-,-,,1,2,17,30.0,8.5,,83.9%,26.0,2,3,-,-,,10,223,-,2,4,-,1,1,,-,-,-,-,-,-,-,,78:00,-,Rabbitohs,2,2013-03-18T08:00:00Z,Rabbitohs vs Sharks,2013
7,,"David
                
                  Tyrrell",16.0,Prop,,48:00,,-,-,-,-,-,-,-,,-,,11.0,108.0,27,,31,-,-,-,-,1,9,-,-,-,-,-,,-,-,2,12.0,0.18,,88.6%,31.0,1,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,48:00,-,Rabbitohs,2,2013-03-18T08:00:00Z,Rabbitohs vs Sharks,2013
8,,"Issac
                
                  Luke",9.0,Hooker,,49:00,,-,-,-,-,-,-,-,,1,,10.0,106.0,-,,21,-,-,-,-,2,-,-,-,9,99,-,,2,1,62,70.0,6.2,,90%,18.0,1,1,-,-,,1,13,1,-,1,-,-,-,,-,1,-,2,-,-,-,,49:00,-,Rabbitohs,2,2013-03-18T08:00:00Z,Rabbitohs vs Sharks,2013
9,,"Roy
                
                  Asotasi",10.0,Prop,,70:00,,-,-,-,-,-,-,-,,-,,9.0,82.0,-,,28,-,-,-,-,-,9,-,-,-,-,-,,-,-,2,11.0,0.22,,86.4%,19.0,3,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,70:00,-,Rabbitohs,2,2013-03-18T08:00:00Z,Rabbitohs vs Sharks,2013
