,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Tim
                
                  Moltzen",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,1,,7.0,62.0,34,,20.0,1,1,-,-,4,-,-,-,-,-,-,,1,-,25,33.0,3.57,,75%,3.0,1,-,-,7,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Wests,2,2013-03-17T04:00:00Z,Wests Tigers vs Panthers,2013
1,,"Joel
                
                  Reddy",18.0,Winger,,80:00,,-,-,-,-,-,-,-,,2,,15.0,170.0,69,,51.0,-,-,-,-,4,-,-,-,4,36,-,,2,-,2,19.0,0.13,,100%,4.0,-,-,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Wests,2,2013-03-17T04:00:00Z,Wests Tigers vs Panthers,2013
2,,"Blake
                
                  Ayshford",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,-,,14.0,118.0,-,,48.0,-,-,-,-,2,-,-,-,1,12,-,,1,-,3,16.0,0.21,,94.7%,18.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Wests,2,2013-03-17T04:00:00Z,Wests Tigers vs Panthers,2013
3,,"Chris
                
                  Lawrence",4.0,Centre,,73:00,,-,-,-,-,-,-,-,,-,,9.0,73.0,-,,27.0,-,-,-,-,1,-,-,-,2,10,-,,-,-,6,14.0,0.67,,75%,9.0,3,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,73:00,-,Wests,2,2013-03-17T04:00:00Z,Wests Tigers vs Panthers,2013
4,,"Marika
                
                  Koroibete",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,2,,15.0,240.0,17,,43.0,2,-,-,-,6,-,-,-,1,7,-,,1,-,-,17.0,-,,75%,3.0,-,1,-,-,,1,23,-,-,1,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Wests,2,2013-03-17T04:00:00Z,Wests Tigers vs Panthers,2013
5,,"Benji
                
                  Marshall",6.0,Five-Eighth,,80:00,,12,1,4,5,-,80%,-,,-,,6.0,43.0,-,,3.0,1,-,1,-,4,-,-,-,-,-,-,,-,1,42,57.0,7,,100%,9.0,-,-,-,-,,11,383,2,-,3,-,-,1,,-,-,-,-,-,-,-,,80:00,-,Wests,2,2013-03-17T04:00:00Z,Wests Tigers vs Panthers,2013
6,,"Jacob
                
                  Miller",7.0,Halfback,,52:00,,4,1,-,-,-,-,-,,-,,8.0,42.0,-,,8.0,1,-,-,-,2,-,-,-,-,-,-,,-,-,15,24.0,1.88,,80%,8.0,-,2,-,-,,1,23,-,1,-,-,-,-,,-,-,-,-,-,-,-,,52:00,-,Wests,2,2013-03-17T04:00:00Z,Wests Tigers vs Panthers,2013
7,,"Jack
                
                  Buchanan",8.0,Prop,,48:00,,-,-,-,-,-,-,-,,-,,11.0,103.0,11,,40.0,-,-,-,-,-,10,-,-,-,-,1,,-,-,1,12.0,0.09,,88.6%,31.0,1,3,-,-,,-,-,-,-,-,-,-,-,,-,1,-,2,-,-,-,,48:00,-,Wests,2,2013-03-17T04:00:00Z,Wests Tigers vs Panthers,2013
8,,"Robbie
                
                  Farah",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,-,,13.0,136.0,-,,24.0,1,3,3,-,1,-,-,-,8,52,-,,1,5,104,108.0,8,,85.7%,36.0,2,4,-,-,,3,89,-,1,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Wests,2,2013-03-17T04:00:00Z,Wests Tigers vs Panthers,2013
9,,"Keith
                
                  Galloway",10.0,Prop,,33:00,,-,-,-,-,-,-,-,,-,,10.0,83.0,12,,32.0,-,-,-,-,1,9,-,-,-,-,-,,3,-,-,10.0,-,,100%,18.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,33:00,-,Wests,2,2013-03-17T04:00:00Z,Wests Tigers vs Panthers,2013
10,,"Braith
                
                  Anasta",11.0,2nd Row,,59:00,,-,-,-,-,-,-,-,,-,,5.0,40.0,-,,23.0,-,-,-,-,-,5,-,-,-,-,-,,-,-,5,10.0,1,,92.9%,13.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,59:00,-,Wests,2,2013-03-17T04:00:00Z,Wests Tigers vs Panthers,2013
11,,"Liam
                
                  Fulton",12.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,-,,13.0,91.0,-,,21.0,-,-,-,-,1,13,-,-,-,-,-,,1,1,5,19.0,0.38,,86.5%,32.0,1,4,-,-,,-,-,-,-,-,-,-,-,,-,1,-,1,-,-,-,,80:00,-,Wests,2,2013-03-17T04:00:00Z,Wests Tigers vs Panthers,2013
12,,"Adam
                
                  Blair",13.0,Lock,,55:00,,-,-,-,-,-,-,-,,-,,9.0,74.0,-,,31.0,-,-,-,-,-,9,-,-,-,-,-,,1,-,1,12.0,0.11,,81.5%,22.0,4,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,55:00,-,Wests,2,2013-03-17T04:00:00Z,Wests Tigers vs Panthers,2013
13,,"Matthew
                
                  Bell",14.0,Interchange,,33:00,,-,-,-,-,-,-,-,,-,,5.0,28.0,-,,5.0,-,-,-,-,-,5,-,-,-,-,-,,-,-,3,8.0,0.6,,86.4%,19.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,33:00,-,Wests,2,2013-03-17T04:00:00Z,Wests Tigers vs Panthers,2013
