,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Jake
                
                  Mullaney",1.0,Fullback,,80:00,,2,-,1,1,-,100%,-,,1,,9.0,71.0,52,,16.0,-,-,-,-,1,-,-,-,-,-,-,,2,-,18,29.0,2,,33.3%,1.0,2,-,-,12,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Eels,21,2013-08-03T07:30:00Z,Eels vs Sea Eagles,2013
1,,"Ken
                
                  Sio",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,-,,10.0,108.0,30,,41.0,1,-,-,-,2,3,-,-,1,4,-,,-,-,-,12.0,-,,66.7%,4.0,1,1,-,2,,1,13,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Eels,21,2013-08-03T07:30:00Z,Eels vs Sea Eagles,2013
2,,"Ryan
                
                  Morgan",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,1,,6.0,52.0,-,,13.0,-,-,-,-,-,1,-,-,-,-,-,,-,-,8,10.0,1.33,,86.4%,19.0,3,-,-,-,,-,-,-,-,-,-,-,-,,-,2,-,-,-,-,-,,80:00,-,Eels,21,2013-08-03T07:30:00Z,Eels vs Sea Eagles,2013
3,,"Willie
                
                  Tonga",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,1,,7.0,76.0,-,,26.0,-,1,1,-,1,1,-,-,-,-,-,,1,-,3,9.0,0.43,,50%,5.0,2,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Eels,21,2013-08-03T07:30:00Z,Eels vs Sea Eagles,2013
4,,"Semi
                
                  Radradra",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,1,,9.0,162.0,-,,30.0,2,-,-,-,4,1,-,-,-,-,-,,2,-,-,12.0,-,,50%,1.0,1,-,-,1,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Eels,21,2013-08-03T07:30:00Z,Eels vs Sea Eagles,2013
5,,"Api
                
                  Pewhairangi",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,1,,6.0,50.0,-,,20.0,-,-,-,-,4,1,-,-,-,-,-,,1,-,9,16.0,1.5,,66.7%,10.0,2,3,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Eels,21,2013-08-03T07:30:00Z,Eels vs Sea Eagles,2013
6,,"Ben
                
                  Roberts",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,1,,7.0,55.0,-,,14.0,1,1,-,-,-,1,-,-,1,12,-,,-,-,26,38.0,3.71,,78.3%,18.0,2,3,-,-,,7,165,-,1,-,-,2,-,,-,-,-,2,-,-,-,,80:00,-,Eels,21,2013-08-03T07:30:00Z,Eels vs Sea Eagles,2013
7,,"Tim
                
                  Mannah",8.0,Prop,,80:00,,-,-,-,-,-,-,-,,1,,14.0,144.0,30,,63.0,-,-,-,-,1,11,-,-,-,-,-,,1,-,2,19.0,0.14,,90%,27.0,-,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Eels,21,2013-08-03T07:30:00Z,Eels vs Sea Eagles,2013
8,,"Matthew
                
                  Keating",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,-,,4.0,45.0,-,,15.0,-,1,-,-,-,-,-,-,4,45,-,,-,1,85,87.0,21.25,,90%,36.0,-,4,-,-,,1,16,1,-,1,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Eels,21,2013-08-03T07:30:00Z,Eels vs Sea Eagles,2013
9,,"Fuifui
                
                  Moimoi",10.0,Prop,,80:00,,-,-,-,-,-,-,-,,-,,9.0,100.0,-,,29.0,1,-,-,-,3,9,-,-,-,-,-,,-,-,2,13.0,0.22,,85.7%,24.0,3,1,-,-,,1,17,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Eels,21,2013-08-03T07:30:00Z,Eels vs Sea Eagles,2013
10,,"Reni
                
                  Maitua",11.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,-,,9.0,109.0,-,,43.0,-,-,-,-,5,8,-,-,-,-,-,,-,-,3,13.0,0.33,,84.6%,22.0,1,3,-,-,,-,-,-,-,-,-,-,-,,-,1,-,3,-,-,-,,80:00,-,Eels,21,2013-08-03T07:30:00Z,Eels vs Sea Eagles,2013
11,,"Mitchell
                
                  Allgood",16.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,-,,9.0,83.0,-,,29.0,-,-,-,-,-,9,-,-,-,-,-,,1,1,1,11.0,0.11,,100%,31.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Eels,21,2013-08-03T07:30:00Z,Eels vs Sea Eagles,2013
12,,"Darcy
                
                  Lussick",13.0,Lock,,80:00,,-,-,-,-,-,-,-,,-,,9.0,76.0,-,,25.0,-,-,-,-,-,9,-,-,-,-,-,,-,-,1,11.0,0.11,,93.1%,27.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Eels,21,2013-08-03T07:30:00Z,Eels vs Sea Eagles,2013
13,,"Daniel
                
                  Harrison",12.0,Interchange,,-,,-,-,-,-,-,-,-,,-,,1.0,9.0,-,,3.0,-,-,-,-,-,1,-,-,-,-,-,,-,-,-,1.0,-,,81.8%,9.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-,Eels,21,2013-08-03T07:30:00Z,Eels vs Sea Eagles,2013
14,,"Joseph
                
                  Paulo",14.0,Interchange,,-,,-,-,-,-,-,-,-,,1,,8.0,74.0,-,,19.0,-,1,-,-,1,5,-,-,1,16,-,,2,2,16,24.0,2,,88.9%,24.0,2,1,-,-,,1,45,-,-,-,-,-,-,,-,1,-,1,-,-,-,,-,-,Eels,21,2013-08-03T07:30:00Z,Eels vs Sea Eagles,2013
15,,"Peni
                
                  Terepo",15.0,Interchange,,-,,-,-,-,-,-,-,-,,1,,7.0,72.0,16,,20.0,-,-,-,-,2,6,-,-,-,-,-,,2,-,-,7.0,-,,86.7%,26.0,1,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-,Eels,21,2013-08-03T07:30:00Z,Eels vs Sea Eagles,2013
16,,"Junior
                
                  Paulo",17.0,Interchange,,-,,-,-,-,-,-,-,-,,-,,4.0,29.0,-,,11.0,-,-,-,-,1,4,-,-,-,-,-,,1,-,1,4.0,0.25,,100%,12.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-,Eels,21,2013-08-03T07:30:00Z,Eels vs Sea Eagles,2013
0,,"Brett
                
                  Stewart",1.0,Fullback,,80:00,,4,1,-,-,-,-,-,,1,,7.0,81.0,21,,21.0,1,-,-,-,1,2,-,-,-,-,-,,-,-,20,28.0,2.86,,66.7%,4.0,1,1,-,2,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Sea,21,2013-08-03T07:30:00Z,Eels vs Sea Eagles,2013
1,,"Jorge
                
                  Taufua",2.0,Winger,,80:00,,8,2,-,-,-,-,-,,1,,10.0,203.0,12,,38.0,-,-,-,-,3,1,-,-,1,13,-,,2,-,-,11.0,-,,100%,6.0,-,-,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sea,21,2013-08-03T07:30:00Z,Eels vs Sea Eagles,2013
2,,"Jamie
                
                  Lyon",3.0,Centre,,80:00,,12,-,6,7,-,85.71%,-,,-,,6.0,82.0,-,,17.0,1,1,1,-,-,-,-,-,-,-,-,,1,1,6,13.0,1,,76.5%,13.0,3,1,1,-,,3,69,2,-,2,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sea,21,2013-08-03T07:30:00Z,Eels vs Sea Eagles,2013
3,,"Steve
                
                  Matai",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,-,,11.0,107.0,-,,25.0,1,-,1,-,4,1,-,-,1,5,-,,2,1,11,17.0,1,,90.9%,10.0,1,-,-,1,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Sea,21,2013-08-03T07:30:00Z,Eels vs Sea Eagles,2013
4,,"David
                
                  Williams",5.0,Winger,,80:00,,8,2,-,-,-,-,-,,-,,3.0,34.0,21,,4.0,1,1,-,-,3,-,-,-,1,2,-,,-,-,5,11.0,1.67,,50%,3.0,2,1,-,2,,-,-,-,-,-,-,-,-,,-,2,-,-,-,-,-,,80:00,-,Sea,21,2013-08-03T07:30:00Z,Eels vs Sea Eagles,2013
5,,"Kieran
                
                  Foran",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,-,,4.0,60.0,-,,18.0,-,1,1,-,-,-,-,-,-,-,-,,-,4,46,58.0,11.5,,71.4%,10.0,3,1,-,-,,9,273,2,1,1,-,1,-,,-,-,-,-,-,-,-,,80:00,-,Sea,21,2013-08-03T07:30:00Z,Eels vs Sea Eagles,2013
6,,"Daly
                
                  Cherry-Evans",7.0,Halfback,,80:00,,4,1,-,-,-,-,-,,-,,8.0,79.0,-,,18.0,1,-,2,-,3,1,-,-,-,-,-,,2,4,25,34.0,3.13,,96.2%,25.0,1,-,-,-,,4,87,-,-,1,-,1,-,,-,-,-,2,-,-,-,,80:00,-,Sea,21,2013-08-03T07:30:00Z,Eels vs Sea Eagles,2013
7,,"Brenton
                
                  Lawrence",8.0,Prop,,80:00,,-,-,-,-,-,-,-,,1,,11.0,100.0,43,,34.0,-,-,-,-,3,7,-,-,-,-,-,,1,-,-,11.0,-,,87.1%,27.0,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,3,-,-,-,,80:00,-,Sea,21,2013-08-03T07:30:00Z,Eels vs Sea Eagles,2013
8,,"Matt
                
                  Ballin",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,1,,8.0,91.0,-,,39.0,-,-,-,-,-,-,-,-,7,84,-,,-,-,74,82.0,9.25,,86.7%,26.0,2,2,-,-,,1,53,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sea,21,2013-08-03T07:30:00Z,Eels vs Sea Eagles,2013
9,,"Brent
                
                  Kite",10.0,Prop,,80:00,,-,-,-,-,-,-,-,,1,,8.0,85.0,16,,27.0,-,-,-,-,-,7,-,-,-,-,-,,-,-,1,9.0,0.13,,95%,19.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sea,21,2013-08-03T07:30:00Z,Eels vs Sea Eagles,2013
10,,"Anthony
                
                  Watmough",11.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,-,,16.0,157.0,-,,37.0,-,-,-,-,1,15,-,-,-,-,-,,1,1,5,20.0,0.31,,86.7%,26.0,3,1,-,-,,2,39,-,-,2,-,-,-,,-,-,-,2,-,-,-,,80:00,-,Sea,21,2013-08-03T07:30:00Z,Eels vs Sea Eagles,2013
11,,"Justin
                
                  Horo",12.0,2nd Row,,80:00,,4,1,-,-,-,-,-,,-,,14.0,123.0,-,,43.0,1,-,-,-,3,14,-,-,-,-,-,,-,1,3,17.0,0.21,,80%,16.0,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,80:00,-,Sea,21,2013-08-03T07:30:00Z,Eels vs Sea Eagles,2013
12,,"Glenn
                
                  Stewart",13.0,Lock,,80:00,,-,-,-,-,-,-,-,,1,,14.0,112.0,2,,45.0,-,1,1,-,-,10,-,-,-,-,-,,1,2,13,27.0,0.93,,90.3%,28.0,1,2,-,-,,1,11,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sea,21,2013-08-03T07:30:00Z,Eels vs Sea Eagles,2013
13,,"Richie
                
                  Fa'aoso",14.0,Interchange,,-,,-,-,-,-,-,-,-,,1,,13.0,111.0,15,,31.0,-,-,-,-,2,12,-,-,-,-,-,,4,1,1,14.0,0.08,,90.9%,10.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,1,-,1,-,-,-,,-,-,Sea,21,2013-08-03T07:30:00Z,Eels vs Sea Eagles,2013
14,,"Jamie
                
                  Buhrer",15.0,Interchange,,-,,-,-,-,-,-,-,-,,-,,15.0,168.0,72,,47.0,-,-,-,-,-,8,-,-,2,24,-,,-,-,16,32.0,1.07,,79.2%,19.0,1,4,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,-,-,Sea,21,2013-08-03T07:30:00Z,Eels vs Sea Eagles,2013
15,,"David
                
                  Gower",16.0,Interchange,,-,,-,-,-,-,-,-,-,,-,,4.0,31.0,-,,12.0,-,-,-,-,-,4,-,-,-,-,-,,-,-,-,4.0,-,,100%,6.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-,Sea,21,2013-08-03T07:30:00Z,Eels vs Sea Eagles,2013
16,,"George
                
                  Rose",17.0,Interchange,,-,,-,-,-,-,-,-,-,,-,,7.0,71.0,-,,30.0,-,-,-,-,1,7,-,-,-,-,-,,1,-,-,7.0,-,,100%,5.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-,Sea,21,2013-08-03T07:30:00Z,Eels vs Sea Eagles,2013
