,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"David
                
                  Mead",1.0,Fullback,,80:00,,4,1,-,-,-,-,-,,2,,13.0,152.0,30,,40.0,3,-,-,-,3,3,-,-,1,7,-,,-,-,29,42.0,2.23,,66.7%,2.0,1,-,-,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Titans,21,2013-08-04T05:00:00Z,Titans vs Wests Tigers,2013
1,,"Kevin
                
                  Gordon",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,-,,6.0,57.0,1,,19.0,-,-,-,-,1,2,-,-,3,34,-,,-,-,4,12.0,0.67,,100%,4.0,-,-,-,3,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Titans,21,2013-08-04T05:00:00Z,Titans vs Wests Tigers,2013
2,,"Brad
                
                  Takairangi",3.0,Centre,,80:00,,4,1,-,-,-,-,-,,-,,5.0,61.0,-,,15.0,1,-,-,-,2,-,-,-,-,-,-,,1,1,5,9.0,1,,64.7%,11.0,3,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Titans,21,2013-08-04T05:00:00Z,Titans vs Wests Tigers,2013
3,,"Jamie
                
                  Dowling",4.0,Centre,,80:00,,4,1,-,-,-,-,-,,1,,5.0,30.0,-,,10.0,-,-,-,-,-,2,-,-,1,3,-,,-,1,7,14.0,1.4,,66.7%,10.0,5,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Titans,21,2013-08-04T05:00:00Z,Titans vs Wests Tigers,2013
4,,"Anthony
                
                  Don",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,1,,6.0,75.0,29,,13.0,-,-,-,-,2,-,-,-,1,11,-,,-,-,-,9.0,-,,57.1%,4.0,2,1,1,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Titans,21,2013-08-04T05:00:00Z,Titans vs Wests Tigers,2013
5,,"Ashley
                
                  Harrison",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,1,,5.0,43.0,-,,18.0,-,1,1,-,2,2,-,-,-,-,-,,1,1,20,28.0,4,,100%,25.0,-,-,-,-,,2,75,-,-,1,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Titans,21,2013-08-04T05:00:00Z,Titans vs Wests Tigers,2013
6,,"Aidan
                
                  Sezer",7.0,Halfback,,80:00,,12,-,5,6,1,85.71%,-,,-,,9.0,75.0,-,,23.0,-,-,2,-,1,2,-,-,1,-,-,,-,2,22,46.0,2.44,,80%,8.0,-,2,-,1,,15,412,1,1,1,-,5,2,,-,1,-,-,-,-,-,,80:00,-,Titans,21,2013-08-04T05:00:00Z,Titans vs Wests Tigers,2013
7,,"Ryan
                
                  James",15.0,Prop,,80:00,,-,-,-,-,-,-,-,,1,,17.0,215.0,97,,56.0,1,-,-,-,-,12,-,-,-,-,-,,-,-,-,17.0,-,,96.4%,27.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Titans,21,2013-08-04T05:00:00Z,Titans vs Wests Tigers,2013
8,,"Beau
                
                  Falloon",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,-,,2.0,16.0,-,,3.0,-,1,1,-,1,1,-,-,1,10,-,,-,4,90,88.0,45,,85.2%,23.0,2,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Titans,21,2013-08-04T05:00:00Z,Titans vs Wests Tigers,2013
9,,"Nate
                
                  Myles",10.0,Prop,,80:00,,-,-,-,-,-,-,-,,1,,14.0,125.0,36,,43.0,-,-,-,-,-,11,-,-,-,-,-,,2,1,6,20.0,0.43,,87.5%,28.0,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Titans,21,2013-08-04T05:00:00Z,Titans vs Wests Tigers,2013
