,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Eels vs Wests Tigers,2013
1,Penalties - Other,Braith Anasta,,,,Wests Tigers,78:27,Eels vs Wests Tigers,2013
2,Conversion-Made,Joseph Paulo,,,26-22,Eels,78:12,Eels vs Wests Tigers,2013
3,Try,Vai Toutai,,,24-22,Eels,76:32,Eels vs Wests Tigers,2013
4,Linebreak,Vai Toutai,,,,Eels,76:32,Eels vs Wests Tigers,2013
5,Tigers Interchange - Sin Bin Return,Braith Anasta,,,,Wests,75:22,Eels vs Wests Tigers,2013
6,Kick Bomb,Benji Marshall,,,,Wests Tigers,74:40,Eels vs Wests Tigers,2013
7,Conversion-Made,Benji Marshall,,,20-22,Wests Tigers,71:50,Eels vs Wests Tigers,2013
8,Try,Tim Simona,,,20-20,Wests Tigers,70:48,Eels vs Wests Tigers,2013
9,Linebreak,Tim Simona,,,,Wests Tigers,70:48,Eels vs Wests Tigers,2013
10,Line Dropout,Ben Roberts,,,,Eels,70:07,Eels vs Wests Tigers,2013
11,Conversion-Made,Joseph Paulo,,,20-16,Eels,67:00,Eels vs Wests Tigers,2013
12,Try,Junior Paulo,,,18-16,Eels,66:07,Eels vs Wests Tigers,2013
13,Linebreak,Junior Paulo,,,,Eels,66:06,Eels vs Wests Tigers,2013
14,Penalty - Offside inside 10m,Adam Blair,,,,Wests Tigers,65:35,Eels vs Wests Tigers,2013
15,Penalty - Dangerous Tackle,Curtis Sironen,,,,Wests Tigers,64:15,Eels vs Wests Tigers,2013
16,Penalty - Dangerous Tackle,David Nofoaluma,,,,Wests Tigers,61:10,Eels vs Wests Tigers,2013
17,Linebreak,Ben Roberts,,,,Eels,59:38,Eels vs Wests Tigers,2013
18,Conversion-Made,Benji Marshall,,,14-16,Wests Tigers,56:19,Eels vs Wests Tigers,2013
19,Try,Marika Koroibete,,,14-14,Wests Tigers,55:04,Eels vs Wests Tigers,2013
20,Linebreak,Marika Koroibete,,,,Wests Tigers,55:03,Eels vs Wests Tigers,2013
21,Penalty - Offside General,Jarryd Hayne,,,,Eels,54:09,Eels vs Wests Tigers,2013
22,Interchange - Sin Bin Return,Jake Mullaney,,,,Eels,54:07,Eels vs Wests Tigers,2013
23,Kick Bomb,Benji Marshall,,,,Wests Tigers,54:02,Eels vs Wests Tigers,2013
24,Interchange - Sin Bin Return,Fuifui Moimoi,,,,Eels,52:57,Eels vs Wests Tigers,2013
25,Kick Bomb,Luke Kelly,,,,Eels,52:50,Eels vs Wests Tigers,2013
26,Penalty - Offside inside 10m,Fuifui Moimoi,,,,Eels,50:40,Eels vs Wests Tigers,2013
27,Line Dropout,Ben Roberts,,,,Eels,44:14,Eels vs Wests Tigers,2013
28,Penalty - Slow Peel,Tim Mannah,,,,Eels,42:12,Eels vs Wests Tigers,2013
29,Kick Bomb,Benji Marshall,,,,Wests Tigers,40:56,Eels vs Wests Tigers,2013
30,Conversion-Made,Jake Mullaney,,,14-10,Eels,37:55,Eels vs Wests Tigers,2013
31,Try,Vai Toutai,,,12-10,Eels,36:24,Eels vs Wests Tigers,2013
32,Linebreak,Vai Toutai,,,,Eels,36:24,Eels vs Wests Tigers,2013
33,Tigers Interchange - Sin Bin Return,Ben Murdoch-Masila,,,,Wests,32:32,Eels vs Wests Tigers,2013
34,Linebreak,Tim Simona,,,,Wests Tigers,32:21,Eels vs Wests Tigers,2013
35,Conversion-Missed,Benji Marshall,,,,Wests Tigers,29:51,Eels vs Wests Tigers,2013
36,Try,Marika Koroibete,,,8-10,Wests Tigers,28:13,Eels vs Wests Tigers,2013
37,Linebreak,Tim Simona,,,,Wests Tigers,28:11,Eels vs Wests Tigers,2013
38,Penalty - Obstruction,Peni Terepo,,,,Eels,26:55,Eels vs Wests Tigers,2013
39,Linebreak,Ben Roberts,,,,Eels,25:20,Eels vs Wests Tigers,2013
40,Penalty - Hand in the Ruck,Joseph Paulo,,,,Eels,24:26,Eels vs Wests Tigers,2013
41,Interchange - Sin Bin Return,Peni Terepo,,,,Eels,22:58,Eels vs Wests Tigers,2013
42,Line Dropout,Ben Roberts,,,,Eels,21:26,Eels vs Wests Tigers,2013
43,Kick Bomb,Benji Marshall,,,,Wests Tigers,20:40,Eels vs Wests Tigers,2013
44,Conversion-Missed,Jake Mullaney,,,,Eels,18:18,Eels vs Wests Tigers,2013
45,Try,Jake Mullaney,,,8-6,Eels,17:27,Eels vs Wests Tigers,2013
46,Linebreak,Jake Mullaney,,,,Eels,17:26,Eels vs Wests Tigers,2013
47,Conversion-Missed,Jake Mullaney,,,,Eels,14:57,Eels vs Wests Tigers,2013
48,Try,Ken Sio,,,4-6,Eels,13:26,Eels vs Wests Tigers,2013
49,Linebreak,Ken Sio,,,,Eels,13:26,Eels vs Wests Tigers,2013
50,Tigers Interchange - Sin Bin Return,Keith Galloway,,,,Wests,11:47,Eels vs Wests Tigers,2013
51,Interchange - Sin Bin Return,Ben Roberts,,,,Eels,10:55,Eels vs Wests Tigers,2013
52,Conversion-Made,Benji Marshall,,,0-6,Wests Tigers,07:57,Eels vs Wests Tigers,2013
53,Try,David Nofoaluma,,,0-4,Wests Tigers,06:33,Eels vs Wests Tigers,2013
54,Linebreak,David Nofoaluma,,,,Wests Tigers,06:32,Eels vs Wests Tigers,2013
55,Linebreak,Joel Luani,,,,Wests Tigers,05:49,Eels vs Wests Tigers,2013
56,Penalty - Marker Not Square,Joel Luani,,,,Wests Tigers,02:12,Eels vs Wests Tigers,2013
57,Kick Bomb,Braith Anasta,,,,Wests Tigers,01:43,Eels vs Wests Tigers,2013
58,KICK OFF,,,,,,00:00,Eels vs Wests Tigers,2013
