,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Sharks vs Knights,2013
1,Conversion-Made,Kurt Gidley,,,14-18,Knights,79:34,Sharks vs Knights,2013
2,Try,Dane Gagai,,,14-16,Knights,77:55,Sharks vs Knights,2013
3,Interchange - Sin Bin Return,Kurt Gidley,,,,Knights,75:52,Sharks vs Knights,2013
4,Kick Bomb,Todd Carney,,,,Sharks,75:08,Sharks vs Knights,2013
5,Penalty Shot-Made,Todd Carney,,,14-12,Sharks,71:55,Sharks vs Knights,2013
6,Penalty - Hand in the Ruck,Jeremy Smith,,,,Knights,70:39,Sharks vs Knights,2013
7,Line Dropout,Jarrod Mullen,,,,Knights,70:20,Sharks vs Knights,2013
8,Interchange - Sin Bin Return,Akuila Uate,,,,Knights,66:08,Sharks vs Knights,2013
9,Line Dropout,Jarrod Mullen,,,,Knights,65:09,Sharks vs Knights,2013
10,Interchange - Sin Bin Return,Jeremy Smith,,,,Knights,61:28,Sharks vs Knights,2013
11,Line Dropout,Todd Carney,,,,Sharks,61:04,Sharks vs Knights,2013
12,Linebreak,Akuila Uate,,,,Knights,59:53,Sharks vs Knights,2013
13,Penalty - Leg Pull,Danny Buderus,,,,Knights,58:23,Sharks vs Knights,2013
14,On Report,Kade Snowden,,,,Knights,57:39,Sharks vs Knights,2013
15,Interchange - Sin Bin Return,Kade Snowden,,,,Knights,55:10,Sharks vs Knights,2013
16,Kick Bomb,Jeff Robson,,,,Sharks,52:32,Sharks vs Knights,2013
17,Conversion-Missed,Kurt Gidley,,,,Knights,50:33,Sharks vs Knights,2013
18,Try,Tyrone Roberts,,,12-12,Knights,48:42,Sharks vs Knights,2013
19,Conversion-Made,Todd Carney,,,12-8,Sharks,46:24,Sharks vs Knights,2013
20,Try,Wade Graham,,,10-8,Sharks,45:05,Sharks vs Knights,2013
21,Interchange - Sin Bin Return,Jarrod Mullen,,,,Knights,45:02,Sharks vs Knights,2013
22,Interchange - Sin Bin Return,Neville Costigan,,,,Knights,42:00,Sharks vs Knights,2013
23,Penalty Shot-Made,Kurt Gidley,,,6-8,Knights,38:33,Sharks vs Knights,2013
24,On Report,Ben Pomeroy,,,,Sharks,37:32,Sharks vs Knights,2013
25,Penalties - Other,Ben Pomeroy,,,,Sharks,37:26,Sharks vs Knights,2013
26,Interchange - Sin Bin Return,Michael Gordon,,,,Sharks,36:31,Sharks vs Knights,2013
27,Kick Bomb,Jarrod Mullen,,,,Knights,36:26,Sharks vs Knights,2013
28,Interchange - Sin Bin Return,Jonathan Wright,,,,Sharks,33:52,Sharks vs Knights,2013
29,Kick Bomb,Jeff Robson,,,,Sharks,33:42,Sharks vs Knights,2013
30,Kick Bomb,Jarrod Mullen,,,,Knights,32:32,Sharks vs Knights,2013
31,Penalty - Dangerous Tackle,Jeff Robson,,,,Sharks,31:28,Sharks vs Knights,2013
32,Conversion-Made,Kurt Gidley,,,6-6,Knights,28:38,Sharks vs Knights,2013
33,Try,Dane Gagai,,,6-4,Knights,26:53,Sharks vs Knights,2013
34,Line Dropout,Jarrod Mullen,,,,Knights,24:43,Sharks vs Knights,2013
35,Penalty - Lying in the Ruck,Jeremy Smith,,,,Knights,22:39,Sharks vs Knights,2013
36,Interchange - Sin Bin Return,Akuila Uate,,,,Knights,20:16,Sharks vs Knights,2013
37,Kick Bomb,Todd Carney,,,,Sharks,17:49,Sharks vs Knights,2013
38,Penalty - Holding Down,John Morris,,,,Sharks,15:46,Sharks vs Knights,2013
39,Penalty - Holding Down,Wade Graham,,,,Sharks,15:46,Sharks vs Knights,2013
40,Penalty - Offside inside 10m,Danny Buderus,,,,Knights,13:34,Sharks vs Knights,2013
41,Conversion-Made,Todd Carney,,,6-0,Sharks,10:42,Sharks vs Knights,2013
42,Try,Andrew Fifita,,,4-0,Sharks,09:24,Sharks vs Knights,2013
43,Linebreak,Andrew Fifita,,,,Sharks,09:23,Sharks vs Knights,2013
44,Line Dropout,Jarrod Mullen,,,,Knights,07:58,Sharks vs Knights,2013
45,Penalty - 2nd Effort,Zane Tetevano,,,,Knights,06:08,Sharks vs Knights,2013
46,Kick Bomb,Jarrod Mullen,,,,Knights,02:41,Sharks vs Knights,2013
47,Interchange - Sin Bin Return,Ben Pomeroy,,,,Sharks,01:19,Sharks vs Knights,2013
48,Penalty - Ball Strip,Danny Buderus,,,,Knights,00:36,Sharks vs Knights,2013
49,KICK OFF,,,,,,00:00,Sharks vs Knights,2013
