,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Billy
                
                  Slater",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,1,,13.0,104.0,39,,22.0,-,1,1,-,2,-,-,-,4,54,-,,2,1,31,44.0,2.38,,100%,8.0,-,-,-,6,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Storm,22,2013-08-09T09:35:00Z,Storm vs Rabbitohs,2013
1,,"Sisa
                
                  Waqa",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,-,,11.0,107.0,10,,30.0,1,-,-,-,3,-,-,-,1,11,-,,1,-,5,18.0,0.45,,75%,3.0,1,-,-,4,,2,50,-,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Storm,22,2013-08-09T09:35:00Z,Storm vs Rabbitohs,2013
2,,"Will
                
                  Chambers",3.0,Centre,,80:00,,4,1,-,-,-,-,-,,1,,13.0,113.0,-,,43.0,1,-,-,-,8,-,-,-,1,5,-,,1,2,-,14.0,-,,75%,18.0,6,-,-,-,,1,11,-,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Storm,22,2013-08-09T09:35:00Z,Storm vs Rabbitohs,2013
3,,"Justin
                
                  O'Neill",23.0,Centre,,80:00,,4,1,-,-,-,-,-,,1,,9.0,114.0,-,,34.0,1,-,-,-,1,-,-,-,1,8,-,,-,1,1,12.0,0.11,,100%,16.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Storm,22,2013-08-09T09:35:00Z,Storm vs Rabbitohs,2013
4,,"Mahe
                
                  Fonua",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,1,,13.0,119.0,35,,29.0,-,-,-,-,3,3,-,-,-,-,-,,-,-,2,17.0,0.15,,100%,4.0,-,-,-,6,,1,1,-,-,1,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Storm,22,2013-08-09T09:35:00Z,Storm vs Rabbitohs,2013
5,,"Brett
                
                  Finch",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,-,,2.0,10.0,-,,4.0,-,-,-,-,-,-,-,-,-,-,-,,1,1,26,29.0,13,,86.4%,19.0,1,2,-,-,,1,-,-,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Storm,22,2013-08-09T09:35:00Z,Storm vs Rabbitohs,2013
6,,"Cooper
                
                  Cronk",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,-,,8.0,68.0,7,,23.0,-,1,1,-,-,-,-,-,-,-,-,,1,4,29,51.0,3.63,,86.7%,13.0,1,1,-,1,,14,536,1,3,1,-,1,2,,-,-,-,-,-,-,-,,80:00,-,Storm,22,2013-08-09T09:35:00Z,Storm vs Rabbitohs,2013
7,,"Jesse
                
                  Bromwich",8.0,Prop,,80:00,,4,1,-,-,-,-,-,,-,,12.0,124.0,21,,59.0,-,-,-,-,1,10,-,-,-,-,-,,-,-,-,13.0,-,,100%,27.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Storm,22,2013-08-09T09:35:00Z,Storm vs Rabbitohs,2013
8,,"Cameron
                
                  Smith",9.0,Hooker,,80:00,,10,-,3,4,2,83.33%,-,,-,,5.0,41.0,-,,16.0,-,-,-,-,-,-,-,-,4,41,-,,1,4,86,93.0,17.2,,95.8%,46.0,1,1,-,-,,5,193,-,1,1,-,-,1,,-,-,-,-,-,-,-,,80:00,-,Storm,22,2013-08-09T09:35:00Z,Storm vs Rabbitohs,2013
9,,"Bryan
                
                  Norrie",10.0,Prop,,80:00,,-,-,-,-,-,-,-,,1,,10.0,77.0,17,,25.0,-,-,-,-,-,7,-,-,1,7,-,,-,-,-,10.0,-,,91.3%,21.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Storm,22,2013-08-09T09:35:00Z,Storm vs Rabbitohs,2013
10,,"Kevin
                
                  Proctor",11.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,-,,8.0,78.0,-,,31.0,-,-,-,-,-,8,-,-,-,-,-,,-,-,2,11.0,0.25,,100%,32.0,-,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Storm,22,2013-08-09T09:35:00Z,Storm vs Rabbitohs,2013
11,,"Ryan
                
                  Hoffman",12.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,-,,14.0,123.0,-,,56.0,-,-,-,-,-,14,-,-,-,-,-,,2,-,1,14.0,0.07,,90.6%,29.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,1,-,1,-,-,-,,80:00,-,Storm,22,2013-08-09T09:35:00Z,Storm vs Rabbitohs,2013
12,,"Ryan
                
                  Hinchcliffe",13.0,Lock,,80:00,,-,-,-,-,-,-,-,,-,,9.0,70.0,-,,24.0,-,-,-,-,-,9,-,-,-,-,-,,-,1,3,11.0,0.33,,97.1%,34.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Storm,22,2013-08-09T09:35:00Z,Storm vs Rabbitohs,2013
