,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"James
                
                  Tedesco",1.0,Fullback,,80:00,,4,1,-,-,-,-,-,,1,,13,106,19,,37,1,-,1,-,5,-,-,-,2,22,-,,1,-,6,22.0,0.46,,70%,7.0,3,-,-,6,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Wests,23,2013-08-19T09:00:00Z,Wests Tigers vs Roosters,2013
1,,"David
                
                  Nofoaluma",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,3,,10,90,39,,32,-,-,-,-,1,1,-,-,1,5,-,,-,-,1,13.0,0.1,,37.5%,3.0,4,1,-,5,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Wests,23,2013-08-19T09:00:00Z,Wests Tigers vs Roosters,2013
2,,"Blake
                
                  Ayshford",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,-,,5,58,-,,21,1,-,-,-,-,-,-,-,1,8,-,,-,-,3,9.0,0.6,,72.7%,8.0,3,-,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Wests,23,2013-08-19T09:00:00Z,Wests Tigers vs Roosters,2013
3,,"Tim
                
                  Simona",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,1,,9,103,-,,56,-,1,-,-,2,-,-,-,1,6,-,,1,-,3,12.0,0.33,,70%,7.0,2,1,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Wests,23,2013-08-19T09:00:00Z,Wests Tigers vs Roosters,2013
4,,"Lote
                
                  Tuqiri",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,-,,9,97,-,,12,2,-,-,-,-,-,-,-,2,15,-,,-,-,5,14.0,0.56,,100%,1.0,-,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Wests,23,2013-08-19T09:00:00Z,Wests Tigers vs Roosters,2013
5,,"Benji
                
                  Marshall",6.0,Five-Eighth,,80:00,,2,-,1,3,-,33.33%,-,,1,,4,22,-,,3,-,1,1,-,1,-,-,-,1,7,-,,-,1,36,47.0,9,,81.8%,9.0,1,1,-,-,,9,191,-,1,1,-,-,1,,-,1,-,-,-,-,-,,80:00,-,Wests,23,2013-08-19T09:00:00Z,Wests Tigers vs Roosters,2013
6,,"Braith
                
                  Anasta",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,-,,1,11,-,,5,-,-,1,-,-,-,-,-,-,-,-,,-,-,32,37.0,32,,90.5%,19.0,1,1,-,-,,4,145,-,2,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Wests,23,2013-08-19T09:00:00Z,Wests Tigers vs Roosters,2013
7,,"Keith
                
                  Galloway",8.0,Prop,,80:00,,-,-,-,-,-,-,-,,1,,12,112,15,,46,-,-,-,-,1,11,-,-,-,-,-,,-,1,-,12.0,-,,87.5%,28.0,1,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Wests,23,2013-08-19T09:00:00Z,Wests Tigers vs Roosters,2013
8,,"Joel
                
                  Luani",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,1,,4,41,-,,23,-,1,-,-,-,-,-,-,3,34,-,,-,1,52,49.0,13,,84.6%,22.0,2,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,80:00,-,Wests,23,2013-08-19T09:00:00Z,Wests Tigers vs Roosters,2013
9,,"Adam
                
                  Blair",10.0,Prop,,80:00,,-,-,-,-,-,-,-,,-,,9,67,-,,27,-,-,-,-,-,9,-,-,-,-,-,,2,1,5,14.0,0.56,,70%,14.0,3,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,80:00,-,Wests,23,2013-08-19T09:00:00Z,Wests Tigers vs Roosters,2013
10,,"Liam
                
                  Fulton",11.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,-,,9,72,-,,21,-,-,-,-,1,9,-,-,-,-,-,,-,-,4,13.0,0.44,,95.7%,44.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Wests,23,2013-08-19T09:00:00Z,Wests Tigers vs Roosters,2013
11,,"Ben
                
                  Murdoch-Masila",16.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,-,,11,132,-,,72,-,-,-,-,2,11,-,-,-,-,-,,1,-,1,12.0,0.09,,81.5%,22.0,3,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Wests,23,2013-08-19T09:00:00Z,Wests Tigers vs Roosters,2013
12,,"Sauaso
                
                  Sue",13.0,Lock,,80:00,,-,-,-,-,-,-,-,,-,,6,46,-,,23,-,-,-,-,-,6,-,-,-,-,-,,2,-,2,8.0,0.33,,82.1%,23.0,3,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Wests,23,2013-08-19T09:00:00Z,Wests Tigers vs Roosters,2013
13,,"Ava
                
                  Seumanufagai",14.0,Interchange,,-,,-,-,-,-,-,-,-,,-,,9,74,13,,34,-,-,-,-,-,8,-,-,-,-,-,,1,-,-,9.0,-,,84.4%,27.0,4,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-,Wests,23,2013-08-19T09:00:00Z,Wests Tigers vs Roosters,2013
14,,"Curtis
                
                  Sironen",17.0,Interchange,,-,,4,1,-,-,-,-,-,,1,,5,54,-,,14,1,-,-,-,4,2,-,-,-,-,-,,1,-,1,6.0,0.2,,83.3%,5.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-,Wests,23,2013-08-19T09:00:00Z,Wests Tigers vs Roosters,2013
15,,"Masada
                
                  Iosefa",18.0,Interchange,,-,,-,-,-,-,-,-,-,,-,,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,25,24.0,-,,81.5%,22.0,5,-,-,-,,2,64,-,-,-,-,-,1,,-,-,-,1,-,-,-,,-,-,Wests,23,2013-08-19T09:00:00Z,Wests Tigers vs Roosters,2013
16,,"Matthew
                
                  Bell",20.0,Interchange,,-,,-,-,-,-,-,-,-,,-,,9,94,31,,35,-,-,-,-,-,7,-,-,-,-,-,,-,-,4,13.0,0.44,,84.4%,27.0,4,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-,Wests,23,2013-08-19T09:00:00Z,Wests Tigers vs Roosters,2013
0,,"Roger
                
                  Tuivasa-Sheck",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,-,,16.0,193.0,101,,57.0,1,-,-,-,5,-,-,-,2,11,-,,2,1,14.0,31.0,0.88,,75%,3.0,1,-,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Roosters,23,2013-08-19T09:00:00Z,Wests Tigers vs Roosters,2013
1,,"Daniel
                
                  Tupou",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,-,,9.0,151.0,60,,49.0,1,-,-,-,6,-,-,-,-,-,-,,-,-,1.0,10.0,0.11,,83.3%,5.0,1,-,-,2,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Roosters,23,2013-08-19T09:00:00Z,Wests Tigers vs Roosters,2013
2,,"Michael
                
                  Jennings",3.0,Centre,,80:00,,8,2,-,-,-,-,-,,-,,14.0,185.0,15,,55.0,-,-,-,-,1,-,-,-,-,-,-,,-,-,3.0,18.0,0.21,,86.7%,13.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Roosters,23,2013-08-19T09:00:00Z,Wests Tigers vs Roosters,2013
3,,"Samisoni
                
                  Langi",23.0,Centre,,80:00,,-,-,-,-,-,-,-,,-,,6.0,75.0,-,,37.0,-,-,-,-,1,1,-,-,-,-,-,,-,-,1.0,8.0,0.17,,94.4%,17.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Roosters,23,2013-08-19T09:00:00Z,Wests Tigers vs Roosters,2013
4,,"Shaun
                
                  Kenny-Dowall",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,1,,7.0,91.0,-,,30.0,-,-,-,-,-,1,-,-,1,6,-,,-,-,1.0,8.0,0.14,,100%,6.0,-,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Roosters,23,2013-08-19T09:00:00Z,Wests Tigers vs Roosters,2013
5,,"James
                
                  Maloney",6.0,Five-Eighth,,80:00,,20,-,9,9,1,100%,-,,-,,7.0,117.0,-,,10.0,1,2,2,-,2,-,-,-,1,15,-,,-,3,16.0,27.0,2.29,,72.2%,13.0,4,1,-,-,,4,104,1,1,-,-,-,-,,-,1,-,1,-,-,-,,80:00,-,Roosters,23,2013-08-19T09:00:00Z,Wests Tigers vs Roosters,2013
6,,"Mitchell
                
                  Pearce",7.0,Halfback,,80:00,,8,2,-,-,-,-,-,,-,,5.0,79.0,-,,4.0,1,-,-,-,3,-,-,-,-,-,-,,1,2,20.0,35.0,4.0,,66.7%,10.0,3,2,-,1,,11,280,-,3,3,-,2,-,,-,-,-,1,-,-,-,,80:00,-,Roosters,23,2013-08-19T09:00:00Z,Wests Tigers vs Roosters,2013
7,,"Jared
                
                  Waerea-Hargreaves",8.0,Prop,,80:00,,-,-,-,-,-,-,-,,-,,8.0,91.0,-,,39.0,-,-,-,-,2,8,-,-,-,-,-,,2,-,1.0,10.0,0.13,,88.2%,15.0,-,2,-,-,,-,-,-,-,-,-,-,-,,-,1,-,1,-,-,-,,80:00,-,Roosters,23,2013-08-19T09:00:00Z,Wests Tigers vs Roosters,2013
8,,"Jake
                
                  Friend",9.0,Hooker,,80:00,,4,1,-,-,-,-,-,,-,,2.0,13.0,-,,3.0,1,-,-,-,3,-,-,-,-,-,-,,-,1,46.0,43.0,23.0,,93.3%,14.0,-,1,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Roosters,23,2013-08-19T09:00:00Z,Wests Tigers vs Roosters,2013
9,,"Sam
                
                  Moa",10.0,Prop,,80:00,,-,-,-,-,-,-,-,,-,,9.0,104.0,44,,39.0,-,1,1,-,2,6,-,-,-,-,-,,1,-,3.0,12.0,0.33,,90.5%,19.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Roosters,23,2013-08-19T09:00:00Z,Wests Tigers vs Roosters,2013
10,,"Mitchell
                
                  Aubusson",4.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,-,,5.0,66.0,-,,12.0,1,-,-,-,2,3,-,-,-,-,-,,-,-,2.0,7.0,0.4,,88.5%,23.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,80:00,-,Roosters,23,2013-08-19T09:00:00Z,Wests Tigers vs Roosters,2013
11,,"Sonny Bill
                
                  Williams",12.0,2nd Row,,80:00,,4,1,-,-,-,-,-,,-,,16.0,146.0,-,,37.0,1,-,-,-,5,11,-,-,-,-,-,,3,1,11.0,22.0,0.69,,81.8%,18.0,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,80:00,-,Roosters,23,2013-08-19T09:00:00Z,Wests Tigers vs Roosters,2013
12,,"Frank-Paul
                
                  Nuuausala",13.0,Lock,,80:00,,-,-,-,-,-,-,-,,1,,7.0,65.0,15,,25.0,-,-,-,-,-,5,-,-,-,-,-,,-,-,1.0,8.0,0.14,,90.9%,20.0,-,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Roosters,23,2013-08-19T09:00:00Z,Wests Tigers vs Roosters,2013
13,,"Aidan
                
                  Guerra",11.0,Interchange,,-,,-,-,-,-,-,-,-,,-,,11.0,106.0,-,,43.0,-,-,-,-,2,11,-,-,-,-,-,,-,1,1.0,12.0,0.09,,91.7%,22.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,-,-,Roosters,23,2013-08-19T09:00:00Z,Wests Tigers vs Roosters,2013
14,,"Daniel
                
                  Mortimer",14.0,Interchange,,-,,8,2,-,-,-,-,-,,-,,7.0,61.0,-,,6.0,1,-,-,-,4,-,-,-,3,30,-,,1,3,64.0,70.0,9.14,,100%,19.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-,Roosters,23,2013-08-19T09:00:00Z,Wests Tigers vs Roosters,2013
15,,"Isaac
                
                  Liu",16.0,Interchange,,-,,-,-,-,-,-,-,-,,1,,14.0,166.0,56,,37.0,1,-,1,-,2,10,-,-,-,-,-,,1,-,1.0,14.0,0.07,,94.7%,18.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-,Roosters,23,2013-08-19T09:00:00Z,Wests Tigers vs Roosters,2013
16,,"Luke
                
                  O'Donnell",18.0,Interchange,,-,,-,-,-,-,-,-,-,,1,,13.0,124.0,35,,42.0,-,-,-,-,1,10,-,-,-,-,-,,-,-,4.0,17.0,0.31,,100%,18.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,1,-,-,,-,-,Roosters,23,2013-08-19T09:00:00Z,Wests Tigers vs Roosters,2013
