,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Lachlan
                
                  Coote",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,-,,13.0,129.0,56,,39,-,1,-,-,2,-,-,-,-,-,-,,1,-,10,26.0,0.77,,75%,3.0,1,-,-,7,,3,44,-,-,2,-,-,1,,-,-,-,-,-,-,-,,80:00,-,Panthers,24,2013-08-23T09:35:00Z,Panthers vs Broncos,2013
1,,"Josh
                
                  Mansour",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,1,,13.0,124.0,5,,41,-,-,-,-,11,1,-,-,-,-,-,,1,-,3,18.0,0.23,,83.3%,5.0,-,1,-,2,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Panthers,24,2013-08-23T09:35:00Z,Panthers vs Broncos,2013
2,,"Lewis
                
                  Brown",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,1,,13.0,156.0,-,,63,1,-,-,-,3,3,-,-,2,18,-,,-,1,10,19.0,0.77,,83.3%,10.0,1,1,-,-,,1,14,-,-,1,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Panthers,24,2013-08-23T09:35:00Z,Panthers vs Broncos,2013
3,,"Dean
                
                  Whare",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,-,,10.0,78.0,-,,25,-,-,-,-,2,-,-,-,-,-,-,,2,-,11,21.0,1.1,,80.8%,21.0,4,1,-,1,,3,68,2,-,2,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Panthers,24,2013-08-23T09:35:00Z,Panthers vs Broncos,2013
4,,"David
                
                  Simmons",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,1,,16.0,133.0,36,,32,-,-,-,-,-,2,-,-,-,-,-,,-,-,3,25.0,0.19,,100%,7.0,-,-,-,7,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Panthers,24,2013-08-23T09:35:00Z,Panthers vs Broncos,2013
5,,"Isaac
                
                  John",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,-,,3.0,25.0,-,,3,-,1,1,-,-,-,-,-,-,-,-,,-,3,26,31.0,8.67,,83.3%,15.0,2,1,-,-,,1,16,-,1,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Panthers,24,2013-08-23T09:35:00Z,Panthers vs Broncos,2013
6,,"Luke
                
                  Walsh",7.0,Halfback,,80:00,,12,-,4,4,2,100%,-,,-,,4.0,23.0,-,,-,-,1,1,-,-,-,-,-,-,-,-,,-,9,58,75.0,14.5,,84.6%,11.0,2,-,-,-,,15,390,2,2,2,-,3,1,,-,-,-,1,-,-,-,,80:00,-,Panthers,24,2013-08-23T09:35:00Z,Panthers vs Broncos,2013
7,,"Sam
                
                  McKendry",8.0,Prop,,80:00,,-,-,-,-,-,-,-,,-,,14.0,153.0,22,,67,-,-,-,-,1,12,-,-,-,-,-,,-,-,-,14.0,-,,95%,19.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Panthers,24,2013-08-23T09:35:00Z,Panthers vs Broncos,2013
8,,"Kevin
                
                  Kingston",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,-,,7.0,39.0,-,,14,-,-,-,-,1,1,-,-,1,10,-,,-,1,50,59.0,7.14,,98%,50.0,1,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,3,-,-,-,,80:00,-,Panthers,24,2013-08-23T09:35:00Z,Panthers vs Broncos,2013
9,,"Jeremy
                
                  Latimore",16.0,Prop,,80:00,,-,-,-,-,-,-,-,,-,,12.0,128.0,36,,44,-,-,-,-,-,10,-,-,-,-,-,,-,1,2,14.0,0.17,,100%,22.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Panthers,24,2013-08-23T09:35:00Z,Panthers vs Broncos,2013
10,,"Clint
                
                  Newton",11.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,-,,9.0,83.0,-,,40,-,-,-,-,-,9,-,-,-,-,-,,-,-,-,10.0,-,,100%,13.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Panthers,24,2013-08-23T09:35:00Z,Panthers vs Broncos,2013
11,,"Sika
                
                  Manu",12.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,-,,10.0,149.0,14,,57,1,-,-,-,1,9,-,-,-,-,-,,-,-,-,10.0,-,,95.7%,22.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Panthers,24,2013-08-23T09:35:00Z,Panthers vs Broncos,2013
12,,"Ryan
                
                  Simpkins",13.0,Lock,,80:00,,4,1,-,-,-,-,-,,1,,6.0,50.0,-,,9,1,-,-,-,1,5,-,-,-,-,-,,1,1,2,8.0,0.33,,90.9%,30.0,3,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Panthers,24,2013-08-23T09:35:00Z,Panthers vs Broncos,2013
13,,"Tim
                
                  Grant",10.0,Interchange,,-,,-,-,-,-,-,-,-,,1,,15.0,164.0,17,,53,1,-,-,-,3,14,-,-,-,-,-,,-,-,-,15.0,-,,100%,28.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-,Panthers,24,2013-08-23T09:35:00Z,Panthers vs Broncos,2013
14,,"James
                
                  Segeyaro",14.0,Interchange,,-,,12,3,-,-,-,-,-,,1,,8.0,87.0,-,,19,4,-,-,-,6,-,-,-,6,48,-,,2,5,59,67.0,7.38,,92.6%,25.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-,Panthers,24,2013-08-23T09:35:00Z,Panthers vs Broncos,2013
15,,"Nathan
                
                  Smith",15.0,Interchange,,-,,-,-,-,-,-,-,-,,-,,7.0,58.0,6,,25,-,-,-,-,3,6,-,-,-,-,-,,-,-,4,10.0,0.57,,100%,23.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-,Panthers,24,2013-08-23T09:35:00Z,Panthers vs Broncos,2013
16,,"Mose
                
                  Masoe",17.0,Interchange,,-,,-,-,-,-,-,-,-,,1,,12.0,161.0,39,,70,-,-,-,-,5,10,-,-,-,-,-,,-,-,-,12.0,-,,100%,16.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-,Panthers,24,2013-08-23T09:35:00Z,Panthers vs Broncos,2013
0,,"Josh
                
                  Hoffman",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,1,,11.0,64.0,25,,31,-,-,-,-,1,1,-,-,1,5,-,,-,-,8,23.0,0.73,,85.7%,6.0,1,-,-,7,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,24,2013-08-23T09:35:00Z,Panthers vs Broncos,2013
1,,"Corey
                
                  Oates",2.0,Winger,,80:00,,8,2,-,-,-,-,-,,1,,6.0,64.0,17,,10,1,-,-,-,1,-,-,-,-,-,-,,-,-,1,8.0,0.17,,100%,6.0,-,-,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,24,2013-08-23T09:35:00Z,Panthers vs Broncos,2013
2,,"Jack
                
                  Reed",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,-,,6.0,52.0,-,,24,-,-,-,-,-,2,-,-,-,-,-,,-,-,2,10.0,0.33,,85.7%,18.0,1,2,-,-,,1,2,-,-,1,-,-,-,,-,-,-,2,-,-,-,,80:00,-,Broncos,24,2013-08-23T09:35:00Z,Panthers vs Broncos,2013
3,,"David
                
                  Stagg",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,1,,9.0,64.0,-,,29,-,-,-,-,-,2,-,-,2,6,-,,2,-,3,13.0,0.33,,88.5%,23.0,2,1,-,-,,1,18,1,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,24,2013-08-23T09:35:00Z,Panthers vs Broncos,2013
4,,"Jordan
                
                  Kahu",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,2,,13.0,164.0,19,,47,-,-,-,-,3,1,-,-,1,3,-,,-,-,-,17.0,-,,100%,5.0,-,-,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,24,2013-08-23T09:35:00Z,Panthers vs Broncos,2013
5,,"Scott
                
                  Prince",6.0,Five-Eighth,,80:00,,4,-,2,2,-,100%,-,,-,,5.0,32.0,-,,9,-,1,-,-,1,-,-,-,1,2,-,,-,3,29,38.0,5.8,,75%,12.0,3,1,-,-,,5,146,1,-,2,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,24,2013-08-23T09:35:00Z,Panthers vs Broncos,2013
6,,"Ben
                
                  Hunt",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,-,,6.0,47.0,3,,10,-,-,-,-,3,-,-,-,1,1,-,,-,5,30,48.0,5,,92.3%,12.0,1,-,-,1,,11,268,1,3,3,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,24,2013-08-23T09:35:00Z,Panthers vs Broncos,2013
