,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Panthers vs Broncos,2013
1,Penalty Shot-Made,Luke Walsh,,,28-12,Panthers,76:04,Panthers vs Broncos,2013
2,Penalty - Hand in the Ruck,Ben Hannant,,,,Broncos,74:53,Panthers vs Broncos,2013
3,Penalty - Dangerous Tackle,Josh Mansour,,,,Panthers,73:36,Panthers vs Broncos,2013
4,Linebreak,Sika Manu,,,,Panthers,73:14,Panthers vs Broncos,2013
5,Conversion-Made,Luke Walsh,,,26-12,Panthers,72:22,Panthers vs Broncos,2013
6,Try,James Segeyaro,,,24-12,Panthers,70:51,Panthers vs Broncos,2013
7,Linebreak,James Segeyaro,,,,Panthers,70:47,Panthers vs Broncos,2013
8,Penalty Shot-Made,Luke Walsh,,,20-12,Panthers,69:23,Panthers vs Broncos,2013
9,Penalty - Dangerous Tackle,Ben Hannant,,,,Broncos,68:37,Panthers vs Broncos,2013
10,Penalty - Leg Pull,Scott Anderson,,,,Broncos,67:32,Panthers vs Broncos,2013
11,Penalty - Dangerous Tackle,Jack Reed,,,,Broncos,61:55,Panthers vs Broncos,2013
12,Kick Bomb,Ben Hunt,,,,Broncos,61:51,Panthers vs Broncos,2013
13,Line Dropout,Ben Hunt,,,,Broncos,58:25,Panthers vs Broncos,2013
14,Linebreak,James Segeyaro,,,,Panthers,54:21,Panthers vs Broncos,2013
15,Penalty - Lying in the Ruck,Andrew McCullough,,,,Broncos,53:27,Panthers vs Broncos,2013
16,Linebreak,Lewis Brown,,,,Panthers,49:42,Panthers vs Broncos,2013
17,Kick Bomb,Ben Hunt,,,,Broncos,49:03,Panthers vs Broncos,2013
18,Kick Bomb,Isaac John,,,,Panthers,47:47,Panthers vs Broncos,2013
19,Conversion-Made,Luke Walsh,,,18-12,Panthers,46:25,Panthers vs Broncos,2013
20,Try,James Segeyaro,,,16-12,Panthers,45:12,Panthers vs Broncos,2013
21,Linebreak,James Segeyaro,,,,Panthers,45:09,Panthers vs Broncos,2013
22,Penalty - Offside General,Peter Wallace,,,,Broncos,44:41,Panthers vs Broncos,2013
23,On Report,Lama Tasi,,,,Broncos,43:57,Panthers vs Broncos,2013
24,Penalty - Working on the Ground,Luke Walsh,,,,Panthers,42:26,Panthers vs Broncos,2013
25,Line Dropout,Luke Walsh,,,,Panthers,42:00,Panthers vs Broncos,2013
26,Penalty - Hand in the Ruck,Kevin Kingston,,,,Panthers,40:10,Panthers vs Broncos,2013
27,Conversion-Made,Scott Prince,,,12-12,Broncos,39:32,Panthers vs Broncos,2013
28,Try,Corey Oates,,,12-10,Broncos,37:54,Panthers vs Broncos,2013
29,Linebreak,Corey Oates,,,,Broncos,37:53,Panthers vs Broncos,2013
30,Penalty - 2nd Effort,Kevin Kingston,,,,Panthers,36:37,Panthers vs Broncos,2013
31,Linebreak,Tim Grant,,,,Panthers,35:44,Panthers vs Broncos,2013
32,Line Dropout,Lachlan Coote,,,,Panthers,33:05,Panthers vs Broncos,2013
33,Penalty - Marker Not Square,Ryan Simpkins,,,,Panthers,31:25,Panthers vs Broncos,2013
34,Interchange - Sin Bin Return,David Simmons,,,,Panthers,30:12,Panthers vs Broncos,2013
35,Kick Bomb,Ben Hunt,,,,Broncos,30:08,Panthers vs Broncos,2013
36,Conversion-Made,Luke Walsh,,,12-6,Panthers,27:20,Panthers vs Broncos,2013
37,Try,James Segeyaro,,,10-6,Panthers,25:57,Panthers vs Broncos,2013
38,Linebreak,James Segeyaro,,,,Panthers,25:57,Panthers vs Broncos,2013
39,Line Dropout,Ben Hunt,,,,Broncos,25:15,Panthers vs Broncos,2013
40,Line Dropout,Ben Hunt,,,,Broncos,22:28,Panthers vs Broncos,2013
41,Penalty - 2nd Effort,Jack Reed,,,,Broncos,20:29,Panthers vs Broncos,2013
42,Conversion-Made,Scott Prince,,,6-6,Broncos,19:01,Panthers vs Broncos,2013
43,Try,Corey Oates,,,6-4,Broncos,17:28,Panthers vs Broncos,2013
44,Linebreak,Matt Gillett,,,,Broncos,17:25,Panthers vs Broncos,2013
45,Penalty - Offside inside 10m,Clint Newton,,,,Panthers,16:26,Panthers vs Broncos,2013
46,Kick Bomb,Luke Walsh,,,,Panthers,15:55,Panthers vs Broncos,2013
47,Interchange - Sin Bin Return,Matt Gillett,,,,Broncos,14:21,Panthers vs Broncos,2013
48,Line Dropout,Lachlan Coote,,,,Panthers,13:55,Panthers vs Broncos,2013
49,Penalty - Slow Peel,Kevin Kingston,,,,Panthers,12:22,Panthers vs Broncos,2013
50,Conversion-Made,Luke Walsh,,,6-0,Panthers,06:16,Panthers vs Broncos,2013
51,Try,Ryan Simpkins,,,4-0,Panthers,05:32,Panthers vs Broncos,2013
52,Linebreak,Ryan Simpkins,,,,Panthers,05:32,Panthers vs Broncos,2013
53,Interchange - Sin Bin Return,Jordan Kahu,,,,Broncos,05:01,Panthers vs Broncos,2013
54,Kick Bomb,Luke Walsh,,,,Panthers,04:57,Panthers vs Broncos,2013
55,Penalty - Slow Peel,Sam Thaiday,,,,Broncos,03:34,Panthers vs Broncos,2013
56,Penalty - Dangerous Tackle,Andrew McCullough,,,,Broncos,00:34,Panthers vs Broncos,2013
57,KICK OFF,,,,,,00:00,Panthers vs Broncos,2013
