,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Sea Eagles vs Storm,2013
1,Line Dropout,Daly Cherry-Evans,,,,Sea Eagles,78:15,Sea Eagles vs Storm,2013
2,Penalty - Offside inside 10m,Richie Fa'aoso,,,,Sea Eagles,75:34,Sea Eagles vs Storm,2013
3,Conversion-Missed,Jamie Lyon,,,,Sea Eagles,74:24,Sea Eagles vs Storm,2013
4,Try,Daly Cherry-Evans,,,28-8,Sea Eagles,73:31,Sea Eagles vs Storm,2013
5,Interchange - Sin Bin Return,Brett Finch,,,,Storm,73:24,Sea Eagles vs Storm,2013
6,Conversion-Missed,Cameron Smith,,,,Storm,68:11,Sea Eagles vs Storm,2013
7,Try,Justin O'Neill,,,24-8,Storm,66:48,Sea Eagles vs Storm,2013
8,Linebreak,Justin O'Neill,,,,Storm,66:46,Sea Eagles vs Storm,2013
9,Linebreak,Sisa Waqa,,,,Storm,66:33,Sea Eagles vs Storm,2013
10,Penalty - 2nd Effort,Glenn Stewart,,,,Sea Eagles,65:42,Sea Eagles vs Storm,2013
11,Conversion-Missed,Jamie Lyon,,,,Sea Eagles,64:24,Sea Eagles vs Storm,2013
12,Try,Brett Stewart,,,24-4,Sea Eagles,63:33,Sea Eagles vs Storm,2013
13,Linebreak,Brett Stewart,,,,Sea Eagles,63:28,Sea Eagles vs Storm,2013
14,Line Dropout,Cameron Smith,,,,Storm,63:09,Sea Eagles vs Storm,2013
15,Penalty - Holding Down,Cooper Cronk,,,,Storm,61:07,Sea Eagles vs Storm,2013
16,Kick Bomb,Cooper Cronk,,,,Storm,58:49,Sea Eagles vs Storm,2013
17,Interchange - Sin Bin Return,Sisa Waqa,,,,Storm,56:30,Sea Eagles vs Storm,2013
18,Linebreak,Justin O'Neill,,,,Storm,56:09,Sea Eagles vs Storm,2013
19,Penalty - Flop,Brenton Lawrence,,,,Sea Eagles,55:35,Sea Eagles vs Storm,2013
20,Penalty - Marker Not Square,Richie Fa'aoso,,,,Sea Eagles,54:54,Sea Eagles vs Storm,2013
21,Eagles Interchange - Sin Bin Return,Peta Hiku,,,,Sea,51:35,Sea Eagles vs Storm,2013
22,Eagles Interchange - Sin Bin Return,Brent Kite,,,,Sea,50:46,Sea Eagles vs Storm,2013
23,Eagles Interchange - Sin Bin Return,George Rose,,,,Sea,48:57,Sea Eagles vs Storm,2013
24,Line Dropout,Cameron Smith,,,,Storm,48:19,Sea Eagles vs Storm,2013
25,Line Dropout,Cameron Smith,,,,Storm,46:41,Sea Eagles vs Storm,2013
26,Linebreak,Billy Slater,,,,Storm,44:28,Sea Eagles vs Storm,2013
27,Penalty - Offside General,Cameron Smith,,,,Storm,43:29,Sea Eagles vs Storm,2013
28,Kick Bomb,Daly Cherry-Evans,,,,Sea Eagles,42:27,Sea Eagles vs Storm,2013
29,Conversion-Missed,Cameron Smith,,,,Storm,39:43,Sea Eagles vs Storm,2013
30,Try,Sisa Waqa,,,20-4,Storm,37:54,Sea Eagles vs Storm,2013
31,Linebreak,Billy Slater,,,,Storm,37:48,Sea Eagles vs Storm,2013
32,Penalty - Offside inside 10m,Jamie Lyon,,,,Sea Eagles,34:53,Sea Eagles vs Storm,2013
33,Eagles Interchange - Sin Bin Return,David Williams,,,,Sea,32:31,Sea Eagles vs Storm,2013
34,Penalty - Holding Down,Brett Finch,,,,Storm,31:27,Sea Eagles vs Storm,2013
35,Penalty - Marker Not Square,Tohu Harris,,,,Storm,30:19,Sea Eagles vs Storm,2013
36,Conversion-Missed,Jamie Lyon,,,,Sea Eagles,29:10,Sea Eagles vs Storm,2013
37,Try,David Williams,,,20-0,Sea Eagles,27:26,Sea Eagles vs Storm,2013
38,Linebreak,David Williams,,,,Sea Eagles,27:25,Sea Eagles vs Storm,2013
39,Conversion-Missed,Jamie Lyon,,,,Sea Eagles,25:54,Sea Eagles vs Storm,2013
40,Try,David Williams,,,16-0,Sea Eagles,24:40,Sea Eagles vs Storm,2013
41,Linebreak,David Williams,,,,Sea Eagles,24:39,Sea Eagles vs Storm,2013
42,Penalty - 2nd Effort,Will Chambers,,,,Storm,23:06,Sea Eagles vs Storm,2013
43,Penalty - Dangerous Tackle,Glenn Stewart,,,,Sea Eagles,21:51,Sea Eagles vs Storm,2013
44,Penalty - 2nd Effort,David Williams,,,,Sea Eagles,20:54,Sea Eagles vs Storm,2013
45,Penalty - Marker Not Square,Daly Cherry-Evans,,,,Sea Eagles,18:43,Sea Eagles vs Storm,2013
46,Interchange - Sin Bin Return,Cameron Smith,,,,Storm,17:06,Sea Eagles vs Storm,2013
47,Penalty - Hand in the Ruck,Tom Symonds,,,,Sea Eagles,16:20,Sea Eagles vs Storm,2013
48,Line Dropout,Cameron Smith,,,,Storm,14:40,Sea Eagles vs Storm,2013
49,Linebreak,Jamie Lyon,,,,Sea Eagles,13:28,Sea Eagles vs Storm,2013
50,Penalty Shot-Made,Jamie Lyon,,,12-0,Sea Eagles,12:03,Sea Eagles vs Storm,2013
51,Penalty - Leg Pull,Cameron Smith,,,,Storm,10:44,Sea Eagles vs Storm,2013
52,Interchange - Sin Bin Return,Maurice Blair,,,,Storm,10:11,Sea Eagles vs Storm,2013
53,Conversion-Made,Jamie Lyon,,,10-0,Sea Eagles,09:28,Sea Eagles vs Storm,2013
54,Try,Brett Stewart,,,8-0,Sea Eagles,08:30,Sea Eagles vs Storm,2013
55,Linebreak,Brett Stewart,,,,Sea Eagles,08:29,Sea Eagles vs Storm,2013
56,Penalty - Holding Down,Will Chambers,,,,Storm,07:44,Sea Eagles vs Storm,2013
57,Linebreak,Brenton Lawrence,,,,Sea Eagles,05:52,Sea Eagles vs Storm,2013
58,Conversion-Missed,Jamie Lyon,,,,Sea Eagles,03:20,Sea Eagles vs Storm,2013
59,Try,David Williams,,,4-0,Sea Eagles,01:30,Sea Eagles vs Storm,2013
