,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"James
                
                  Tedesco",1.0,Fullback,,80:00,,4,1,-,-,-,-,-,,1,,15.0,182.0,113,,35.0,1,-,-,-,6,-,-,-,1,10,-,,-,-,4,20.0,0.27,,66.7%,2.0,1,-,-,7,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Wests,25,2013-08-30T09:35:00Z,Wests Tigers vs Rabbitohs,2013
1,,"David
                
                  Nofoaluma",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,1,,16.0,182.0,22,,71.0,-,1,-,-,5,-,-,-,7,74,-,,1,-,1,18.0,0.06,,28.6%,2.0,4,1,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Wests,25,2013-08-30T09:35:00Z,Wests Tigers vs Rabbitohs,2013
2,,"Bodene
                
                  Thompson",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,1,,8.0,70.0,-,,31.0,-,-,-,-,3,-,-,-,3,29,-,,-,-,4,13.0,0.5,,66.7%,10.0,4,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Wests,25,2013-08-30T09:35:00Z,Wests Tigers vs Rabbitohs,2013
3,,"Tim
                
                  Simona",4.0,Centre,,80:00,,4,1,-,-,-,-,-,,-,,10.0,91.0,-,,41.0,-,-,-,-,4,-,-,-,-,-,-,,2,1,1,15.0,0.1,,84.6%,11.0,1,1,-,-,,1,32,-,-,-,-,1,-,,-,2,-,2,-,-,-,,80:00,-,Wests,25,2013-08-30T09:35:00Z,Wests Tigers vs Rabbitohs,2013
4,,"Lote
                
                  Tuqiri",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,-,,8.0,79.0,-,,31.0,-,-,-,-,-,-,-,-,-,-,-,,-,-,3,12.0,0.38,,100%,3.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Wests,25,2013-08-30T09:35:00Z,Wests Tigers vs Rabbitohs,2013
5,,"Benji
                
                  Marshall",6.0,Five-Eighth,,80:00,,6,-,3,3,-,100%,-,,-,,8.0,105.0,-,,19.0,1,-,1,-,2,-,-,-,4,72,-,,-,5,25,40.0,3.13,,92.3%,12.0,1,-,1,1,,7,169,-,1,2,-,1,2,,-,-,-,1,-,-,-,,80:00,-,Wests,25,2013-08-30T09:35:00Z,Wests Tigers vs Rabbitohs,2013
6,,"Braith
                
                  Anasta",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,1,,2.0,23.0,-,,5.0,-,-,-,-,-,-,-,-,1,14,-,,-,-,34,44.0,17,,78.6%,11.0,2,1,-,-,,7,209,-,4,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Wests,25,2013-08-30T09:35:00Z,Wests Tigers vs Rabbitohs,2013
7,,"Keith
                
                  Galloway",8.0,Prop,,53:00,,-,-,-,-,-,-,-,,1,,12.0,111.0,53,,33.0,-,-,-,-,1,8,-,-,-,-,-,,-,1,3,16.0,0.25,,90%,27.0,3,-,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,53:00,-,Wests,25,2013-08-30T09:35:00Z,Wests Tigers vs Rabbitohs,2013
8,,"Robbie
                
                  Farah",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,1,,5.0,53.0,-,,16.0,-,-,-,-,-,1,-,-,4,38,-,,-,7,93,97.0,18.6,,95.8%,46.0,2,-,1,-,,6,158,1,1,2,-,-,-,,-,1,-,3,-,-,-,,80:00,-,Wests,25,2013-08-30T09:35:00Z,Wests Tigers vs Rabbitohs,2013
9,,"Adam
                
                  Blair",10.0,Prop,,48:00,,-,-,-,-,-,-,-,,-,,6.0,67.0,11,,24.0,-,-,-,-,-,5,-,-,-,-,-,,-,2,3,9.0,0.5,,86.2%,25.0,4,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,48:00,-,Wests,25,2013-08-30T09:35:00Z,Wests Tigers vs Rabbitohs,2013
10,,"Liam
                
                  Fulton",11.0,2nd Row,,67:00,,-,-,-,-,-,-,-,,1,,14.0,123.0,-,,49.0,-,-,-,-,1,13,-,-,-,-,-,,1,1,9,22.0,0.64,,93.6%,44.0,3,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,67:00,-,Wests,25,2013-08-30T09:35:00Z,Wests Tigers vs Rabbitohs,2013
11,,"Curtis
                
                  Sironen",12.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,1,,14.0,144.0,5,,70.0,-,-,-,-,1,13,-,-,-,-,-,,-,3,5,20.0,0.36,,83.3%,30.0,6,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Wests,25,2013-08-30T09:35:00Z,Wests Tigers vs Rabbitohs,2013
12,,"Ben
                
                  Murdoch-Masila",13.0,Lock,,49:00,,4,1,-,-,-,-,-,,-,,6.0,59.0,-,,20.0,1,-,1,-,1,5,-,-,-,-,-,,1,-,1,8.0,0.17,,94.4%,17.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,49:00,-,Wests,25,2013-08-30T09:35:00Z,Wests Tigers vs Rabbitohs,2013
13,,"Ava
                
                  Seumanufagai",14.0,Interchange,,37:00,,-,-,-,-,-,-,-,,-,,7.0,69.0,-,,19.0,-,-,-,-,-,7,-,-,-,-,-,,-,-,-,7.0,-,,92.3%,24.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,37:00,-,Wests,25,2013-08-30T09:35:00Z,Wests Tigers vs Rabbitohs,2013
14,,"Jack
                
                  Buchanan",15.0,Interchange,,31:00,,-,-,-,-,-,-,-,,-,,7.0,70.0,-,,32.0,-,-,-,-,-,7,-,-,-,-,-,,-,-,2,10.0,0.29,,100%,22.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,31:00,-,Wests,25,2013-08-30T09:35:00Z,Wests Tigers vs Rabbitohs,2013
15,,"Shaun
                
                  Spence",16.0,Interchange,,15:00,,-,-,-,-,-,-,-,,-,,2.0,15.0,-,,2.0,-,-,-,-,-,2,-,-,-,-,-,,-,-,-,2.0,-,,91.7%,11.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,15:00,-,Wests,25,2013-08-30T09:35:00Z,Wests Tigers vs Rabbitohs,2013
16,,"Matthew
                
                  Bell",17.0,Interchange,,19:00,,-,-,-,-,-,-,-,,-,,4.0,27.0,-,,11.0,-,-,-,-,-,4,-,-,-,-,-,,-,-,1,5.0,0.25,,100%,15.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,19:00,-,Wests,25,2013-08-30T09:35:00Z,Wests Tigers vs Rabbitohs,2013
0,,"Greg
                
                  Inglis",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,1,,11,150,35,,58,1,-,-,-,5,-,-,-,-,-,-,,-,1,11,22.0,1,,75%,3,1,-,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,25,2013-08-30T09:35:00Z,Wests Tigers vs Rabbitohs,2013
1,,"Nathan
                
                  Merritt",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,-,,6,105,-,,34,1,-,-,-,5,-,-,-,1,5,-,,-,1,4,12.0,0.67,,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Rabbitohs,25,2013-08-30T09:35:00Z,Wests Tigers vs Rabbitohs,2013
2,,"Bryson
                
                  Goodwin",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,-,,9,62,-,,16,-,1,-,-,2,-,-,-,-,-,-,,-,-,8,13.0,0.89,,78.6%,11,3,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,25,2013-08-30T09:35:00Z,Wests Tigers vs Rabbitohs,2013
3,,"Dylan
                
                  Walker",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,1,,11,111,-,,37,-,1,1,-,5,-,-,-,2,15,-,,-,1,4,11.0,0.36,,81.3%,13,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,25,2013-08-30T09:35:00Z,Wests Tigers vs Rabbitohs,2013
4,,"Dylan
                
                  Farrell",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,1,,11,95,39,,22,-,-,-,-,-,-,-,-,-,-,-,,-,-,2,14.0,0.18,,25%,1,3,-,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,25,2013-08-30T09:35:00Z,Wests Tigers vs Rabbitohs,2013
5,,"John
                
                  Sutton",6.0,Five-Eighth,,76:00,,-,-,-,-,-,-,-,,-,,17,144,-,,44,-,-,-,-,2,-,-,-,1,10,-,,-,3,28,44.0,1.65,,83.3%,15,2,1,-,-,,5,232,-,-,-,-,1,1,,-,-,-,-,-,-,-,,76:00,-,Rabbitohs,25,2013-08-30T09:35:00Z,Wests Tigers vs Rabbitohs,2013
6,,"Adam
                
                  Reynolds",7.0,Halfback,,80:00,,16,1,5,5,1,100%,-,,-,,5,85,2,,10,2,-,1,-,2,-,-,-,-,-,-,,-,2,26,41.0,5.2,,83.3%,20,3,1,1,1,,11,319,-,2,3,-,1,3,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,25,2013-08-30T09:35:00Z,Wests Tigers vs Rabbitohs,2013
7,,"Luke
                
                  Burgess",8.0,Prop,,21:00,,4,1,-,-,-,-,-,,-,,7,65,-,,15,1,-,-,-,1,7,-,-,-,-,-,,-,-,-,7.0,-,,100%,12,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,21:00,-,Rabbitohs,25,2013-08-30T09:35:00Z,Wests Tigers vs Rabbitohs,2013
8,,"Issac
                
                  Luke",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,-,,7,95,-,,16,1,3,2,-,3,-,-,-,6,91,-,,1,4,111,115.0,15.86,,95%,38,2,-,-,-,,1,46,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,25,2013-08-30T09:35:00Z,Wests Tigers vs Rabbitohs,2013
9,,"Roy
                
                  Asotasi",10.0,Prop,,30:00,,-,-,-,-,-,-,-,,1,,8,61,19,,28,-,-,-,-,-,6,-,-,-,-,-,,-,-,-,8.0,-,,95.2%,20,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,30:00,-,Rabbitohs,25,2013-08-30T09:35:00Z,Wests Tigers vs Rabbitohs,2013
10,,"Chris
                
                  McQueen",11.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,-,,12,98,-,,45,-,-,-,-,1,12,-,-,-,-,-,,1,1,1,14.0,0.08,,85.7%,30,4,1,-,-,,-,-,-,-,-,-,-,-,,-,1,-,1,-,-,-,,80:00,-,Rabbitohs,25,2013-08-30T09:35:00Z,Wests Tigers vs Rabbitohs,2013
11,,"Ben
                
                  Te'o",12.0,2nd Row,,51:00,,-,-,-,-,-,-,-,,-,,8,65,3,,28,-,-,-,-,1,7,-,-,-,-,-,,1,-,-,8.0,-,,96.3%,26,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,51:00,-,Rabbitohs,25,2013-08-30T09:35:00Z,Wests Tigers vs Rabbitohs,2013
12,,"Sam
                
                  Burgess",13.0,Lock,,79:00,,4,1,-,-,-,-,-,,-,,16,178,-,,69,1,-,-,-,4,16,-,-,-,-,-,,-,-,3,19.0,0.19,,91.4%,32,3,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,1,-,,79:00,-,Rabbitohs,25,2013-08-30T09:35:00Z,Wests Tigers vs Rabbitohs,2013
13,,"Luke
                
                  Keary",14.0,Interchange,,30:00,,-,-,-,-,-,-,-,,-,,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,6,7.0,-,,83.3%,5,-,1,-,-,,1,29,-,-,1,-,-,1,,-,1,-,-,-,-,-,,30:00,-,Rabbitohs,25,2013-08-30T09:35:00Z,Wests Tigers vs Rabbitohs,2013
14,,"Jeff
                
                  Lima",15.0,Interchange,,38:00,,-,-,-,-,-,-,-,,-,,12,86,-,,30,-,-,-,-,-,12,-,-,-,-,-,,-,1,1,14.0,0.08,,100%,22,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,38:00,-,Rabbitohs,25,2013-08-30T09:35:00Z,Wests Tigers vs Rabbitohs,2013
15,,"George
                
                  Burgess",16.0,Interchange,,34:00,,-,-,-,-,-,-,-,,-,,13,125,33,,45,-,-,-,-,3,10,-,-,-,-,-,,-,-,-,13.0,-,,100%,22,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,34:00,-,Rabbitohs,25,2013-08-30T09:35:00Z,Wests Tigers vs Rabbitohs,2013
16,,"Thomas
                
                  Burgess",17.0,Interchange,,41:00,,-,-,-,-,-,-,-,,-,,11,92,-,,33,-,-,-,-,1,11,-,-,-,-,-,,-,-,1,13.0,0.09,,95.2%,20,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,41:00,-,Rabbitohs,25,2013-08-30T09:35:00Z,Wests Tigers vs Rabbitohs,2013
