,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Wests Tigers vs Rabbitohs,2013
1,Penalty - Offside Downtown,Chris McQueen,,,,Rabbitohs,78:39,Wests Tigers vs Rabbitohs,2013
2,Drop Goal-Missed,Adam Reynolds,,,,Rabbitohs,78:32,Wests Tigers vs Rabbitohs,2013
3,Conversion-Made,Adam Reynolds,,,18-32,Rabbitohs,77:08,Wests Tigers vs Rabbitohs,2013
4,Try,Luke Burgess,,,18-30,Rabbitohs,75:30,Wests Tigers vs Rabbitohs,2013
5,Linebreak,Luke Burgess,,,,Rabbitohs,75:29,Wests Tigers vs Rabbitohs,2013
6,Penalty - Flop,Robbie Farah,,,,Wests Tigers,74:27,Wests Tigers vs Rabbitohs,2013
7,Conversion-Made,Adam Reynolds,,,18-26,Rabbitohs,71:53,Wests Tigers vs Rabbitohs,2013
8,Try,Nathan Merritt,,,18-24,Rabbitohs,70:17,Wests Tigers vs Rabbitohs,2013
9,Linebreak,Issac Luke,,,,Rabbitohs,70:12,Wests Tigers vs Rabbitohs,2013
10,Kick Bomb,Braith Anasta,,,,Wests Tigers,69:28,Wests Tigers vs Rabbitohs,2013
11,Penalty Shot-Made,Adam Reynolds,,,18-20,Rabbitohs,67:08,Wests Tigers vs Rabbitohs,2013
12,Penalty - Ball Strip,Benji Marshall,,,,Wests Tigers,65:52,Wests Tigers vs Rabbitohs,2013
13,Kick Bomb,Benji Marshall,,,,Wests Tigers,64:54,Wests Tigers vs Rabbitohs,2013
14,Linebreak,Adam Reynolds,,,,Rabbitohs,63:56,Wests Tigers vs Rabbitohs,2013
15,Linebreak,Nathan Merritt,,,,Rabbitohs,62:16,Wests Tigers vs Rabbitohs,2013
16,Penalty - Dangerous Tackle,Tim Simona,,,,Wests Tigers,61:20,Wests Tigers vs Rabbitohs,2013
17,Kick Bomb,Braith Anasta,,,,Wests Tigers,61:15,Wests Tigers vs Rabbitohs,2013
18,Penalty - Slow Peel,Robbie Farah,,,,Wests Tigers,58:25,Wests Tigers vs Rabbitohs,2013
19,Tigers Interchange - Sin Bin Return,Tim Simona,,,,Wests,55:55,Wests Tigers vs Rabbitohs,2013
20,Line Dropout,Adam Reynolds,,,,Rabbitohs,55:30,Wests Tigers vs Rabbitohs,2013
21,Penalty - Holding Down,Sam Burgess,,,,Rabbitohs,53:47,Wests Tigers vs Rabbitohs,2013
22,Tigers Interchange - Sin Bin Return,Keith Galloway,,,,Wests,51:40,Wests Tigers vs Rabbitohs,2013
23,Linebreak,Greg Inglis,,,,Rabbitohs,49:04,Wests Tigers vs Rabbitohs,2013
24,Conversion-Made,Adam Reynolds,,,18-18,Rabbitohs,47:48,Wests Tigers vs Rabbitohs,2013
25,Try,Sam Burgess,,,18-16,Rabbitohs,46:28,Wests Tigers vs Rabbitohs,2013
26,Linebreak,Sam Burgess,,,,Rabbitohs,46:26,Wests Tigers vs Rabbitohs,2013
27,Penalties - Other,Tim Simona,,,,Wests Tigers,45:12,Wests Tigers vs Rabbitohs,2013
28,Kick Bomb,Adam Reynolds,,,,Rabbitohs,43:44,Wests Tigers vs Rabbitohs,2013
29,Conversion-Made,Adam Reynolds,,,18-12,Rabbitohs,39:57,Wests Tigers vs Rabbitohs,2013
30,Try,Dylan Farrell,,,18-10,Rabbitohs,38:48,Wests Tigers vs Rabbitohs,2013
31,Drop Goal-Missed,Braith Anasta,,,,Wests Tigers,37:49,Wests Tigers vs Rabbitohs,2013
32,Kick Bomb,Robbie Farah,,,,Wests Tigers,36:07,Wests Tigers vs Rabbitohs,2013
33,Tigers Interchange - Sin Bin Return,Tim Simona,,,,Wests,34:05,Wests Tigers vs Rabbitohs,2013
34,Kick Bomb,Braith Anasta,,,,Wests Tigers,34:01,Wests Tigers vs Rabbitohs,2013
35,Interchange - Sin Bin Return,Nathan Merritt,,,,Rabbitohs,33:04,Wests Tigers vs Rabbitohs,2013
36,Penalty - Holding Down,Robbie Farah,,,,Wests Tigers,32:05,Wests Tigers vs Rabbitohs,2013
37,Kick Bomb,Adam Reynolds,,,,Rabbitohs,31:00,Wests Tigers vs Rabbitohs,2013
38,Conversion-Made,Adam Reynolds,,,18-6,Rabbitohs,29:31,Wests Tigers vs Rabbitohs,2013
39,Try,Adam Reynolds,,,18-4,Rabbitohs,28:11,Wests Tigers vs Rabbitohs,2013
40,Linebreak,Adam Reynolds,,,,Rabbitohs,28:07,Wests Tigers vs Rabbitohs,2013
41,Penalty - Lying in the Ruck,Bodene Thompson,,,,Wests Tigers,24:30,Wests Tigers vs Rabbitohs,2013
42,Penalty - Ball Strip,Adam Blair,,,,Wests Tigers,19:24,Wests Tigers vs Rabbitohs,2013
43,Conversion-Made,Benji Marshall,,,18-0,Wests Tigers,14:06,Wests Tigers vs Rabbitohs,2013
44,Try,Ben Murdoch-Masila,,,16-0,Wests Tigers,13:22,Wests Tigers vs Rabbitohs,2013
45,Interchange - Sin Bin Return,Nathan Merritt,,,,Rabbitohs,13:17,Wests Tigers vs Rabbitohs,2013
46,Kick Bomb,Braith Anasta,,,,Wests Tigers,13:12,Wests Tigers vs Rabbitohs,2013
47,Conversion-Made,Benji Marshall,,,12-0,Wests Tigers,09:47,Wests Tigers vs Rabbitohs,2013
48,Try,James Tedesco,,,10-0,Wests Tigers,08:27,Wests Tigers vs Rabbitohs,2013
49,Linebreak,Ben Murdoch-Masila,,,,Wests Tigers,08:25,Wests Tigers vs Rabbitohs,2013
50,Conversion-Made,Benji Marshall,,,6-0,Wests Tigers,07:14,Wests Tigers vs Rabbitohs,2013
51,Try,Tim Simona,,,4-0,Wests Tigers,06:00,Wests Tigers vs Rabbitohs,2013
52,Linebreak,Benji Marshall,,,,Wests Tigers,05:50,Wests Tigers vs Rabbitohs,2013
53,Tigers Interchange - Sin Bin Return,Ben Murdoch-Masila,,,,Wests,04:12,Wests Tigers vs Rabbitohs,2013
54,Sin Bin,Sam Burgess,,,,Rabbitohs,03:22,Wests Tigers vs Rabbitohs,2013
55,Penalty - Professional Foul,Sam Burgess,,,,Rabbitohs,03:15,Wests Tigers vs Rabbitohs,2013
56,Linebreak,James Tedesco,,,,Wests Tigers,03:07,Wests Tigers vs Rabbitohs,2013
57,KICK OFF,,,,,,00:00,Wests Tigers vs Rabbitohs,2013
