,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Jason
                
                  Nightingale",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,-,,23.0,207.0,44,,70.0,-,1,-,-,4,-,-,-,5,63,-,,3,9,13,34.0,0.57,,100%,7.0,-,-,-,6,,1,3,-,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Dragons,26,2013-09-07T05:00:00Z,Dragons vs Warriors,2013
1,,"Brett
                
                  Morris",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,-,,14.0,152.0,-,,49.0,1,-,-,-,4,-,-,-,9,92,-,,6,1,4,19.0,0.29,,100%,3.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,1,-,1,-,-,-,,80:00,-,Dragons,26,2013-09-07T05:00:00Z,Dragons vs Warriors,2013
2,,"Chase
                
                  Stanley",3.0,Centre,,80:00,,6,-,2,3,1,75%,-,,1,,11.0,96.0,-,,41.0,-,-,-,-,1,1,-,-,3,27,-,,1,1,3,15.0,0.27,,75%,18.0,2,4,1,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Dragons,26,2013-09-07T05:00:00Z,Dragons vs Warriors,2013
3,,"Charly
                
                  Runciman",4.0,Centre,,80:00,,4,1,-,-,-,-,-,,-,,14.0,129.0,-,,52.0,1,-,1,-,6,-,-,-,-,-,-,,4,2,3,18.0,0.21,,100%,22.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,2,-,-,-,-,-,,80:00,-,Dragons,26,2013-09-07T05:00:00Z,Dragons vs Warriors,2013
4,,"Nathan
                
                  Green",22.0,Winger,,80:00,,4,1,-,-,-,-,-,,1,,9.0,75.0,5,,28.0,-,-,-,-,-,-,-,-,-,-,-,,-,-,3,19.0,0.33,,63.6%,7.0,2,2,1,3,,-,-,-,-,-,-,-,-,,-,2,-,-,-,-,-,,80:00,-,Dragons,26,2013-09-07T05:00:00Z,Dragons vs Warriors,2013
5,,"Adam
                
                  Quinlan",6.0,Five-Eighth,,80:00,,4,1,-,-,-,-,-,,-,,11.0,107.0,-,,27.0,1,-,-,-,4,-,-,-,1,11,-,,-,6,20,34.0,1.82,,80%,12.0,2,1,-,-,,3,106,-,1,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Dragons,26,2013-09-07T05:00:00Z,Dragons vs Warriors,2013
6,,"Nathan
                
                  Fien",7.0,Halfback,,61:00,,-,-,-,-,-,-,-,,-,,7.0,37.0,-,,9.0,-,1,1,-,-,-,-,-,2,13,-,,-,9,65,77.0,9.29,,89.5%,17.0,1,1,-,-,,9,319,-,3,-,-,1,1,,-,1,-,1,-,-,-,,61:00,-,Dragons,26,2013-09-07T05:00:00Z,Dragons vs Warriors,2013
7,,"Michael
                
                  Weyman",15.0,Prop,,32:00,,-,-,-,-,-,-,-,,-,,7.0,83.0,12,,30.0,-,-,-,-,-,6,-,-,-,-,-,,-,-,-,7.0,-,,100%,17.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,32:00,-,Dragons,26,2013-09-07T05:00:00Z,Dragons vs Warriors,2013
8,,"Mitch
                
                  Rein",9.0,Hooker,,52:00,,-,-,-,-,-,-,-,,-,,4.0,23.0,-,,4.0,-,-,-,-,-,1,-,-,3,22,-,,2,3,57,61.0,14.25,,85.4%,35.0,4,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,52:00,-,Dragons,26,2013-09-07T05:00:00Z,Dragons vs Warriors,2013
9,,"Ben
                
                  Creagh",10.0,Prop,,66:00,,-,-,-,-,-,-,-,,1,,17.0,174.0,-,,68.0,-,-,-,-,-,15,-,-,2,25,-,,1,1,7,24.0,0.41,,89.7%,26.0,-,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,66:00,-,Dragons,26,2013-09-07T05:00:00Z,Dragons vs Warriors,2013
10,,"Bronson
                
                  Harrison",16.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,1,,9.0,60.0,-,,20.0,-,-,-,-,1,7,-,-,-,-,-,,3,-,7,15.0,0.78,,96.9%,31.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Dragons,26,2013-09-07T05:00:00Z,Dragons vs Warriors,2013
11,,"Leeson
                
                  Ah Mau",12.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,-,,11.0,87.0,-,,33.0,-,-,-,-,2,11,-,-,-,-,-,,-,-,1,13.0,0.09,,84.2%,32.0,3,3,-,-,,2,30,-,-,2,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Dragons,26,2013-09-07T05:00:00Z,Dragons vs Warriors,2013
12,,"Jack
                
                  de Belin",13.0,Lock,,47:00,,-,-,-,-,-,-,-,,-,,11.0,102.0,-,,38.0,-,-,-,-,-,11,-,-,-,-,-,,-,1,2,13.0,0.18,,91.4%,32.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,47:00,-,Dragons,26,2013-09-07T05:00:00Z,Dragons vs Warriors,2013
13,,"Jack
                
                  Stockwell",8.0,Interchange,,30:00,,-,-,-,-,-,-,-,,-,,9.0,86.0,-,,43.0,-,-,-,-,-,9,-,-,-,-,-,,-,1,3,12.0,0.33,,81%,17.0,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,30:00,-,Dragons,26,2013-09-07T05:00:00Z,Dragons vs Warriors,2013
14,,"Matt
                
                  Prior",14.0,Interchange,,38:00,,-,-,-,-,-,-,-,,1,,13.0,136.0,29,,53.0,-,-,-,-,1,11,-,-,-,-,-,,-,1,5,18.0,0.38,,96%,24.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,38:00,-,Dragons,26,2013-09-07T05:00:00Z,Dragons vs Warriors,2013
15,,"Josh
                
                  Drinkwater",17.0,Interchange,,47:00,,1,-,-,-,-,-,1,,-,,5.0,21.0,-,,1.0,-,-,-,-,-,-,-,-,-,-,-,,-,3,13,26.0,2.6,,78.6%,11.0,1,2,-,-,,8,171,-,3,1,-,1,1,,-,-,-,-,-,-,-,,47:00,-,Dragons,26,2013-09-07T05:00:00Z,Dragons vs Warriors,2013
16,,"Will
                
                  Matthews",19.0,Interchange,,27:00,,-,-,-,-,-,-,-,,-,,7.0,58.0,-,,15.0,-,-,-,-,1,7,-,-,-,-,-,,-,-,-,7.0,-,,81.8%,9.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,27:00,-,Dragons,26,2013-09-07T05:00:00Z,Dragons vs Warriors,2013
0,,"Kevin
                
                  Locke",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,-,,15.0,108.0,21,,26.0,-,-,-,-,-,-,-,-,-,-,-,,-,-,19,38.0,1.27,,70%,7.0,3,-,-,6,,1,7,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Warriors,26,2013-09-07T05:00:00Z,Dragons vs Warriors,2013
1,,"Ngani
                
                  Laumape",18.0,Winger,,80:00,,-,-,-,-,-,-,-,,1,,12.0,165.0,59,,67.0,-,-,-,-,2,1,-,-,2,20,-,,1,-,-,13.0,-,,50%,3.0,1,2,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Warriors,26,2013-09-07T05:00:00Z,Dragons vs Warriors,2013
2,,"Dominique
                
                  Peyroux",17.0,Centre,,46:00,,-,-,-,-,-,-,-,,1,,7.0,50.0,-,,11.0,-,-,-,-,1,-,-,-,1,2,-,,1,-,1,9.0,0.14,,77.8%,7.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,46:00,-,Warriors,26,2013-09-07T05:00:00Z,Dragons vs Warriors,2013
3,,"Konrad
                
                  Hurrell",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,-,,10.0,97.0,-,,43.0,-,-,-,-,1,-,-,-,-,-,-,,-,-,2,12.0,0.2,,77.3%,17.0,3,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Warriors,26,2013-09-07T05:00:00Z,Dragons vs Warriors,2013
4,,"Manu
                
                  Vatuvei",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,1,,15.0,154.0,19,,57.0,-,-,-,-,7,-,-,-,-,-,-,,1,-,-,18.0,-,,75%,3.0,-,1,-,3,,-,-,-,-,-,-,-,-,,-,2,-,-,-,-,-,,80:00,-,Warriors,26,2013-09-07T05:00:00Z,Dragons vs Warriors,2013
5,,"Thomas
                
                  Leuluai",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,1,,9.0,113.0,-,,27.0,1,-,-,-,1,-,-,-,1,8,-,,1,2,36,48.0,4,,86.7%,13.0,1,1,-,-,,6,134,-,2,2,-,1,-,,-,-,-,-,-,-,-,,80:00,-,Warriors,26,2013-09-07T05:00:00Z,Dragons vs Warriors,2013
