,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Darius
                
                  Boyd",1.0,Fullback,,80:00,,4,1,-,-,-,-,-,,1,,13.0,141.0,6,,27,-,1,1,-,1,-,-,-,3,44,-,,-,2,61,72.0,4.69,,80%,4.0,1,-,-,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Knights,3,2013-03-25T08:00:00Z,Knights vs Cowboys,2013
1,,"James
                
                  McManus",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,1,,10.0,123.0,45,,34,-,-,-,-,2,-,-,-,2,21,-,,-,-,-,13.0,-,,100%,4.0,-,-,-,5,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Knights,3,2013-03-25T08:00:00Z,Knights vs Cowboys,2013
2,,"Anthony
                
                  Quinn",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,-,,14.0,122.0,-,,32,-,-,-,-,3,-,-,-,3,32,-,,-,-,3,18.0,0.21,,94.1%,16.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Knights,3,2013-03-25T08:00:00Z,Knights vs Cowboys,2013
3,,"Alex
                
                  McKinnon",17.0,Centre,,80:00,,4,1,-,-,-,-,-,,-,,10.0,89.0,-,,20,1,1,1,-,2,1,-,-,-,-,-,,-,-,6,15.0,0.6,,100%,15.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Knights,3,2013-03-25T08:00:00Z,Knights vs Cowboys,2013
4,,"Akuila
                
                  Uate",5.0,Winger,,80:00,,8,2,-,-,-,-,-,,1,,18.0,195.0,61,,51,1,-,1,-,2,-,-,-,4,34,-,,2,-,1,21.0,0.06,,100%,1.0,-,-,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Knights,3,2013-03-25T08:00:00Z,Knights vs Cowboys,2013
5,,"Jarrod
                
                  Mullen",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,-,,7.0,51.0,-,,4,1,-,1,-,-,-,-,-,-,-,-,,-,-,30,52.0,4.29,,95%,19.0,1,-,-,-,,20,663,1,-,-,-,4,1,,-,-,-,-,-,-,-,,80:00,-,Knights,3,2013-03-25T08:00:00Z,Knights vs Cowboys,2013
6,,"Tyrone
                
                  Roberts",14.0,Halfback,,80:00,,14,1,4,6,1,71.43%,-,,1,,4.0,56.0,-,,-,2,-,1,-,3,-,-,-,1,8,-,,-,6,26,30.0,6.5,,87.5%,21.0,2,1,-,-,,3,63,-,-,2,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Knights,3,2013-03-25T08:00:00Z,Knights vs Cowboys,2013
7,,"Kade
                
                  Snowden",8.0,Prop,,46:00,,-,-,-,-,-,-,-,,1,,16.0,170.0,34,,44,-,-,-,-,1,12,-,-,-,-,-,,-,-,2,16.0,0.13,,95.5%,21.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,3,-,-,-,,46:00,-,Knights,3,2013-03-25T08:00:00Z,Knights vs Cowboys,2013
8,,"Neville
                
                  Costigan",15.0,Hooker,,42:00,,-,-,-,-,-,-,-,,-,,8.0,68.0,-,,20,-,-,-,-,-,4,-,-,1,12,-,,-,-,22,25.0,2.75,,94.4%,34.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,42:00,-,Knights,3,2013-03-25T08:00:00Z,Knights vs Cowboys,2013
9,,"Robbie
                
                  Rochow",16.0,Prop,,80:00,,-,-,-,-,-,-,-,,-,,15.0,156.0,-,,55,-,-,-,-,1,15,-,-,-,-,-,,-,-,-,15.0,-,,92.3%,36.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Knights,3,2013-03-25T08:00:00Z,Knights vs Cowboys,2013
10,,"Beau
                
                  Scott",11.0,2nd Row,,33:00,,-,-,-,-,-,-,-,,-,,3.0,20.0,-,,9,-,1,-,-,-,3,-,-,-,-,-,,1,-,1,4.0,0.33,,90.9%,10.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,33:00,-,Knights,3,2013-03-25T08:00:00Z,Knights vs Cowboys,2013
11,,"Chris
                
                  Houston",12.0,2nd Row,,75:00,,-,-,-,-,-,-,-,,-,,10.0,102.0,-,,42,-,-,-,-,1,10,-,-,-,-,-,,-,-,-,10.0,-,,97.5%,39.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,75:00,-,Knights,3,2013-03-25T08:00:00Z,Knights vs Cowboys,2013
