,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Reece
                
                  Robinson",1.0,Fullback,,80:00,,8,2,-,-,-,-,-,,1,,12.0,161.0,79,,43.0,2,-,1,-,4,-,-,-,-,-,-,,-,1,22,34.0,1.83,,80%,4.0,-,1,-,5,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Raiders,3,2013-03-24T07:30:00Z,Raiders vs Dragons,2013
1,,"Sandor
                
                  Earl",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,1,,11.0,101.0,-,,41.0,1,1,-,-,7,-,-,-,1,16,-,,1,-,-,13.0,-,,50%,1.0,-,1,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Raiders,3,2013-03-24T07:30:00Z,Raiders vs Dragons,2013
2,,"Jarrod
                
                  Croker",3.0,Centre,,80:00,,18,2,5,5,-,100%,-,,-,,11.0,153.0,-,,42.0,1,-,-,-,4,-,-,-,-,-,-,,-,1,3,16.0,0.27,,72.7%,8.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Raiders,3,2013-03-24T07:30:00Z,Raiders vs Dragons,2013
3,,"Blake
                
                  Ferguson",21.0,Centre,,80:00,,-,-,-,-,-,-,-,,1,,9.0,75.0,-,,44.0,-,-,1,-,1,1,-,-,-,-,-,,1,1,3,14.0,0.33,,62.5%,5.0,-,3,-,-,,1,13,-,-,1,-,-,-,,-,-,-,2,-,-,-,,80:00,-,Raiders,3,2013-03-24T07:30:00Z,Raiders vs Dragons,2013
4,,"Jack
                
                  Wighton",4.0,Winger,,80:00,,-,-,-,-,-,-,-,,-,,6.0,56.0,23,,23.0,-,-,-,-,1,-,-,-,-,-,-,,-,-,5,11.0,0.83,,100%,3.0,-,-,-,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Raiders,3,2013-03-24T07:30:00Z,Raiders vs Dragons,2013
5,,"Josh
                
                  McCrone",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,1,,8.0,73.0,-,,24.0,-,1,1,-,1,1,-,-,-,-,-,,1,6,30,42.0,3.75,,66.7%,12.0,3,3,-,-,,7,169,1,3,1,-,1,-,,-,-,-,-,-,-,-,,80:00,-,Raiders,3,2013-03-24T07:30:00Z,Raiders vs Dragons,2013
6,,"Sam
                
                  Williams",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,-,,5.0,25.0,-,,5.0,-,-,1,-,1,-,-,-,-,-,-,,1,1,32,47.0,6.4,,100%,12.0,-,-,-,-,,14,314,1,6,4,-,1,2,,-,1,-,-,-,-,-,,80:00,-,Raiders,3,2013-03-24T07:30:00Z,Raiders vs Dragons,2013
7,,"David
                
                  Shillington",8.0,Prop,,44:00,,-,-,-,-,-,-,-,,-,,14.0,126.0,51,,44.0,-,-,-,-,-,10,-,-,-,-,-,,1,1,3,16.0,0.21,,83.3%,20.0,1,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,44:00,-,Raiders,3,2013-03-24T07:30:00Z,Raiders vs Dragons,2013
8,,"Glen
                
                  Buttriss",9.0,Hooker,,45:00,,-,-,-,-,-,-,-,,1,,5.0,35.0,-,,15.0,-,-,-,-,-,1,-,-,4,28,-,,-,5,75,79.0,15,,88.9%,24.0,-,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,45:00,-,Raiders,3,2013-03-24T07:30:00Z,Raiders vs Dragons,2013
9,,"Brett
                
                  White",10.0,Prop,,19:00,,-,-,-,-,-,-,-,,-,,10.0,105.0,-,,40.0,-,-,-,-,-,10,-,-,-,-,-,,-,-,-,10.0,-,,95%,19.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,19:00,-,Raiders,3,2013-03-24T07:30:00Z,Raiders vs Dragons,2013
10,,"Josh
                
                  Papalii",11.0,2nd Row,,63:00,,-,-,-,-,-,-,-,,1,,11.0,113.0,-,,62.0,-,-,-,-,5,10,-,-,-,-,-,,1,-,2,12.0,0.18,,91.7%,22.0,-,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,63:00,-,Raiders,3,2013-03-24T07:30:00Z,Raiders vs Dragons,2013
11,,"Joel
                
                  Edwards",12.0,2nd Row,,69:00,,-,-,-,-,-,-,-,,-,,9.0,71.0,-,,36.0,-,-,-,-,1,9,-,-,-,-,-,,-,-,-,9.0,-,,93.8%,30.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,69:00,-,Raiders,3,2013-03-24T07:30:00Z,Raiders vs Dragons,2013
12,,"Shaun
                
                  Fensom",13.0,Lock,,80:00,,-,-,-,-,-,-,-,,-,,17.0,162.0,-,,78.0,-,-,-,-,1,17,-,-,-,-,-,,-,1,4,21.0,0.24,,90.6%,48.0,2,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Raiders,3,2013-03-24T07:30:00Z,Raiders vs Dragons,2013
13,,"Shaun
                
                  Berrigan",15.0,Interchange,,37:00,,-,-,-,-,-,-,-,,-,,5.0,59.0,-,,24.0,-,-,-,-,-,-,-,-,5,59,-,,-,2,35,40.0,7,,86.4%,19.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,37:00,-,Raiders,3,2013-03-24T07:30:00Z,Raiders vs Dragons,2013
14,,"Dane
                
                  Tilse",16.0,Interchange,,29:00,,-,-,-,-,-,-,-,,1,,14.0,132.0,27,,49.0,-,-,-,-,-,12,-,-,-,-,-,,-,-,-,14.0,-,,92.9%,13.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,29:00,-,Raiders,3,2013-03-24T07:30:00Z,Raiders vs Dragons,2013
15,,"Tom
                
                  Learoyd-Lahrs",17.0,Interchange,,38:00,,-,-,-,-,-,-,-,,1,,11.0,123.0,46,,57.0,-,-,-,-,1,8,-,-,-,-,-,,-,-,-,11.0,-,,88.9%,8.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,38:00,-,Raiders,3,2013-03-24T07:30:00Z,Raiders vs Dragons,2013
16,,"Joe
                
                  Picker",20.0,Interchange,,45:00,,-,-,-,-,-,-,-,,-,,6.0,46.0,-,,23.0,-,-,-,-,-,6,-,-,-,-,-,,-,-,1,7.0,0.17,,75%,15.0,4,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,45:00,-,Raiders,3,2013-03-24T07:30:00Z,Raiders vs Dragons,2013
0,,"Gerard
                
                  Beale",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,-,,7.0,150.0,40,,26.0,1,-,-,-,2,-,-,-,-,-,-,,-,2,3,10.0,0.43,,100%,1.0,-,-,-,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Dragons,3,2013-03-24T07:30:00Z,Raiders vs Dragons,2013
1,,"Brett
                
                  Morris",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,1,,8.0,95.0,23,,45.0,-,-,-,-,3,-,-,-,6,65,-,,1,-,1,12.0,0.13,,50%,2.0,1,1,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Dragons,3,2013-03-24T07:30:00Z,Raiders vs Dragons,2013
2,,"Daniel
                
                  Vidot",19.0,Centre,,80:00,,4,1,-,-,-,-,-,,1,,16.0,157.0,33,,72.0,1,-,-,-,-,1,-,-,-,-,-,,-,-,1,19.0,0.06,,100%,3.0,-,-,-,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Dragons,3,2013-03-24T07:30:00Z,Raiders vs Dragons,2013
3,,"Matthew
                
                  Cooper",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,-,,6.0,67.0,-,,23.0,-,-,-,-,-,-,-,-,2,21,-,,2,-,-,7.0,-,,100%,19.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Dragons,3,2013-03-24T07:30:00Z,Raiders vs Dragons,2013
4,,"Jason
                
                  Nightingale",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,1,,8.0,72.0,-,,29.0,-,1,1,-,-,-,-,-,1,3,-,,1,1,5,14.0,0.63,,86.4%,19.0,3,-,-,-,,1,20,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Dragons,3,2013-03-24T07:30:00Z,Raiders vs Dragons,2013
5,,"Jamie
                
                  Soward",6.0,Five-Eighth,,80:00,,5,-,2,3,-,66.67%,1,,1,,6.0,14.0,7,,3.0,-,-,-,-,1,-,-,-,-,-,-,,2,1,21,39.0,3.5,,61.5%,8.0,5,-,-,4,,11,425,1,4,3,-,-,3,,-,-,-,-,-,-,-,,80:00,-,Dragons,3,2013-03-24T07:30:00Z,Raiders vs Dragons,2013
