,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Corey
                
                  Norman",1.0,Fullback,,79:00,,-,-,-,-,-,-,-,,2,,12.0,132.0,68,,33,-,2,2,-,2,-,-,-,1,5,-,,-,1,17,29.0,1.42,,40%,2.0,1,2,-,4,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,79:00,-,Broncos,4,2013-03-29T09:05:00Z,Broncos vs Storm,2013
1,,"Josh
                
                  Hoffman",2.0,Winger,,64:00,,12,3,-,-,-,-,-,,1,,8.0,80.0,32,,5,3,1,1,-,6,-,-,-,-,-,-,,-,-,5,12.0,0.63,,50%,1.0,-,1,-,5,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,64:00,-,Broncos,4,2013-03-29T09:05:00Z,Broncos vs Storm,2013
2,,"Jack
                
                  Reed",3.0,Centre,,79:00,,4,1,-,-,-,-,-,,-,,5.0,51.0,-,,12,1,2,2,-,3,-,-,-,1,10,-,,-,-,5,10.0,1,,85.7%,6.0,-,1,-,-,,1,48,-,-,-,-,1,-,,-,-,-,1,-,-,-,,79:00,-,Broncos,4,2013-03-29T09:05:00Z,Broncos vs Storm,2013
3,,"Jordan
                
                  Kahu",19.0,Centre,,79:00,,-,-,-,-,-,-,-,,-,,7.0,54.0,-,,9,-,-,-,-,-,-,-,-,-,-,-,,-,-,1,8.0,0.14,,82.4%,14.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,79:00,-,Broncos,4,2013-03-29T09:05:00Z,Broncos vs Storm,2013
4,,"Lachlan
                
                  Maranta",5.0,Winger,,79:00,,-,-,-,-,-,-,-,,1,,10.0,94.0,7,,22,-,-,-,-,1,-,-,-,-,-,-,,-,-,2,14.0,0.2,,75%,3.0,1,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,79:00,-,Broncos,4,2013-03-29T09:05:00Z,Broncos vs Storm,2013
5,,"Scott
                
                  Prince",6.0,Five-Eighth,,79:00,,6,-,3,5,-,60%,-,,-,,3.0,23.0,-,,-,-,-,-,-,1,-,-,-,-,-,-,,-,-,13,21.0,4.33,,81.8%,9.0,1,1,-,-,,5,152,1,-,-,-,-,-,,-,-,-,3,-,-,-,,79:00,-,Broncos,4,2013-03-29T09:05:00Z,Broncos vs Storm,2013
6,,"Peter
                
                  Wallace",7.0,Halfback,,79:00,,-,-,-,-,-,-,-,,-,,4.0,18.0,-,,7,-,-,-,-,1,-,-,-,-,-,-,,-,-,30,39.0,7.5,,92.9%,13.0,1,-,-,1,,6,177,1,-,1,-,2,-,,-,1,-,-,-,-,-,,79:00,-,Broncos,4,2013-03-29T09:05:00Z,Broncos vs Storm,2013
7,,"Ben
                
                  Hannant",8.0,Prop,,58:00,,-,-,-,-,-,-,-,,1,,16.0,155.0,48,,28,-,-,-,-,4,13,-,-,-,-,-,,1,-,1,17.0,0.06,,97.7%,43.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,58:00,-,Broncos,4,2013-03-29T09:05:00Z,Broncos vs Storm,2013
8,,"Andrew
                
                  McCullough",9.0,Hooker,,49:00,,-,-,-,-,-,-,-,,-,,4.0,45.0,-,,9,-,1,-,-,-,-,-,-,4,45,-,,-,2,49,52.0,12.25,,100%,46.0,-,-,-,-,,1,9,-,-,1,-,-,1,,-,1,-,-,-,-,-,,49:00,-,Broncos,4,2013-03-29T09:05:00Z,Broncos vs Storm,2013
9,,"Sam
                
                  Thaiday",10.0,Prop,,77:00,,-,-,-,-,-,-,-,,1,,14.0,147.0,19,,18,1,-,-,-,1,13,-,-,-,-,-,,-,-,3,18.0,0.21,,97.7%,43.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,77:00,-,Broncos,4,2013-03-29T09:05:00Z,Broncos vs Storm,2013
