,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Warriors vs Rabbitohs,2013
1,Kick Bomb,Adam Reynolds,,,,Rabbitohs,71:52,Warriors vs Rabbitohs,2013
2,Kick Bomb,Shaun Johnson,,,,Warriors,71:02,Warriors vs Rabbitohs,2013
3,Conversion-Made,Adam Reynolds,,,22-24,Rabbitohs,68:47,Warriors vs Rabbitohs,2013
4,Try,George Burgess,,,22-22,Rabbitohs,67:32,Warriors vs Rabbitohs,2013
5,Linebreak,George Burgess,,,,Rabbitohs,67:32,Warriors vs Rabbitohs,2013
6,Interchange - Sin Bin Return,Kevin Locke,,,,Warriors,66:57,Warriors vs Rabbitohs,2013
7,Kick Bomb,John Sutton,,,,Rabbitohs,66:53,Warriors vs Rabbitohs,2013
8,Conversion-Made,Shaun Johnson,,,22-18,Warriors,63:55,Warriors vs Rabbitohs,2013
9,Try,Pita Godinet,,,20-18,Warriors,62:03,Warriors vs Rabbitohs,2013
10,Linebreak,Pita Godinet,,,,Warriors,62:00,Warriors vs Rabbitohs,2013
11,Linebreak,Bill Tupou,,,,Warriors,61:56,Warriors vs Rabbitohs,2013
12,Conversion-Made,Shaun Johnson,,,16-18,Warriors,61:04,Warriors vs Rabbitohs,2013
13,Try,Konrad Hurrell,,,14-18,Warriors,59:33,Warriors vs Rabbitohs,2013
14,Linebreak,Konrad Hurrell,,,,Warriors,59:33,Warriors vs Rabbitohs,2013
15,Penalty - Ball Strip,Adam Reynolds,,,,Rabbitohs,58:31,Warriors vs Rabbitohs,2013
16,Interchange - Sin Bin Return,Kevin Locke,,,,Warriors,55:42,Warriors vs Rabbitohs,2013
17,Linebreak,Manu Vatuvei,,,,Warriors,54:45,Warriors vs Rabbitohs,2013
18,Conversion-Missed,Shaun Johnson,,,,Warriors,53:53,Warriors vs Rabbitohs,2013
19,Try,Ngani Laumape,,,10-18,Warriors,52:23,Warriors vs Rabbitohs,2013
20,Linebreak,Ngani Laumape,,,,Warriors,52:23,Warriors vs Rabbitohs,2013
21,Line Dropout,Adam Reynolds,,,,Rabbitohs,51:30,Warriors vs Rabbitohs,2013
22,Linebreak,Konrad Hurrell,,,,Warriors,50:18,Warriors vs Rabbitohs,2013
23,Linebreak,Sam Burgess,,,,Rabbitohs,49:11,Warriors vs Rabbitohs,2013
24,Penalty - Slow Peel,Ben Te'o,,,,Rabbitohs,47:14,Warriors vs Rabbitohs,2013
25,Kick Bomb,Shaun Johnson,,,,Warriors,46:48,Warriors vs Rabbitohs,2013
26,Kick Bomb,Adam Reynolds,,,,Rabbitohs,45:32,Warriors vs Rabbitohs,2013
27,Line Dropout,Shaun Johnson,,,,Warriors,44:33,Warriors vs Rabbitohs,2013
28,Kick Bomb,Shaun Johnson,,,,Warriors,40:50,Warriors vs Rabbitohs,2013
29,Line Dropout,Shaun Johnson,,,,Warriors,38:01,Warriors vs Rabbitohs,2013
30,Line Dropout,Shaun Johnson,,,,Warriors,36:51,Warriors vs Rabbitohs,2013
31,Conversion-Made,Adam Reynolds,,,6-18,Rabbitohs,34:45,Warriors vs Rabbitohs,2013
32,Try,Bryson Goodwin,,,6-16,Rabbitohs,33:01,Warriors vs Rabbitohs,2013
33,Linebreak,Bryson Goodwin,,,,Rabbitohs,33:01,Warriors vs Rabbitohs,2013
34,Conversion-Made,Shaun Johnson,,,6-12,Warriors,31:18,Warriors vs Rabbitohs,2013
35,Try,Ben Matulino,,,4-12,Warriors,29:21,Warriors vs Rabbitohs,2013
36,Linebreak,Ben Matulino,,,,Warriors,29:21,Warriors vs Rabbitohs,2013
37,Interchange - Sin Bin Return,Adam Reynolds,,,,Rabbitohs,28:15,Warriors vs Rabbitohs,2013
38,Penalty - Slow Peel,Chris McQueen,,,,Rabbitohs,27:09,Warriors vs Rabbitohs,2013
39,Kick Bomb,John Sutton,,,,Rabbitohs,24:23,Warriors vs Rabbitohs,2013
40,Kick Bomb,John Sutton,,,,Rabbitohs,20:14,Warriors vs Rabbitohs,2013
41,Interchange - Sin Bin Return,Ngani Laumape,,,,Warriors,19:04,Warriors vs Rabbitohs,2013
42,Conversion-Made,Adam Reynolds,,,0-12,Rabbitohs,16:37,Warriors vs Rabbitohs,2013
43,Try,Greg Inglis,,,0-10,Rabbitohs,14:51,Warriors vs Rabbitohs,2013
44,Penalty - Dangerous Tackle,Ben Te'o,,,,Rabbitohs,13:06,Warriors vs Rabbitohs,2013
45,Conversion-Made,Adam Reynolds,,,0-6,Rabbitohs,08:56,Warriors vs Rabbitohs,2013
46,Try,Nathan Merritt,,,0-4,Rabbitohs,07:37,Warriors vs Rabbitohs,2013
47,Kick Bomb,Adam Reynolds,,,,Rabbitohs,06:43,Warriors vs Rabbitohs,2013
48,Penalty - Offside inside 10m,Feleti Mateo,,,,Warriors,04:07,Warriors vs Rabbitohs,2013
49,Kick Bomb,Shaun Johnson,,,,Warriors,01:51,Warriors vs Rabbitohs,2013
50,KICK OFF,,,,,,00:00,Warriors vs Rabbitohs,2013
