,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Knights vs Panthers,2013
1,Kick Bomb,Luke Walsh,,,,Panthers,76:53,Knights vs Panthers,2013
2,Kick Bomb,Jarrod Mullen,,,,Knights,74:20,Knights vs Panthers,2013
3,Kick Bomb,Jarrod Mullen,,,,Knights,72:44,Knights vs Panthers,2013
4,Conversion-Made,Luke Walsh,,,8-6,Panthers,69:12,Knights vs Panthers,2013
5,Try,Sika Manu,,,8-4,Panthers,68:23,Knights vs Panthers,2013
6,Interchange - Sin Bin Return,Darius Boyd,,,,Knights,68:21,Knights vs Panthers,2013
7,On Report,Jeremy Smith,,,,Knights,63:36,Knights vs Panthers,2013
8,Penalty - Dangerous Tackle,Jeremy Smith,,,,Knights,63:21,Knights vs Panthers,2013
9,Interchange - Sin Bin Return,Willie Mason,,,,Knights,60:50,Knights vs Panthers,2013
10,Penalty - Offside General,Luke Walsh,,,,Panthers,60:00,Knights vs Panthers,2013
11,Interchange - Sin Bin Return,David Simmons,,,,Panthers,59:58,Knights vs Panthers,2013
12,Line Dropout,Luke Walsh,,,,Panthers,59:08,Knights vs Panthers,2013
13,Penalty - 2nd Effort,Darius Boyd,,,,Knights,56:21,Knights vs Panthers,2013
14,Kick Bomb,Tom Humble,,,,Panthers,55:19,Knights vs Panthers,2013
15,Line Dropout,Jarrod Mullen,,,,Knights,50:49,Knights vs Panthers,2013
16,Line Dropout,Jarrod Mullen,,,,Knights,49:23,Knights vs Panthers,2013
17,Kick Bomb,Jarrod Mullen,,,,Knights,45:59,Knights vs Panthers,2013
18,Kick Bomb,Jarrod Mullen,,,,Knights,41:41,Knights vs Panthers,2013
19,Line Dropout,Jarrod Mullen,,,,Knights,37:05,Knights vs Panthers,2013
20,Penalty - Ball Strip,Lewis Brown,,,,Panthers,34:02,Knights vs Panthers,2013
21,Penalties - Other,Cameron Ciraldo,,,,Panthers,33:32,Knights vs Panthers,2013
22,Line Dropout,Jarrod Mullen,,,,Knights,32:48,Knights vs Panthers,2013
23,Penalty - 2nd Effort,Joseph Leilua,,,,Knights,31:21,Knights vs Panthers,2013
24,Penalty - 2nd Effort,Lewis Brown,,,,Panthers,30:23,Knights vs Panthers,2013
25,Kick Bomb,Luke Walsh,,,,Panthers,30:03,Knights vs Panthers,2013
26,Kick Bomb,Luke Walsh,,,,Panthers,26:54,Knights vs Panthers,2013
27,Penalty Shot-Made,Kurt Gidley,,,8-0,Knights,24:42,Knights vs Panthers,2013
28,Penalties - Other,Josh Mansour,,,,Panthers,23:10,Knights vs Panthers,2013
29,Interchange - Sin Bin Return,Josh Mansour,,,,Panthers,23:00,Knights vs Panthers,2013
30,Kick Bomb,Jarrod Mullen,,,,Knights,22:56,Knights vs Panthers,2013
31,Kick Bomb,Luke Walsh,,,,Panthers,19:08,Knights vs Panthers,2013
32,Interchange - Sin Bin Return,Akuila Uate,,,,Knights,15:53,Knights vs Panthers,2013
33,Penalty - Hand in the Ruck,Jeremy Smith,,,,Knights,14:43,Knights vs Panthers,2013
34,Interchange - Sin Bin Return,Jarrod Mullen,,,,Knights,13:35,Knights vs Panthers,2013
35,Penalty - 2nd Effort,Sika Manu,,,,Panthers,09:07,Knights vs Panthers,2013
36,Conversion-Made,Kurt Gidley,,,6-0,Knights,08:06,Knights vs Panthers,2013
37,Try,James McManus,,,4-0,Knights,06:52,Knights vs Panthers,2013
38,Linebreak,James McManus,,,,Knights,06:43,Knights vs Panthers,2013
39,Interchange - Sin Bin Return,Adam Docker,,,,Panthers,05:24,Knights vs Panthers,2013
40,Interchange - Sin Bin Return,Jeremy Smith,,,,Knights,04:22,Knights vs Panthers,2013
41,Kick Bomb,Tom Humble,,,,Panthers,03:39,Knights vs Panthers,2013
42,Interchange - Sin Bin Return,James McManus,,,,Knights,02:26,Knights vs Panthers,2013
43,KICK OFF,,,,,,00:00,Knights vs Panthers,2013
