,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"William
                
                  Zillman",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,-,,14.0,178.0,100,,35.0,1,1,1,-,2,-,-,-,3,24,-,,-,-,19,33.0,1.36,,66.7%,2.0,1,-,-,9,,-,-,-,-,-,-,-,-,,-,2,-,-,-,-,-,,80:00,-,Titans,6,2013-04-14T08:30:00Z,Titans vs Eels,2013
1,,"Kevin
                
                  Gordon",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,1,,7.0,87.0,35,,29.0,-,-,-,-,-,-,-,-,2,17,-,,-,-,8,16.0,1.14,,75%,3.0,1,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Titans,6,2013-04-14T08:30:00Z,Titans vs Eels,2013
2,,"Steve
                
                  Michaels",3.0,Centre,,52:00,,-,-,-,-,-,-,-,,-,,4.0,25.0,-,,5.0,-,-,-,-,-,-,-,-,-,-,-,,-,-,2,6.0,0.5,,71.4%,5.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,52:00,-,Titans,6,2013-04-14T08:30:00Z,Titans vs Eels,2013
3,,"David
                
                  Mead",5.0,Centre,,80:00,,-,-,-,-,-,-,-,,-,,9.0,92.0,-,,27.0,-,-,-,-,-,-,-,-,-,-,-,,-,-,1,9.0,0.11,,89.5%,17.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Titans,6,2013-04-14T08:30:00Z,Titans vs Eels,2013
4,,"Anthony
                
                  Don",17.0,Winger,,80:00,,4,1,-,-,-,-,-,,1,,8.0,77.0,28,,14.0,1,-,-,-,-,-,-,-,2,12,-,,-,-,-,9.0,-,,87.5%,7.0,-,1,-,2,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Titans,6,2013-04-14T08:30:00Z,Titans vs Eels,2013
5,,"Beau
                
                  Henry",6.0,Five-Eighth,,80:00,,12,-,4,4,2,100%,-,,-,,7.0,58.0,-,,25.0,-,-,-,-,1,-,-,-,-,-,-,,1,-,23,40.0,3.29,,81.8%,9.0,2,-,-,-,,9,344,-,1,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Titans,6,2013-04-14T08:30:00Z,Titans vs Eels,2013
6,,"Albert
                
                  Kelly",7.0,Halfback,,80:00,,4,1,-,-,-,-,-,,-,,9.0,77.0,-,,24.0,-,1,1,-,3,-,-,-,-,-,-,,1,5,19,35.0,2.11,,88.9%,24.0,3,-,-,-,,8,149,1,1,3,-,2,-,,-,-,-,-,-,-,-,,80:00,-,Titans,6,2013-04-14T08:30:00Z,Titans vs Eels,2013
7,,"Luke
                
                  Douglas",8.0,Prop,,46:00,,-,-,-,-,-,-,-,,1,,10.0,119.0,59,,41.0,-,-,-,-,1,6,-,-,-,-,-,,1,1,5,15.0,0.5,,96.7%,29.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,46:00,-,Titans,6,2013-04-14T08:30:00Z,Titans vs Eels,2013
8,,"Ashley
                
                  Harrison",13.0,Hooker,,80:00,,4,1,-,-,-,-,-,,1,,14.0,111.0,-,,38.0,1,-,-,-,3,13,-,-,1,12,-,,1,-,35,46.0,2.5,,87.5%,35.0,2,3,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Titans,6,2013-04-14T08:30:00Z,Titans vs Eels,2013
9,,"Nate
                
                  Myles",10.0,Prop,,62:00,,-,-,-,-,-,-,-,,1,,17.0,132.0,-,,53.0,-,-,-,-,-,16,-,-,-,-,-,,1,3,3,19.0,0.18,,97.1%,34.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,62:00,-,Titans,6,2013-04-14T08:30:00Z,Titans vs Eels,2013
