,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"James
                
                  Tedesco",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,2,,14.0,85.0,19,,18.0,-,-,-,-,1,-,-,-,2,17,-,,-,1,5,20.0,0.36,,81.8%,9.0,1,1,-,6,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Wests,7,2013-04-27T09:30:00Z,Wests Tigers vs Broncos,2013
1,,"Joel
                
                  Reddy",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,1,,10.0,85.0,14,,35.0,-,-,-,-,1,-,-,-,2,17,-,,5,-,1,14.0,0.1,,100%,4.0,-,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Wests,7,2013-04-27T09:30:00Z,Wests Tigers vs Broncos,2013
2,,"Blake
                
                  Ayshford",3.0,Centre,,74:00,,-,-,-,-,-,-,-,,-,,11.0,83.0,-,,40.0,-,-,-,-,2,-,-,-,1,-,-,,2,-,2,13.0,0.18,,89.5%,17.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,74:00,-,Wests,7,2013-04-27T09:30:00Z,Wests Tigers vs Broncos,2013
3,,"Chris
                
                  Lawrence",4.0,Centre,,38:00,,-,-,-,-,-,-,-,,-,,3.0,29.0,-,,13.0,-,-,-,-,-,-,-,-,-,-,-,,-,-,1,4.0,0.33,,77.8%,7.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,38:00,-,Wests,7,2013-04-27T09:30:00Z,Wests Tigers vs Broncos,2013
4,,"Matt
                
                  Utai",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,1,,13.0,139.0,35,,47.0,1,-,-,-,9,2,-,-,3,26,-,,-,-,3,17.0,0.23,,50%,5.0,4,1,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Wests,7,2013-04-27T09:30:00Z,Wests Tigers vs Broncos,2013
5,,"Curtis
                
                  Sironen",6.0,Five-Eighth,,80:00,,2,-,1,1,-,100%,-,,-,,9.0,69.0,-,,26.0,-,-,-,-,1,1,-,-,-,-,-,,2,-,19,27.0,2.11,,76%,19.0,5,1,-,-,,2,58,-,2,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Wests,7,2013-04-27T09:30:00Z,Wests Tigers vs Broncos,2013
6,,"Tim
                
                  Moltzen",7.0,Halfback,,60:00,,-,-,-,1,-,-,-,,-,,5.0,46.0,-,,19.0,-,-,-,-,1,-,-,-,-,-,-,,-,-,17,26.0,3.4,,68.4%,13.0,4,2,-,-,,4,117,-,1,-,-,1,-,,-,1,-,-,-,-,-,,60:00,-,Wests,7,2013-04-27T09:30:00Z,Wests Tigers vs Broncos,2013
7,,"Aaron
                
                  Woods",8.0,Prop,,63:00,,-,-,-,-,-,-,-,,-,,18.0,174.0,11,,86.0,-,-,-,-,4,16,-,-,-,-,-,,2,-,2,19.0,0.11,,92.3%,48.0,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,63:00,-,Wests,7,2013-04-27T09:30:00Z,Wests Tigers vs Broncos,2013
8,,"Robbie
                
                  Farah",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,-,,6.0,28.0,-,,6.0,-,1,1,-,2,-,-,-,2,17,-,,-,1,96,103.0,16,,88.6%,39.0,2,3,-,1,,12,381,1,2,2,-,-,1,,-,2,-,1,-,-,-,,80:00,-,Wests,7,2013-04-27T09:30:00Z,Wests Tigers vs Broncos,2013
9,,"Jack
                
                  Buchanan",10.0,Prop,,51:00,,-,-,-,-,-,-,-,,-,,6.0,62.0,-,,23.0,-,-,-,-,1,6,-,-,-,-,-,,-,-,1,8.0,0.17,,91.7%,33.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,51:00,-,Wests,7,2013-04-27T09:30:00Z,Wests Tigers vs Broncos,2013
