,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Corey
                
                  Norman",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,2,,16.0,105.0,47,,26.0,-,-,-,-,2,-,-,-,1,9,-,,-,-,15,30.0,0.94,,20%,1,3,1,-,5,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Broncos,8,2013-05-03T09:35:00Z,Broncos vs Rabbitohs,2013
1,,"Josh
                
                  Hoffman",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,1,,12.0,103.0,-,,41.0,-,-,-,-,3,1,-,-,1,7,-,,1,-,3,14.0,0.25,,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,8,2013-05-03T09:35:00Z,Broncos vs Rabbitohs,2013
2,,"Jack
                
                  Reed",3.0,Centre,,80:00,,4,1,-,-,-,-,-,,-,,9.0,110.0,-,,30.0,-,-,-,-,-,-,-,-,1,10,-,,-,-,4,14.0,0.44,,75%,6,2,-,1,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Broncos,8,2013-05-03T09:35:00Z,Broncos vs Rabbitohs,2013
3,,"Jordan
                
                  Kahu",20.0,Centre,,80:00,,-,-,-,-,-,-,-,,-,,14.0,167.0,-,,51.0,1,1,-,-,-,-,-,-,-,-,-,,1,-,3,17.0,0.21,,66.7%,8,3,1,-,-,,-,-,-,-,-,-,-,-,,-,1,-,2,-,-,-,,80:00,-,Broncos,8,2013-05-03T09:35:00Z,Broncos vs Rabbitohs,2013
4,,"Lachlan
                
                  Maranta",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,-,,10.0,125.0,61,,24.0,1,-,-,-,-,-,-,-,1,1,-,,-,-,2,13.0,0.2,,100%,5,-,-,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,8,2013-05-03T09:35:00Z,Broncos vs Rabbitohs,2013
5,,"Scott
                
                  Prince",6.0,Five-Eighth,,80:00,,8,1,2,2,-,100%,-,,-,,5.0,32.0,-,,1.0,1,-,-,-,2,-,-,-,-,-,-,,1,-,31,43.0,6.2,,71.4%,15,4,2,-,-,,8,249,-,1,2,-,-,1,,-,-,-,2,-,-,-,,80:00,-,Broncos,8,2013-05-03T09:35:00Z,Broncos vs Rabbitohs,2013
6,,"Peter
                
                  Wallace",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,-,,10.0,61.0,-,,9.0,-,-,-,-,1,-,-,-,-,-,-,,1,-,47,59.0,4.7,,83.3%,10,2,-,-,1,,7,173,-,-,-,-,3,-,,-,-,-,1,-,-,-,,80:00,-,Broncos,8,2013-05-03T09:35:00Z,Broncos vs Rabbitohs,2013
7,,"Ben
                
                  Hannant",8.0,Prop,,58:00,,-,-,-,-,-,-,-,,1,,14.0,104.0,12,,34.0,-,-,-,-,-,12,-,-,-,-,-,,-,-,3,17.0,0.21,,95.5%,42,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,58:00,-,Broncos,8,2013-05-03T09:35:00Z,Broncos vs Rabbitohs,2013
8,,"Andrew
                
                  McCullough",9.0,Hooker,,38:00,,-,-,-,-,-,-,-,,1,,7.0,60.0,-,,13.0,-,-,-,-,-,1,-,-,6,53,-,,-,3,51,57.0,7.29,,93.1%,27,2,-,-,-,,2,43,-,-,1,-,-,-,,-,-,-,-,-,-,-,,38:00,-,Broncos,8,2013-05-03T09:35:00Z,Broncos vs Rabbitohs,2013
9,,"Sam
                
                  Thaiday",10.0,Prop,,59:00,,-,-,-,-,-,-,-,,-,,7.0,58.0,-,,24.0,-,-,-,-,-,7,-,-,-,-,-,,-,-,9,16.0,1.29,,90%,36,4,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,59:00,-,Broncos,8,2013-05-03T09:35:00Z,Broncos vs Rabbitohs,2013
10,,"Alex
                
                  Glenn",11.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,-,,12.0,107.0,-,,49.0,-,-,-,-,2,10,-,-,-,-,-,,1,-,2,18.0,0.17,,86.8%,33,5,-,-,-,,1,24,-,1,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Broncos,8,2013-05-03T09:35:00Z,Broncos vs Rabbitohs,2013
