,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Darius
                
                  Boyd",1.0,Fullback,,60:00,,-,-,-,-,-,-,-,,1,,19,179,69,,58,-,1,1,-,3,-,-,-,6,55,-,,-,2,22,41.0,1.16,,100%,2.0,-,-,-,8,,1,14,-,-,-,-,1,-,,-,-,-,-,-,-,-,,60:00,-,Knights,8,2013-05-05T04:00:00Z,Knights vs Sharks,2013
1,,"James
                
                  McManus",2.0,Winger,,60:00,,-,-,-,-,-,-,-,,1,,12,95,6,,27,1,-,-,-,3,-,-,-,1,7,-,,-,-,1,13.0,0.08,,100%,1.0,-,-,-,-,,1,3,-,-,-,-,-,-,,-,-,-,-,-,-,-,,60:00,-,Knights,8,2013-05-05T04:00:00Z,Knights vs Sharks,2013
2,,"Dane
                
                  Gagai",3.0,Centre,,60:00,,4,1,-,-,-,-,-,,1,,13,96,3,,28,1,-,-,-,2,-,-,-,1,5,-,,-,-,2,15.0,0.15,,85%,17.0,3,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,60:00,-,Knights,8,2013-05-05T04:00:00Z,Knights vs Sharks,2013
3,,"Timana
                
                  Tahu",4.0,Centre,,60:00,,-,-,-,-,-,-,-,,1,,10,114,-,,38,-,1,-,-,2,1,-,-,2,17,-,,1,-,10,16.0,1,,88.2%,15.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,1,-,1,-,-,-,,60:00,-,Knights,8,2013-05-05T04:00:00Z,Knights vs Sharks,2013
4,,"Akuila
                
                  Uate",5.0,Winger,,60:00,,-,-,-,-,-,-,-,,-,,13,116,61,,40,-,-,-,-,1,-,-,-,1,-,-,,-,-,-,14.0,-,,77.8%,7.0,2,-,-,4,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,60:00,-,Knights,8,2013-05-05T04:00:00Z,Knights vs Sharks,2013
5,,"Jarrod
                
                  Mullen",6.0,Five-Eighth,,65:00,,-,-,-,-,-,-,-,,-,,-,-,-,,-,-,1,-,-,-,-,-,-,-,-,-,,-,1,27,39.0,-,,89.5%,17.0,1,1,-,-,,12,341,1,2,2,-,2,-,,-,-,-,1,-,-,-,,65:00,-,Knights,8,2013-05-05T04:00:00Z,Knights vs Sharks,2013
6,,"Kurt
                
                  Gidley",9.0,Halfback,,60:00,,8,-,3,3,1,100%,-,,1,,7,72,-,,20,-,1,1,-,-,-,-,-,2,26,-,,-,9,59,66.0,8.43,,80.6%,29.0,3,4,-,-,,4,102,-,-,1,-,1,-,,-,-,-,1,-,-,-,,60:00,-,Knights,8,2013-05-05T04:00:00Z,Knights vs Sharks,2013
7,,"Kade
                
                  Snowden",8.0,Prop,,60:00,,-,-,-,-,-,-,-,,-,,17,214,91,,77,-,-,-,-,4,11,-,-,-,-,-,,-,-,1,19.0,0.06,,97%,32.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,1,-,1,-,-,-,,60:00,-,Knights,8,2013-05-05T04:00:00Z,Knights vs Sharks,2013
8,,"Travis
                
                  Waddell",14.0,Hooker,,79:00,,-,-,-,-,-,-,-,,-,,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,62,63.0,-,,88.1%,37.0,4,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,79:00,-,Knights,8,2013-05-05T04:00:00Z,Knights vs Sharks,2013
9,,"Willie
                
                  Mason",10.0,Prop,,53:00,,-,-,-,-,-,-,-,,-,,12,120,-,,47,-,-,-,-,3,12,-,-,-,-,-,,1,-,2,14.0,0.17,,91.2%,31.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,53:00,-,Knights,8,2013-05-05T04:00:00Z,Knights vs Sharks,2013
10,,"Robbie
                
                  Rochow",11.0,2nd Row,,60:00,,-,-,-,-,-,-,-,,-,,12,104,-,,33,1,-,-,-,2,12,-,-,-,-,-,,-,-,1,13.0,0.08,,100%,42.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,60:00,-,Knights,8,2013-05-05T04:00:00Z,Knights vs Sharks,2013
11,,"Alex
                
                  McKinnon",12.0,2nd Row,,108:00,,-,-,-,-,-,-,-,,-,,10,97,-,,44,1,-,1,-,-,10,-,-,-,-,-,,-,-,2,12.0,0.2,,87.1%,27.0,2,2,1,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,108:00,-,Knights,8,2013-05-05T04:00:00Z,Knights vs Sharks,2013
12,,"Chris
                
                  Houston",13.0,Lock,,51:00,,-,-,-,-,-,-,-,,-,,10,83,-,,46,-,-,-,-,-,10,-,-,-,-,-,,-,-,3,13.0,0.3,,89.7%,26.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,51:00,-,Knights,8,2013-05-05T04:00:00Z,Knights vs Sharks,2013
13,,"Tyrone
                
                  Roberts",7.0,Interchange,,97:00,,4,1,-,-,-,-,-,,-,,6,47,-,,7,-,-,-,-,-,-,-,-,-,-,-,,-,6,20,27.0,3.33,,87.5%,21.0,1,2,-,1,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,97:00,-,Knights,8,2013-05-05T04:00:00Z,Knights vs Sharks,2013
14,,"Adam
                
                  Cuthbertson",16.0,Interchange,,-,,-,-,-,-,-,-,-,,1,,12,102,6,,43,-,-,-,-,-,11,-,-,-,-,-,,-,1,1,13.0,0.08,,88.6%,31.0,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-,Knights,8,2013-05-05T04:00:00Z,Knights vs Sharks,2013
15,,"David
                
                  Fa'alogo",17.0,Interchange,,32:00,,4,1,-,-,-,-,-,,-,,5,37,-,,7,1,-,-,-,1,4,-,-,-,-,-,,-,-,1,6.0,0.2,,89.3%,25.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,3,-,-,-,,32:00,-,Knights,8,2013-05-05T04:00:00Z,Knights vs Sharks,2013
16,,"Korbin
                
                  Sims",18.0,Interchange,,29:00,,-,-,-,-,-,-,-,,-,,8,75,-,,25,-,-,-,-,-,8,-,-,-,-,-,,-,1,-,8.0,-,,88.2%,15.0,-,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,29:00,-,Knights,8,2013-05-05T04:00:00Z,Knights vs Sharks,2013
0,,"Michael
                
                  Gordon",1.0,Fullback,,60:00,,4,-,2,4,-,50%,-,,1,,21.0,188.0,45,,47.0,1,1,1,-,1,1,-,-,2,4,-,,-,-,7,29.0,0.33,,80%,4.0,1,-,-,5,,1,1,-,-,1,-,-,-,,-,-,-,-,-,-,-,,60:00,-,Sharks,8,2013-05-05T04:00:00Z,Knights vs Sharks,2013
