,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Warriors vs Titans,2013
1,Try,Anthony Don,,,25-24,Titans,80:00,Warriors vs Titans,2013
2,Linebreak,Anthony Don,,,,Titans,80:00,Warriors vs Titans,2013
3,Conversion-Made,Aidan Sezer,,,25-24,Titans,80:00,Warriors vs Titans,2013
4,Drop Goal-Made,Shaun Johnson,,,25-18,Warriors,79:13,Warriors vs Titans,2013
5,Penalty - Ball Strip,Luke Douglas,,,,Titans,77:54,Warriors vs Titans,2013
6,Interchange - Sin Bin Return,Aidan Sezer,,,,Titans,77:10,Warriors vs Titans,2013
7,40/20 Kick,Aidan Sezer,,,,Titans,74:33,Warriors vs Titans,2013
8,Interchange - Sin Bin Return,Nate Myles,,,,Titans,72:45,Warriors vs Titans,2013
9,Penalty - Escorts,Todd Lowrie,,,,Warriors,71:41,Warriors vs Titans,2013
10,Conversion-Made,Aidan Sezer,,,24-18,Titans,70:25,Warriors vs Titans,2013
11,Try,Jamal Idris,,,24-16,Titans,69:06,Warriors vs Titans,2013
12,Linebreak,Jamal Idris,,,,Titans,69:06,Warriors vs Titans,2013
13,Interchange - Sin Bin Return,Pita Godinet,,,,Warriors,68:59,Warriors vs Titans,2013
14,Kick Bomb,Aidan Sezer,,,,Titans,68:55,Warriors vs Titans,2013
15,Penalty - Holding Down,Elijah Taylor,,,,Warriors,66:36,Warriors vs Titans,2013
16,40/20 Kick,Aidan Sezer,,,,Titans,66:08,Warriors vs Titans,2013
17,Conversion-Made,Aidan Sezer,,,24-12,Titans,65:06,Warriors vs Titans,2013
18,Try,William Zillman,,,24-10,Titans,64:14,Warriors vs Titans,2013
19,Kick Bomb,Shaun Johnson,,,,Warriors,63:36,Warriors vs Titans,2013
20,Interchange - Sin Bin Return,Luke Douglas,,,,Titans,60:56,Warriors vs Titans,2013
21,Interchange - Sin Bin Return,Bill Tupou,,,,Warriors,60:01,Warriors vs Titans,2013
22,Conversion-Missed,Shaun Johnson,,,,Warriors,59:31,Warriors vs Titans,2013
23,Try,Ben Henry,,,24-6,Warriors,57:48,Warriors vs Titans,2013
24,Linebreak,Ben Henry,,,,Warriors,57:48,Warriors vs Titans,2013
25,Line Dropout,Aidan Sezer,,,,Titans,57:05,Warriors vs Titans,2013
26,Penalty - Holding Down,Simon Mannering,,,,Warriors,54:22,Warriors vs Titans,2013
27,Conversion-Missed,Shaun Johnson,,,,Warriors,52:54,Warriors vs Titans,2013
28,Try,Shaun Johnson,,,20-6,Warriors,51:20,Warriors vs Titans,2013
29,Kick Bomb,Thomas Leuluai,,,,Warriors,51:11,Warriors vs Titans,2013
30,Line Dropout,Aidan Sezer,,,,Titans,50:16,Warriors vs Titans,2013
31,Penalty - Crowding,Ryan James,,,,Titans,48:25,Warriors vs Titans,2013
32,Interchange - Sin Bin Return,Kevin Locke,,,,Warriors,47:03,Warriors vs Titans,2013
33,On Report,Dave Taylor,,,,Titans,43:54,Warriors vs Titans,2013
34,Penalty - Dangerous Tackle,Dave Taylor,,,,Titans,43:45,Warriors vs Titans,2013
35,Penalty - Offside inside 10m,Ryan James,,,,Titans,43:12,Warriors vs Titans,2013
36,Line Dropout,Kevin Locke,,,,Warriors,42:35,Warriors vs Titans,2013
37,Kick Bomb,Aidan Sezer,,,,Titans,41:55,Warriors vs Titans,2013
38,Kick Bomb,Shaun Johnson,,,,Warriors,40:46,Warriors vs Titans,2013
39,Penalty - Crowding,Ben Matulino,,,,Warriors,38:28,Warriors vs Titans,2013
40,Penalty - 2nd Effort,Nate Myles,,,,Titans,36:25,Warriors vs Titans,2013
41,Interchange - Sin Bin Return,Jerome Ropati,,,,Warriors,34:30,Warriors vs Titans,2013
42,40/20 Kick,Shaun Johnson,,,,Warriors,33:30,Warriors vs Titans,2013
43,Conversion-Made,Shaun Johnson,,,16-6,Warriors,32:30,Warriors vs Titans,2013
44,Try,Bill Tupou,,,14-6,Warriors,30:34,Warriors vs Titans,2013
45,Linebreak,Bill Tupou,,,,Warriors,30:31,Warriors vs Titans,2013
46,Penalty - Hand in the Ruck,Ryan James,,,,Titans,29:31,Warriors vs Titans,2013
