,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Panthers vs Storm,2013
1,Penalty - Crowding,Cameron Smith,,,,Storm,79:01,Panthers vs Storm,2013
2,Kick Bomb,Luke Walsh,,,,Panthers,77:35,Panthers vs Storm,2013
3,Penalty - Offside inside 10m,Junior Moors,,,,Storm,68:41,Panthers vs Storm,2013
4,Kick Bomb,David Simmons,,,,Panthers,66:07,Panthers vs Storm,2013
5,Line Dropout,Luke Walsh,,,,Panthers,64:20,Panthers vs Storm,2013
6,Kick Bomb,Cooper Cronk,,,,Storm,64:04,Panthers vs Storm,2013
7,Interchange - Sin Bin Return,Billy Slater,,,,Storm,57:45,Panthers vs Storm,2013
8,Conversion-Made,Cameron Smith,,,12-10,Storm,56:18,Panthers vs Storm,2013
9,Try,Jesse Bromwich,,,12-8,Storm,55:14,Panthers vs Storm,2013
10,Penalty - Dangerous Tackle,Mose Masoe,,,,Panthers,54:00,Panthers vs Storm,2013
11,Kick Bomb,Cooper Cronk,,,,Storm,50:20,Panthers vs Storm,2013
12,Kick Bomb,Cooper Cronk,,,,Storm,48:22,Panthers vs Storm,2013
13,Penalty - Holding Down,Kevin Proctor,,,,Storm,46:25,Panthers vs Storm,2013
14,Interchange - Sin Bin Return,Billy Slater,,,,Storm,46:10,Panthers vs Storm,2013
15,Conversion-Missed,Cameron Smith,,,,Storm,44:49,Panthers vs Storm,2013
16,Try,Sisa Waqa,,,12-4,Storm,43:10,Panthers vs Storm,2013
17,Interchange - Sin Bin Return,Travis Robinson,,,,Panthers,43:08,Panthers vs Storm,2013
18,Line Dropout,Matt Moylan,,,,Panthers,42:36,Panthers vs Storm,2013
19,Kick Bomb,Cooper Cronk,,,,Storm,40:48,Panthers vs Storm,2013
20,Penalty - Marker Not Square,Dean Whare,,,,Panthers,39:55,Panthers vs Storm,2013
21,Drop Goal-Missed,Luke Walsh,,,,Panthers,38:36,Panthers vs Storm,2013
22,Interchange - Sin Bin Return,James Segeyaro,,,,Panthers,36:17,Panthers vs Storm,2013
23,Interchange - Sin Bin Return,Slade Griffin,,,,Storm,35:16,Panthers vs Storm,2013
24,Penalty - Offside inside 10m,Cooper Cronk,,,,Storm,33:19,Panthers vs Storm,2013
25,Line Dropout,Cameron Smith,,,,Storm,31:33,Panthers vs Storm,2013
26,Kick Bomb,Cooper Cronk,,,,Storm,28:22,Panthers vs Storm,2013
27,Conversion-Missed,Luke Walsh,,,,Panthers,25:48,Panthers vs Storm,2013
28,Try,David Simmons,,,12-0,Panthers,23:58,Panthers vs Storm,2013
29,Linebreak,David Simmons,,,,Panthers,23:58,Panthers vs Storm,2013
30,Line Dropout,Cameron Smith,,,,Storm,23:21,Panthers vs Storm,2013
31,Conversion-Missed,Luke Walsh,,,,Panthers,19:11,Panthers vs Storm,2013
32,Try,Travis Robinson,,,8-0,Panthers,18:01,Panthers vs Storm,2013
33,Linebreak,Travis Robinson,,,,Panthers,18:01,Panthers vs Storm,2013
34,Interchange - Sin Bin Return,Sisa Waqa,,,,Storm,16:35,Panthers vs Storm,2013
35,Kick Bomb,Cooper Cronk,,,,Storm,16:31,Panthers vs Storm,2013
36,Interchange - Sin Bin Return,Tim Grant,,,,Panthers,13:30,Panthers vs Storm,2013
37,Conversion-Missed,Luke Walsh,,,,Panthers,12:18,Panthers vs Storm,2013
38,Try,David Simmons,,,4-0,Panthers,10:36,Panthers vs Storm,2013
39,Penalty - Slow Peel,Adam Docker,,,,Panthers,09:08,Panthers vs Storm,2013
40,Interchange - Sin Bin Return,Nigel Plum,,,,Panthers,06:17,Panthers vs Storm,2013
41,Penalty - Escorts,Mahe Fonua,,,,Storm,05:31,Panthers vs Storm,2013
42,Interchange - Sin Bin Return,Mahe Fonua,,,,Storm,04:26,Panthers vs Storm,2013
43,Kick Bomb,Isaac John,,,,Panthers,00:51,Panthers vs Storm,2013
44,KICK OFF,,,,,,00:00,Panthers vs Storm,2013
