,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Glen
                
                  Fisiiahi",1.0,Fullback,,78:00,,4,1,-,-,-,-,-,,-,,13,91,10,,25,1,-,1,-,1,-,-,-,-,-,-,,1,1,5,20.0,0.38,,33.3%,1.0,2,-,-,7,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,78:00,-,Warriors,9,2013-05-11T07:30:00Z,Warriors vs Bulldogs,2013
1,,"Bill
                
                  Tupou",2.0,Winger,,78:00,,-,-,-,-,-,-,-,,1,,12,104,36,,35,-,-,-,-,-,-,-,-,1,11,-,,-,-,1,12.0,0.08,,81.8%,9.0,1,1,-,4,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,78:00,-,Warriors,9,2013-05-11T07:30:00Z,Warriors vs Bulldogs,2013
2,,"Ben
                
                  Henry",3.0,Centre,,78:00,,-,-,-,-,-,-,-,,-,,10,89,-,,33,-,-,-,-,-,1,-,-,1,10,-,,-,-,-,11.0,-,,83.9%,26.0,2,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,78:00,-,Warriors,9,2013-05-11T07:30:00Z,Warriors vs Bulldogs,2013
3,,"Carlos
                
                  Tuimavave",18.0,Centre,,78:00,,-,-,-,-,-,-,-,,1,,6,51,-,,11,1,-,-,-,3,-,-,-,2,19,-,,-,-,2,11.0,0.33,,77.8%,14.0,1,3,-,-,,-,-,-,-,-,-,-,-,,-,2,-,-,-,-,-,,78:00,-,Warriors,9,2013-05-11T07:30:00Z,Warriors vs Bulldogs,2013
4,,"Manu
                
                  Vatuvei",5.0,Winger,,78:00,,4,1,-,-,-,-,-,,-,,7,108,31,,40,-,-,1,-,3,-,-,-,-,-,-,,-,-,1,9.0,0.14,,77.8%,7.0,2,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,78:00,-,Warriors,9,2013-05-11T07:30:00Z,Warriors vs Bulldogs,2013
5,,"Thomas
                
                  Leuluai",6.0,Five-Eighth,,78:00,,4,1,-,-,-,-,-,,-,,7,42,-,,14,1,1,-,-,3,-,-,-,-,-,-,,-,-,21,31.0,3,,79.2%,19.0,2,3,-,-,,4,130,-,1,1,-,-,-,,-,-,-,-,-,-,-,,78:00,-,Warriors,9,2013-05-11T07:30:00Z,Warriors vs Bulldogs,2013
6,,"Shaun
                
                  Johnson",7.0,Halfback,,78:00,,4,-,2,3,-,66.67%,-,,-,,5,46,-,,14,-,-,-,-,1,-,-,-,-,-,-,,-,-,23,40.0,4.6,,81%,17.0,1,3,-,-,,12,388,1,-,2,-,-,-,,-,-,-,-,-,-,-,,78:00,-,Warriors,9,2013-05-11T07:30:00Z,Warriors vs Bulldogs,2013
7,,"Ben
                
                  Matulino",14.0,Prop,,70:00,,-,-,-,-,-,-,-,,1,,10,92,6,,34,-,-,-,-,-,9,-,-,-,-,-,,-,-,-,11.0,-,,95%,19.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,70:00,-,Warriors,9,2013-05-11T07:30:00Z,Warriors vs Bulldogs,2013
8,,"Nathan
                
                  Friend",9.0,Hooker,,68:00,,-,-,-,-,-,-,-,,-,,5,37,-,,19,-,-,-,-,1,2,-,-,3,32,-,,-,-,87,84.0,17.4,,95.8%,46.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,68:00,-,Warriors,9,2013-05-11T07:30:00Z,Warriors vs Bulldogs,2013
9,,"Russell
                
                  Packer",10.0,Prop,,39:00,,-,-,-,-,-,-,-,,1,,9,60,25,,16,-,1,1,-,-,5,-,-,-,-,-,,2,-,2,10.0,0.22,,87%,20.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,39:00,-,Warriors,9,2013-05-11T07:30:00Z,Warriors vs Bulldogs,2013
