,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Cowboys vs Roosters,2014
1,Interchange - Sin Bin Return,Shaun Kenny-Dowall,,,,Roosters,79:43,Cowboys vs Roosters,2014
2,Conversion-Missed,James Maloney,,,,Roosters,79:09,Cowboys vs Roosters,2014
3,Try,Daniel Mortimer,,,42-10,Roosters,77:53,Cowboys vs Roosters,2014
4,Linebreak,Roger Tuivasa-Sheck,,,,Roosters,77:48,Cowboys vs Roosters,2014
5,Line Dropout,James Maloney,,,,Roosters,76:59,Cowboys vs Roosters,2014
6,Interchange - Sin Bin Return,Frank-Paul Nuuausala,,,,Roosters,75:23,Cowboys vs Roosters,2014
7,Penalty - Dangerous Tackle,Jared Waerea-Hargreaves,,,,Roosters,73:15,Cowboys vs Roosters,2014
8,Conversion-Made,Johnathan Thurston,,,42-6,Cowboys,72:23,Cowboys vs Roosters,2014
9,Try,Kane Linnett,,,40-6,Cowboys,70:53,Cowboys vs Roosters,2014
10,Linebreak,Kane Linnett,,,,Cowboys,70:51,Cowboys vs Roosters,2014
11,Penalty - Marker Not Square,Brent Tate,,,,Cowboys,63:43,Cowboys vs Roosters,2014
12,Penalty - Ball Strip,Jared Waerea-Hargreaves,,,,Roosters,61:38,Cowboys vs Roosters,2014
13,Conversion-Made,Johnathan Thurston,,,36-6,Cowboys,60:29,Cowboys vs Roosters,2014
14,Try,Brent Tate,,,34-6,Cowboys,59:00,Cowboys vs Roosters,2014
15,Linebreak,Brent Tate,,,,Cowboys,59:00,Cowboys vs Roosters,2014
16,Linebreak,Johnathan Thurston,,,,Cowboys,58:42,Cowboys vs Roosters,2014
17,Kick Bomb,Robert Lui,,,,Cowboys,55:42,Cowboys vs Roosters,2014
18,Interchange - Sin Bin Return,Roger Tuivasa-Sheck,,,,Roosters,54:15,Cowboys vs Roosters,2014
19,Penalty - Ball Strip,Matthew Scott,,,,Cowboys,53:21,Cowboys vs Roosters,2014
20,On Report,Roger Tuivasa-Sheck,,,,Roosters,51:42,Cowboys vs Roosters,2014
21,Interchange - Sin Bin Return,James Maloney,,,,Roosters,51:15,Cowboys vs Roosters,2014
22,Penalty - Dangerous Tackle,Roger Tuivasa-Sheck,,,,Roosters,50:50,Cowboys vs Roosters,2014
23,Kick Bomb,Johnathan Thurston,,,,Cowboys,49:01,Cowboys vs Roosters,2014
24,Penalty - Lying in the Ruck,Aidan Guerra,,,,Roosters,45:49,Cowboys vs Roosters,2014
25,Line Dropout,James Maloney,,,,Roosters,43:08,Cowboys vs Roosters,2014
26,Line Dropout,James Maloney,,,,Roosters,41:27,Cowboys vs Roosters,2014
27,Conversion-Made,Johnathan Thurston,,,30-6,Cowboys,40:00,Cowboys vs Roosters,2014
28,Try,Matthew Wright,,,28-6,Cowboys,39:30,Cowboys vs Roosters,2014
29,Linebreak,Matthew Wright,,,,Cowboys,39:28,Cowboys vs Roosters,2014
30,Penalty - Slow Peel,Isaac Liu,,,,Roosters,35:46,Cowboys vs Roosters,2014
31,Conversion-Missed,Johnathan Thurston,,,,Cowboys,34:55,Cowboys vs Roosters,2014
32,Try,Johnathan Thurston,,,24-6,Cowboys,33:14,Cowboys vs Roosters,2014
33,Interchange - Sin Bin Return,Michael Morgan,,,,Cowboys,30:55,Cowboys vs Roosters,2014
34,Kick Bomb,James Maloney,,,,Roosters,29:54,Cowboys vs Roosters,2014
35,Interchange - Sin Bin Return,Daniel Tupou,,,,Roosters,28:00,Cowboys vs Roosters,2014
36,Kick Bomb,James Maloney,,,,Roosters,27:55,Cowboys vs Roosters,2014
37,Penalty Shot-Made,Johnathan Thurston,,,20-6,Cowboys,25:46,Cowboys vs Roosters,2014
38,Penalty - Holding Down,Jake Friend,,,,Roosters,24:33,Cowboys vs Roosters,2014
39,Kick Bomb,James Maloney,,,,Roosters,22:07,Cowboys vs Roosters,2014
40,Conversion-Made,James Maloney,,,18-6,Roosters,20:55,Cowboys vs Roosters,2014
41,Try,Anthony Minichiello,,,18-4,Roosters,19:27,Cowboys vs Roosters,2014
42,Linebreak,Anthony Minichiello,,,,Roosters,19:26,Cowboys vs Roosters,2014
43,Linebreak,Anthony Minichiello,,,,Roosters,18:40,Cowboys vs Roosters,2014
44,Conversion-Made,Johnathan Thurston,,,18-0,Cowboys,17:11,Cowboys vs Roosters,2014
45,Try,Kane Linnett,,,16-0,Cowboys,15:28,Cowboys vs Roosters,2014
46,Linebreak,Johnathan Thurston,,,,Cowboys,15:24,Cowboys vs Roosters,2014
47,Conversion-Made,Johnathan Thurston,,,12-0,Cowboys,12:43,Cowboys vs Roosters,2014
48,Try,Tariq Sims,,,10-0,Cowboys,11:27,Cowboys vs Roosters,2014
49,Penalty Shot-Made,Johnathan Thurston,,,6-0,Cowboys,09:47,Cowboys vs Roosters,2014
50,Penalty - Pressure on Kicker,Jared Waerea-Hargreaves,,,,Roosters,08:18,Cowboys vs Roosters,2014
51,Penalty - Obstruction,Boyd Cordner,,,,Roosters,07:01,Cowboys vs Roosters,2014
52,Penalty - Slow Peel,Tariq Sims,,,,Cowboys,06:28,Cowboys vs Roosters,2014
53,Conversion-Missed,Johnathan Thurston,,,,Cowboys,02:19,Cowboys vs Roosters,2014
54,Try,Kane Linnett,,,4-0,Cowboys,01:01,Cowboys vs Roosters,2014
55,Linebreak,Kane Linnett,,,,Cowboys,01:00,Cowboys vs Roosters,2014
56,KICK OFF,,,,,,00:00,Cowboys vs Roosters,2014
