,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Sharks vs Wests Tigers,2014
1,Tigers Interchange - Sin Bin Return,Bodene Thompson,,,,Wests,78:58,Sharks vs Wests Tigers,2014
2,Interchange - Sin Bin Return,Todd Carney,,,,Sharks,76:36,Sharks vs Wests Tigers,2014
3,Penalty - Ball Strip,Cory Paterson,,,,Wests Tigers,75:58,Sharks vs Wests Tigers,2014
4,Penalty - Ball Strip,Luke Lewis,,,,Sharks,72:12,Sharks vs Wests Tigers,2014
5,Interchange - Sin Bin Return,Michael Gordon,,,,Sharks,71:34,Sharks vs Wests Tigers,2014
6,Kick Bomb,Todd Carney,,,,Sharks,69:39,Sharks vs Wests Tigers,2014
7,Tigers Interchange - Sin Bin Return,Sauaso Sue,,,,Wests,64:52,Sharks vs Wests Tigers,2014
8,Penalty - Leg Pull,Siosaia Vave,,,,Sharks,63:54,Sharks vs Wests Tigers,2014
9,Penalty - Scrum Infringement,Cory Paterson,,,,Wests Tigers,62:14,Sharks vs Wests Tigers,2014
10,Conversion-Made,Pat Richards,,,20-22,Wests Tigers,58:06,Sharks vs Wests Tigers,2014
11,Try,Chris Lawrence,,,20-20,Wests Tigers,56:46,Sharks vs Wests Tigers,2014
12,Linebreak,Luke Brooks,,,,Wests Tigers,56:40,Sharks vs Wests Tigers,2014
13,Conversion-Made,Pat Richards,,,20-16,Wests Tigers,55:24,Sharks vs Wests Tigers,2014
14,Try,Cory Paterson,,,20-14,Wests Tigers,54:15,Sharks vs Wests Tigers,2014
15,Linebreak,Cory Paterson,,,,Wests Tigers,54:13,Sharks vs Wests Tigers,2014
16,Conversion-Made,Michael Gordon,,,20-10,Sharks,51:51,Sharks vs Wests Tigers,2014
17,Try,Michael Gordon,,,18-10,Sharks,50:10,Sharks vs Wests Tigers,2014
18,Linebreak,Michael Gordon,,,,Sharks,50:06,Sharks vs Wests Tigers,2014
19,Conversion-Made,Michael Gordon,,,14-10,Sharks,48:54,Sharks vs Wests Tigers,2014
20,Try,Paul Gallen,,,12-10,Sharks,47:04,Sharks vs Wests Tigers,2014
21,Linebreak,Paul Gallen,,,,Sharks,47:03,Sharks vs Wests Tigers,2014
22,Penalty - Holding Down,Martin Taupau,,,,Wests Tigers,45:58,Sharks vs Wests Tigers,2014
23,Tigers Interchange - Sin Bin Return,Tim Simona,,,,Wests,45:43,Sharks vs Wests Tigers,2014
24,Penalty - Obstruction,Isaac De Gois,,,,Sharks,44:30,Sharks vs Wests Tigers,2014
25,Penalty - Slow Peel,Paul Gallen,,,,Sharks,42:24,Sharks vs Wests Tigers,2014
26,Penalty - Holding Down,Martin Taupau,,,,Wests Tigers,40:43,Sharks vs Wests Tigers,2014
27,Penalty Shot-Missed,Michael Gordon,,,,Sharks,40:00,Sharks vs Wests Tigers,2014
28,Penalty - Marker Not Square,Martin Taupau,,,,Wests Tigers,39:36,Sharks vs Wests Tigers,2014
29,Tigers Interchange - Sin Bin Return,David Nofoaluma,,,,Wests,37:02,Sharks vs Wests Tigers,2014
30,Penalty - Offside General,David Nofoaluma,,,,Wests Tigers,33:21,Sharks vs Wests Tigers,2014
31,Tigers Interchange - Sin Bin Return,Kurtis Rowe,,,,Wests,33:20,Sharks vs Wests Tigers,2014
32,Conversion-Made,Michael Gordon,,,8-10,Sharks,31:57,Sharks vs Wests Tigers,2014
33,Try,Sam Tagataese,,,6-10,Sharks,30:54,Sharks vs Wests Tigers,2014
34,Linebreak,Sam Tagataese,,,,Sharks,30:53,Sharks vs Wests Tigers,2014
35,Penalty - Flop,Kurtis Rowe,,,,Wests Tigers,30:16,Sharks vs Wests Tigers,2014
36,Penalty - Ball Strip,Martin Taupau,,,,Wests Tigers,29:22,Sharks vs Wests Tigers,2014
37,Conversion-Made,Pat Richards,,,2-10,Wests Tigers,27:52,Sharks vs Wests Tigers,2014
38,Try,Pat Richards,,,2-8,Wests Tigers,25:47,Sharks vs Wests Tigers,2014
39,Linebreak,Pat Richards,,,,Wests Tigers,25:47,Sharks vs Wests Tigers,2014
