,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Sam
                
                  Perrett",1.0,Fullback,,71:00,,-,-,-,-,-,-,-,,16.0,,13.0,98.0,17,,28.0,-,-,-,-,3,-,-,-,1,9,-,,1,1,16,31.0,1.23,,83.3%,5.0,1,-,-,5,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,71:00,-,Bulldogs,11,2014-05-23T09:45:00Z,Bulldogs vs Roosters,2014
1,,"Mitch
                
                  Brown",2.0,Winger,,80:00,,8,2,-,-,-,-,-,,34.0,,11.0,94.0,15,,26.0,1,-,-,-,3,1,-,-,-,-,-,,1,-,6,21.0,0.55,,66.7%,4.0,2,-,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,11,2014-05-23T09:45:00Z,Bulldogs vs Roosters,2014
2,,"Krisnan
                
                  Inu",5.0,Centre,,80:00,,4,-,1,2,1,66.67%,-,,17.0,,6.0,59.0,-,,26.0,-,-,-,-,2,1,-,-,1,8,-,,-,-,4,8.0,0.67,,71.4%,10.0,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,11,2014-05-23T09:45:00Z,Bulldogs vs Roosters,2014
3,,"Timoteo
                
                  Lafai",4.0,Centre,,71:00,,-,-,-,-,-,-,-,,13.0,,4.0,42.0,-,,9.0,-,1,1,-,-,-,-,-,-,-,-,,1,-,4,6.0,1,,66.7%,10.0,3,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,1,-,,71:00,-,Bulldogs,11,2014-05-23T09:45:00Z,Bulldogs vs Roosters,2014
4,,"Corey
                
                  Thompson",19.0,Winger,,80:00,,-,-,-,-,-,-,-,,16.0,,5.0,28.0,3,,10.0,-,-,-,-,3,2,-,-,1,9,-,,-,-,1,7.0,0.2,,100%,6.0,-,-,-,2,,-,-,-,-,-,-,-,-,,-,-,1,-,-,-,-,,80:00,-,Bulldogs,11,2014-05-23T09:45:00Z,Bulldogs vs Roosters,2014
5,,"Chase
                
                  Stanley",3.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,41.0,,6.0,47.0,-,,18.0,-,-,-,-,4,1,-,-,1,11,-,,-,1,13,23.0,2.17,,96.6%,28.0,1,-,-,1,,1,21,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Bulldogs,11,2014-05-23T09:45:00Z,Bulldogs vs Roosters,2014
6,,"Moses
                
                  Mbye",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,42.0,,5.0,30.0,-,,16.0,-,-,1,-,1,2,-,-,-,-,-,,-,-,17,35.0,3.4,,72.7%,16.0,3,3,-,-,,13,353,1,3,2,-,2,-,,-,1,-,1,-,-,-,,80:00,-,Bulldogs,11,2014-05-23T09:45:00Z,Bulldogs vs Roosters,2014
7,,"Aiden
                
                  Tolman",8.0,Prop,,52:00,,-,-,-,-,-,-,-,,35.0,,12.0,104.0,17,,30.0,-,-,-,-,-,11,-,-,-,-,-,,1,1,2,14.0,0.17,,88.2%,30.0,1,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,52:00,-,Bulldogs,11,2014-05-23T09:45:00Z,Bulldogs vs Roosters,2014
8,,"Michael
                
                  Ennis",9.0,Hooker,,77:00,,-,-,-,-,-,-,-,,45.0,,3.0,15.0,-,,1.0,-,-,-,-,1,1,-,-,1,7,-,,-,2,100,99.0,33.33,,95.1%,39.0,2,-,-,-,,2,82,1,-,1,-,-,1,,-,-,-,-,-,-,-,,77:00,-,Bulldogs,11,2014-05-23T09:45:00Z,Bulldogs vs Roosters,2014
9,,"James
                
                  Graham",10.0,Prop,,55:00,,-,-,-,-,-,-,-,,24.0,,15.0,128.0,-,,47.0,-,-,-,-,-,14,-,-,-,-,-,,-,1,5,19.0,0.33,,89.3%,25.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,55:00,-,Bulldogs,11,2014-05-23T09:45:00Z,Bulldogs vs Roosters,2014
