,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Sharks vs Rabbitohs,2014
1,Line Dropout,Adam Reynolds,,,,Rabbitohs,79:47,Sharks vs Rabbitohs,2014
2,Interchange - Sin Bin Return,Nathan Merritt,,,,Rabbitohs,79:26,Sharks vs Rabbitohs,2014
3,Line Dropout,Adam Reynolds,,,,Rabbitohs,79:05,Sharks vs Rabbitohs,2014
4,Penalties - Other,Adam Reynolds,,,,Rabbitohs,75:58,Sharks vs Rabbitohs,2014
5,Line Dropout,Adam Reynolds,,,,Rabbitohs,75:57,Sharks vs Rabbitohs,2014
6,Linebreak,Sam Tagataese,,,,Sharks,74:40,Sharks vs Rabbitohs,2014
7,Line Dropout,Adam Reynolds,,,,Rabbitohs,74:25,Sharks vs Rabbitohs,2014
8,Interchange - Sin Bin Return,Nathan Merritt,,,,Rabbitohs,72:28,Sharks vs Rabbitohs,2014
9,Interchange - Sin Bin Return,Apisai Koroisau,,,,Rabbitohs,70:26,Sharks vs Rabbitohs,2014
10,Interchange - Sin Bin Return,Joel Reddy,,,,Rabbitohs,68:37,Sharks vs Rabbitohs,2014
11,Kick Bomb,Daniel Holdsworth,,,,Sharks,66:38,Sharks vs Rabbitohs,2014
12,Line Dropout,Daniel Holdsworth,,,,Sharks,65:02,Sharks vs Rabbitohs,2014
13,Kick Bomb,Adam Reynolds,,,,Rabbitohs,64:15,Sharks vs Rabbitohs,2014
14,Conversion-Made,Adam Reynolds,,,0-18,Rabbitohs,63:00,Sharks vs Rabbitohs,2014
15,Try,Cameron McInnes,,,0-16,Rabbitohs,61:51,Sharks vs Rabbitohs,2014
16,Linebreak,Cameron McInnes,,,,Rabbitohs,61:51,Sharks vs Rabbitohs,2014
17,Conversion-Missed,Adam Reynolds,,,,Rabbitohs,56:31,Sharks vs Rabbitohs,2014
18,Try,Kirisome Auva'a,,,0-12,Rabbitohs,54:57,Sharks vs Rabbitohs,2014
19,Linebreak,Dylan Walker,,,,Rabbitohs,54:49,Sharks vs Rabbitohs,2014
20,Interchange - Sin Bin Return,Michael Gordon,,,,Sharks,51:29,Sharks vs Rabbitohs,2014
21,Line Dropout,Daniel Holdsworth,,,,Sharks,50:25,Sharks vs Rabbitohs,2014
22,Penalty - Marker Not Square,Siosaia Vave,,,,Sharks,48:33,Sharks vs Rabbitohs,2014
23,Penalty - 2nd Effort,Dylan Walker,,,,Rabbitohs,46:34,Sharks vs Rabbitohs,2014
24,Kick Bomb,Jeff Robson,,,,Sharks,46:22,Sharks vs Rabbitohs,2014
25,Kick Bomb,Adam Reynolds,,,,Rabbitohs,45:28,Sharks vs Rabbitohs,2014
26,Kick Bomb,Daniel Holdsworth,,,,Sharks,44:31,Sharks vs Rabbitohs,2014
27,Penalty - Hand in the Ruck,Junior Roqica,,,,Sharks,42:25,Sharks vs Rabbitohs,2014
28,Penalty - Crowding,Jonathan Wright,,,,Sharks,41:49,Sharks vs Rabbitohs,2014
29,Kick Bomb,Jeff Robson,,,,Sharks,39:41,Sharks vs Rabbitohs,2014
30,Kick Bomb,John Sutton,,,,Rabbitohs,38:51,Sharks vs Rabbitohs,2014
31,Penalty Shot-Made,Adam Reynolds,,,0-8,Rabbitohs,37:26,Sharks vs Rabbitohs,2014
32,Penalty - Ball Strip,Junior Roqica,,,,Sharks,36:29,Sharks vs Rabbitohs,2014
33,Interchange - Sin Bin Return,Sosaia Feki,,,,Sharks,35:17,Sharks vs Rabbitohs,2014
34,Interchange - Sin Bin Return,Sosaia Feki,,,,Sharks,26:00,Sharks vs Rabbitohs,2014
35,Penalty - Dangerous Tackle,Kirisome Auva'a,,,,Rabbitohs,25:26,Sharks vs Rabbitohs,2014
36,Interchange - Sin Bin Return,Jason Clark,,,,Rabbitohs,24:44,Sharks vs Rabbitohs,2014
37,Kick Bomb,John Sutton,,,,Rabbitohs,22:40,Sharks vs Rabbitohs,2014
38,Conversion-Made,Adam Reynolds,,,0-6,Rabbitohs,21:21,Sharks vs Rabbitohs,2014
39,Try,Sam Burgess,,,0-4,Rabbitohs,19:45,Sharks vs Rabbitohs,2014
40,Linebreak,Sam Burgess,,,,Rabbitohs,19:45,Sharks vs Rabbitohs,2014
41,Interchange - Sin Bin Return,Bryce Gibbs,,,,Sharks,18:05,Sharks vs Rabbitohs,2014
42,Penalty - Offside Downtown,Bryce Gibbs,,,,Sharks,18:05,Sharks vs Rabbitohs,2014
43,Penalty - Slow Peel,Ben Lowe,,,,Rabbitohs,16:45,Sharks vs Rabbitohs,2014
44,Penalty - Hand in the Ruck,Ben Lowe,,,,Rabbitohs,15:45,Sharks vs Rabbitohs,2014
45,Kick Bomb,John Sutton,,,,Rabbitohs,13:03,Sharks vs Rabbitohs,2014
46,Kick Bomb,Jeff Robson,,,,Sharks,10:35,Sharks vs Rabbitohs,2014
47,Interchange - Sin Bin Return,Adam Reynolds,,,,Rabbitohs,05:42,Sharks vs Rabbitohs,2014
48,Kick Bomb,John Sutton,,,,Rabbitohs,03:33,Sharks vs Rabbitohs,2014
49,Linebreak,Daniel Holdsworth,,,,Sharks,02:16,Sharks vs Rabbitohs,2014
50,KICK OFF,,,,,,00:00,Sharks vs Rabbitohs,2014
