,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Ben
                
                  Barba",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,11.0,,12.0,81.0,43,,24.0,-,-,-,-,1,-,-,-,1,11,-,,2,1,19,33.0,1.58,,100%,2.0,-,-,-,7,,2,26,-,-,-,-,2,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,12,2014-06-01T05:00:00Z,Broncos vs Sea Eagles,2014
1,,"Daniel
                
                  Vidot",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,12.0,,20.0,195.0,28,,89.0,-,-,-,-,1,7,-,-,-,-,-,,3,-,2,24.0,0.1,,100%,2.0,-,-,-,1,,1,8,-,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,12,2014-06-01T05:00:00Z,Broncos vs Sea Eagles,2014
2,,"Jack
                
                  Reed",3.0,Centre,,80:00,,8,2,-,-,-,-,-,,43.0,,7.0,79.0,-,,17.0,1,-,-,-,2,2,-,-,-,-,-,,-,-,2,11.0,0.29,,84.2%,16.0,1,2,-,1,,1,-,-,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,12,2014-06-01T05:00:00Z,Broncos vs Sea Eagles,2014
3,,"Dale
                
                  Copley",5.0,Centre,,80:00,,8,2,-,-,-,-,-,,41.0,,8.0,58.0,1,,17.0,2,-,-,-,3,-,-,-,-,-,-,,-,-,1,14.0,0.12,,70%,7.0,1,2,-,1,,-,-,-,-,-,-,-,-,,-,2,-,-,-,-,-,,80:00,-,Broncos,12,2014-06-01T05:00:00Z,Broncos vs Sea Eagles,2014
4,,"Lachlan
                
                  Maranta",14.0,Winger,,80:00,,4,1,-,-,-,-,-,,25.0,,7.0,62.0,21,,17.0,1,-,-,-,3,1,-,-,1,8,-,,-,-,3,16.0,0.43,,75%,3.0,1,-,-,3,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Broncos,12,2014-06-01T05:00:00Z,Broncos vs Sea Eagles,2014
5,,"Josh
                
                  Hoffman",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,23.0,,9.0,57.0,4,,26.0,-,-,1,-,-,-,-,-,1,1,-,,-,1,10,22.0,1.11,,81.8%,18.0,2,2,-,-,,3,16,-,-,2,-,1,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,12,2014-06-01T05:00:00Z,Broncos vs Sea Eagles,2014
6,,"Ben
                
                  Hunt",7.0,Halfback,,80:00,,4,-,2,3,-,66.67%,-,,54.0,,5.0,53.0,-,,11.0,1,1,1,-,1,-,-,-,-,-,-,,-,6,29,47.0,5.8,,91.3%,21.0,1,1,-,-,,13,310,1,3,2,-,2,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,12,2014-06-01T05:00:00Z,Broncos vs Sea Eagles,2014
7,,"Josh
                
                  McGuire",8.0,Prop,,61:00,,-,-,-,-,-,-,-,,33.0,,16.0,147.0,21,,59.0,-,-,-,-,1,14,-,-,-,-,-,,-,-,5,22.0,0.31,,93.8%,30.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,61:00,-,Broncos,12,2014-06-01T05:00:00Z,Broncos vs Sea Eagles,2014
8,,"Andrew
                
                  McCullough",9.0,Hooker,,69:00,,-,-,-,-,-,-,-,,40.0,,3.0,13.0,-,,2.0,-,-,-,-,-,-,-,-,1,8,-,,-,3,104,104.0,34.67,,97.2%,35.0,1,-,-,-,,2,102,-,-,-,-,-,-,,-,-,-,-,-,-,-,,69:00,-,Broncos,12,2014-06-01T05:00:00Z,Broncos vs Sea Eagles,2014
9,,"Corey
                
                  Parker",10.0,Prop,,45:00,,4,-,2,4,-,50%,-,,25.0,,16.0,151.0,-,,58.0,-,-,-,-,-,16,-,-,-,-,-,,3,-,5,21.0,0.31,,100%,15.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,45:00,-,Broncos,12,2014-06-01T05:00:00Z,Broncos vs Sea Eagles,2014
10,,"Alex
                
                  Glenn",11.0,2nd Row,,71:00,,4,1,-,-,-,-,-,,42.0,,14.0,136.0,-,,50.0,-,-,-,-,1,14,-,-,-,-,-,,-,-,11,25.0,0.79,,85.7%,30.0,2,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,71:00,-,Broncos,12,2014-06-01T05:00:00Z,Broncos vs Sea Eagles,2014
11,,"Sam
                
                  Thaiday",12.0,2nd Row,,35:00,,-,-,-,-,-,-,-,,24.0,,9.0,84.0,24,,36.0,-,-,-,-,1,7,-,-,-,-,-,,1,-,4,13.0,0.44,,100%,18.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,35:00,-,Broncos,12,2014-06-01T05:00:00Z,Broncos vs Sea Eagles,2014
12,,"Matt
                
                  Gillett",13.0,Lock,,64:00,,4,1,-,-,-,-,-,,54.0,,11.0,187.0,-,,25.0,1,-,-,-,4,9,-,-,-,-,-,,4,-,6,17.0,0.55,,84.6%,22.0,2,2,1,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,64:00,-,Broncos,12,2014-06-01T05:00:00Z,Broncos vs Sea Eagles,2014
