,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Roosters vs Raiders,2014
1,Penalty Shot-Made,James Maloney,,,26-12,Roosters,80:00,Roosters vs Raiders,2014
2,Penalty - 2nd Effort,Terry Campese,,,,Raiders,79:49,Roosters vs Raiders,2014
3,Linebreak,Dylan Napa,,,,Roosters,79:27,Roosters vs Raiders,2014
4,Drop Goal-Missed,Mitchell Pearce,,,,Roosters,77:43,Roosters vs Raiders,2014
5,Penalty - Lying in the Ruck,Jake Friend,,,,Roosters,76:35,Roosters vs Raiders,2014
6,Conversion-Made,Jarrod Croker,,,24-12,Raiders,74:12,Roosters vs Raiders,2014
7,Try,Paul Vaughan,,,24-10,Raiders,73:18,Roosters vs Raiders,2014
8,Linebreak,Paul Vaughan,,,,Raiders,73:18,Roosters vs Raiders,2014
9,Interchange - Sin Bin Return,Shaun Kenny-Dowall,,,,Roosters,71:54,Roosters vs Raiders,2014
10,Penalty - Lying in the Ruck,Sam Moa,,,,Roosters,70:03,Roosters vs Raiders,2014
11,Interchange - Sin Bin Return,Jack Wighton,,,,Raiders,67:35,Roosters vs Raiders,2014
12,Conversion-Made,Jarrod Croker,,,24-6,Raiders,66:17,Roosters vs Raiders,2014
13,Try,Jack Wighton,,,24-4,Raiders,64:51,Roosters vs Raiders,2014
14,Linebreak,Jack Wighton,,,,Raiders,64:51,Roosters vs Raiders,2014
15,Penalty - Offside inside 10m,Sonny Bill Williams,,,,Roosters,64:00,Roosters vs Raiders,2014
16,Penalty - Flop,James Maloney,,,,Roosters,61:27,Roosters vs Raiders,2014
17,Linebreak,Anthony Minichiello,,,,Roosters,60:22,Roosters vs Raiders,2014
18,Kick Bomb,Terry Campese,,,,Raiders,60:16,Roosters vs Raiders,2014
19,Conversion-Made,James Maloney,,,24-0,Roosters,58:07,Roosters vs Raiders,2014
20,Try,Daniel Tupou,,,22-0,Roosters,56:38,Roosters vs Raiders,2014
21,Penalty - 2nd Effort,Shaun Fensom,,,,Raiders,55:10,Roosters vs Raiders,2014
22,Line Dropout,Terry Campese,,,,Raiders,54:56,Roosters vs Raiders,2014
23,Interchange - Sin Bin Return,Sami Sauiluma,,,,Raiders,53:24,Roosters vs Raiders,2014
24,Kick Bomb,Terry Campese,,,,Raiders,53:19,Roosters vs Raiders,2014
25,Kick Bomb,James Maloney,,,,Roosters,50:29,Roosters vs Raiders,2014
26,Interchange - Sin Bin Return,Sonny Bill Williams,,,,Roosters,46:47,Roosters vs Raiders,2014
27,Kick Bomb,Mitchell Pearce,,,,Roosters,41:34,Roosters vs Raiders,2014
28,Penalty - Ball Strip,Josh McCrone,,,,Raiders,37:56,Roosters vs Raiders,2014
29,Conversion-Made,James Maloney,,,18-0,Roosters,34:17,Roosters vs Raiders,2014
30,Try,James Maloney,,,16-0,Roosters,32:48,Roosters vs Raiders,2014
31,Linebreak,James Maloney,,,,Roosters,32:45,Roosters vs Raiders,2014
32,Penalty - Offside inside 10m,Terry Campese,,,,Raiders,31:39,Roosters vs Raiders,2014
33,Interchange - Sin Bin Return,Josh McCrone,,,,Raiders,30:53,Roosters vs Raiders,2014
34,Kick Bomb,James Maloney,,,,Roosters,30:48,Roosters vs Raiders,2014
35,Interchange - Sin Bin Return,Anthony Milford,,,,Raiders,26:03,Roosters vs Raiders,2014
36,Kick Bomb,James Maloney,,,,Roosters,26:00,Roosters vs Raiders,2014
37,Interchange - Sin Bin Return,Michael Jennings,,,,Roosters,23:17,Roosters vs Raiders,2014
38,Kick Bomb,Mitchell Pearce,,,,Roosters,22:40,Roosters vs Raiders,2014
39,Kick Bomb,Terry Campese,,,,Raiders,21:52,Roosters vs Raiders,2014
40,Interchange - Sin Bin Return,Anthony Minichiello,,,,Roosters,20:39,Roosters vs Raiders,2014
41,Penalty - Offside inside 10m,David Shillington,,,,Raiders,19:57,Roosters vs Raiders,2014
42,Conversion-Made,James Maloney,,,12-0,Roosters,19:18,Roosters vs Raiders,2014
43,Try,Daniel Tupou,,,10-0,Roosters,17:53,Roosters vs Raiders,2014
44,Linebreak,Daniel Tupou,,,,Roosters,17:52,Roosters vs Raiders,2014
45,Penalty - Lying in the Ruck,Josh Papalii,,,,Raiders,17:02,Roosters vs Raiders,2014
46,Kick Bomb,Terry Campese,,,,Raiders,16:05,Roosters vs Raiders,2014
47,Penalty - 2nd Effort,James Maloney,,,,Roosters,14:41,Roosters vs Raiders,2014
48,Kick Bomb,James Maloney,,,,Roosters,13:31,Roosters vs Raiders,2014
49,Conversion-Made,James Maloney,,,6-0,Roosters,09:59,Roosters vs Raiders,2014
50,Try,Daniel Tupou,,,4-0,Roosters,08:20,Roosters vs Raiders,2014
51,Linebreak,Daniel Tupou,,,,Roosters,08:20,Roosters vs Raiders,2014
52,Penalty - Slow Peel,Aidan Guerra,,,,Roosters,05:49,Roosters vs Raiders,2014
53,Interchange - Sin Bin Return,Roger Tuivasa-Sheck,,,,Roosters,01:58,Roosters vs Raiders,2014
54,KICK OFF,,,,,,00:00,Roosters vs Raiders,2014
