,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Knights vs Wests Tigers,2014
1,Try,Akuila Uate,,,20-23,Knights,76:52,Knights vs Wests Tigers,2014
2,Linebreak,Akuila Uate,,,,Knights,76:47,Knights vs Wests Tigers,2014
3,Linebreak,Aaron Woods,,,,Wests Tigers,74:51,Knights vs Wests Tigers,2014
4,Conversion-Made,Pat Richards,,,16-23,Wests Tigers,69:52,Knights vs Wests Tigers,2014
5,Try,Chris Lawrence,,,16-21,Wests Tigers,68:17,Knights vs Wests Tigers,2014
6,Linebreak,Chris Lawrence,,,,Wests Tigers,68:17,Knights vs Wests Tigers,2014
7,On Report,Kade Snowden,,,,Knights,67:39,Knights vs Wests Tigers,2014
8,Penalty - Dangerous Tackle,Kade Snowden,,,,Knights,67:33,Knights vs Wests Tigers,2014
9,Drop Goal-Made,Pat Richards,,,16-17,Wests Tigers,66:26,Knights vs Wests Tigers,2014
10,Penalty Shot-Made,Pat Richards,,,16-16,Wests Tigers,64:39,Knights vs Wests Tigers,2014
11,Interchange,,,,,Knights,63:55,Knights vs Wests Tigers,2014
12,Sin Bin,Kurt Gidley,,,,Knights,63:55,Knights vs Wests Tigers,2014
13,Penalty - Professional Foul,Kurt Gidley,,,,Knights,63:54,Knights vs Wests Tigers,2014
14,40/20 Kick,Luke Brooks,,,,Wests Tigers,63:41,Knights vs Wests Tigers,2014
15,Linebreak,Tim Simona,,,,Wests Tigers,62:04,Knights vs Wests Tigers,2014
16,Penalty - Dangerous Tackle,Tim Simona,,,,Wests Tigers,59:40,Knights vs Wests Tigers,2014
17,Kick Bomb,Braith Anasta,,,,Wests Tigers,59:35,Knights vs Wests Tigers,2014
18,Penalty - Dangerous Tackle,Akuila Uate,,,,Knights,58:18,Knights vs Wests Tigers,2014
19,Kick Bomb,Jarrod Mullen,,,,Knights,56:06,Knights vs Wests Tigers,2014
20,Conversion-Made,Tyrone Roberts,,,16-14,Knights,53:09,Knights vs Wests Tigers,2014
21,Try,Akuila Uate,,,14-14,Knights,51:42,Knights vs Wests Tigers,2014
22,Linebreak,Akuila Uate,,,,Knights,51:40,Knights vs Wests Tigers,2014
23,Linebreak,Darius Boyd,,,,Knights,51:20,Knights vs Wests Tigers,2014
24,Conversion-Made,Pat Richards,,,10-14,Wests Tigers,44:37,Knights vs Wests Tigers,2014
25,Try,Pat Richards,,,10-12,Wests Tigers,43:45,Knights vs Wests Tigers,2014
26,Linebreak,Pat Richards,,,,Wests Tigers,43:42,Knights vs Wests Tigers,2014
27,Kick Bomb,Pat Richards,,,,Wests Tigers,40:00,Knights vs Wests Tigers,2014
28,Penalty - Hand in the Ruck,Robbie Rochow,,,,Knights,39:54,Knights vs Wests Tigers,2014
29,Kick Bomb,Jarrod Mullen,,,,Knights,39:19,Knights vs Wests Tigers,2014
30,Linebreak,Akuila Uate,,,,Knights,37:30,Knights vs Wests Tigers,2014
31,Interchange - Sin Bin Return,Akuila Uate,,,,Knights,35:01,Knights vs Wests Tigers,2014
32,Penalty - Dangerous Tackle,Adam Blair,,,,Wests Tigers,33:51,Knights vs Wests Tigers,2014
33,On Report,Kade Snowden,,,,Knights,32:26,Knights vs Wests Tigers,2014
