,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Panthers vs Dragons,2014
1,Conversion-Missed,Gareth Widdop,,,,Dragons,78:18,Panthers vs Dragons,2014
2,Try,Jason Nightingale,,,18-14,Dragons,78:01,Panthers vs Dragons,2014
3,Linebreak,Jason Nightingale,,,,Dragons,78:01,Panthers vs Dragons,2014
4,Penalty - Holding Down,Matt Moylan,,,,Panthers,77:25,Panthers vs Dragons,2014
5,Kick Bomb,Peter Wallace,,,,Panthers,74:38,Panthers vs Dragons,2014
6,Interchange - Sin Bin Return,Benji Marshall,,,,Dragons,71:11,Panthers vs Dragons,2014
7,Penalty - Obstruction,Kevin Naiqama,,,,Panthers,67:25,Panthers vs Dragons,2014
8,Kick Bomb,Dean Whare,,,,Panthers,67:07,Panthers vs Dragons,2014
9,Line Dropout,Gareth Widdop,,,,Dragons,64:12,Panthers vs Dragons,2014
10,Penalty - Pressure on Kicker,Mike Cooper,,,,Dragons,62:24,Panthers vs Dragons,2014
11,Kick Bomb,Peter Wallace,,,,Panthers,62:24,Panthers vs Dragons,2014
12,Interchange - Sin Bin Return,James Segeyaro,,,,Panthers,59:49,Panthers vs Dragons,2014
13,Linebreak,Josh Mansour,,,,Panthers,59:46,Panthers vs Dragons,2014
14,Kick Bomb,Jamie Soward,,,,Panthers,58:39,Panthers vs Dragons,2014
15,Kick Bomb,Jamie Soward,,,,Panthers,56:19,Panthers vs Dragons,2014
16,Conversion-Made,Jamie Soward,,,18-10,Panthers,55:01,Panthers vs Dragons,2014
17,Try,Josh Mansour,,,16-10,Panthers,53:24,Panthers vs Dragons,2014
18,Linebreak,Jamie Soward,,,,Panthers,53:20,Panthers vs Dragons,2014
19,Kick Bomb,Peter Wallace,,,,Panthers,49:41,Panthers vs Dragons,2014
20,Kick Bomb,Jamie Soward,,,,Panthers,46:16,Panthers vs Dragons,2014
21,Conversion-Made,Gareth Widdop,,,12-10,Dragons,43:48,Panthers vs Dragons,2014
22,Try,Jason Nightingale,,,12-8,Dragons,42:17,Panthers vs Dragons,2014
23,Linebreak,Jason Nightingale,,,,Dragons,42:17,Panthers vs Dragons,2014
24,Interchange - Sin Bin Return,Isaah Yeo,,,,Panthers,41:23,Panthers vs Dragons,2014
25,Linebreak,Peter Wallace,,,,Panthers,39:54,Panthers vs Dragons,2014
26,Penalty - Obstruction,James Segeyaro,,,,Panthers,37:17,Panthers vs Dragons,2014
27,Kick Bomb,Benji Marshall,,,,Dragons,37:16,Panthers vs Dragons,2014
28,Conversion-Missed,Gareth Widdop,,,,Dragons,35:56,Panthers vs Dragons,2014
29,Try,Charly Runciman,,,12-4,Dragons,34:26,Panthers vs Dragons,2014
30,Linebreak,Charly Runciman,,,,Dragons,34:26,Panthers vs Dragons,2014
31,Penalty - Dangerous Tackle,James Segeyaro,,,,Panthers,31:25,Panthers vs Dragons,2014
32,Interchange - Sin Bin Return,Josh Mansour,,,,Panthers,28:56,Panthers vs Dragons,2014
33,Penalty - Obstruction,James Segeyaro,,,,Panthers,27:03,Panthers vs Dragons,2014
34,Penalty - Holding Down,Will Matthews,,,,Dragons,26:29,Panthers vs Dragons,2014
35,Conversion-Made,Jamie Soward,,,12-0,Panthers,23:30,Panthers vs Dragons,2014
36,Try,Dean Whare,,,10-0,Panthers,22:23,Panthers vs Dragons,2014
37,Penalty - Offside inside 10m,Peter Mata'utia,,,,Dragons,21:00,Panthers vs Dragons,2014
38,Penalty - Offside General,Jeremy Latimore,,,,Panthers,19:19,Panthers vs Dragons,2014
39,Kick Bomb,Gareth Widdop,,,,Dragons,19:12,Panthers vs Dragons,2014
40,Line Dropout,Jamie Soward,,,,Panthers,13:30,Panthers vs Dragons,2014
41,Penalty - Offside inside 10m,Jamie Soward,,,,Panthers,11:36,Panthers vs Dragons,2014
42,Linebreak,Charly Runciman,,,,Dragons,11:19,Panthers vs Dragons,2014
43,Kick Bomb,Peter Wallace,,,,Panthers,06:49,Panthers vs Dragons,2014
44,Conversion-Made,Jamie Soward,,,6-0,Panthers,05:18,Panthers vs Dragons,2014
45,Try,Dean Whare,,,4-0,Panthers,03:48,Panthers vs Dragons,2014
46,Linebreak,Dean Whare,,,,Panthers,03:48,Panthers vs Dragons,2014
47,Penalty - Pressure on Kicker,Tyson Frizell,,,,Dragons,03:06,Panthers vs Dragons,2014
48,KICK OFF,,,,,,00:00,Panthers vs Dragons,2014
