,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Rabbitohs vs Wests Tigers,2014
1,Conversion-Made,Adam Reynolds,,,32-10,Rabbitohs,80:00,Rabbitohs vs Wests Tigers,2014
2,Try,Kyle Turner,,,30-10,Rabbitohs,78:50,Rabbitohs vs Wests Tigers,2014
3,Linebreak,Kyle Turner,,,,Rabbitohs,78:48,Rabbitohs vs Wests Tigers,2014
4,Penalty - Shoulder Charge,Bodene Thompson,,,,Wests Tigers,77:40,Rabbitohs vs Wests Tigers,2014
5,Tigers Interchange - Sin Bin Return,Chris Lawrence,,,,Wests,77:31,Rabbitohs vs Wests Tigers,2014
6,Interchange - Sin Bin Return,Thomas Burgess,,,,Rabbitohs,76:34,Rabbitohs vs Wests Tigers,2014
7,Penalty Shot-Made,Adam Reynolds,,,26-10,Rabbitohs,73:18,Rabbitohs vs Wests Tigers,2014
8,Penalties - Other,Pat Richards,,,,Wests Tigers,71:41,Rabbitohs vs Wests Tigers,2014
9,Line Dropout,Pat Richards,,,,Wests Tigers,71:39,Rabbitohs vs Wests Tigers,2014
10,Penalty - Lying in the Ruck,Joel Luani,,,,Wests Tigers,69:59,Rabbitohs vs Wests Tigers,2014
11,Tigers Interchange - Sin Bin Return,Blake Austin,,,,Wests,68:42,Rabbitohs vs Wests Tigers,2014
12,Interchange - Sin Bin Return,Kyle Turner,,,,Rabbitohs,67:36,Rabbitohs vs Wests Tigers,2014
13,Tigers Interchange - Sin Bin Return,Chris Lawrence,,,,Wests,67:23,Rabbitohs vs Wests Tigers,2014
14,Linebreak,Apisai Koroisau,,,,Rabbitohs,66:44,Rabbitohs vs Wests Tigers,2014
15,Penalty - Offside Downtown,Blake Austin,,,,Wests Tigers,63:27,Rabbitohs vs Wests Tigers,2014
16,Conversion-Missed,Pat Richards,,,,Wests Tigers,61:49,Rabbitohs vs Wests Tigers,2014
17,Try,James Tedesco,,,24-10,Wests Tigers,61:00,Rabbitohs vs Wests Tigers,2014
18,Linebreak,James Tedesco,,,,Wests Tigers,59:56,Rabbitohs vs Wests Tigers,2014
19,Tigers Interchange - Sin Bin Return,Chris Lawrence,,,,Wests,58:26,Rabbitohs vs Wests Tigers,2014
20,Penalty - Offside inside 10m,Ben Lowe,,,,Rabbitohs,57:19,Rabbitohs vs Wests Tigers,2014
21,Penalty - Holding Down,George Burgess,,,,Rabbitohs,56:57,Rabbitohs vs Wests Tigers,2014
22,Conversion-Made,Adam Reynolds,,,24-6,Rabbitohs,54:22,Rabbitohs vs Wests Tigers,2014
23,Try,Nathan Merritt,,,22-6,Rabbitohs,52:42,Rabbitohs vs Wests Tigers,2014
24,Linebreak,Nathan Merritt,,,,Rabbitohs,52:42,Rabbitohs vs Wests Tigers,2014
25,Penalty - Slow Peel,Adam Blair,,,,Wests Tigers,51:35,Rabbitohs vs Wests Tigers,2014
26,Tigers Interchange - Sin Bin Return,Chris Lawrence,,,,Wests,50:46,Rabbitohs vs Wests Tigers,2014
27,Interchange - Sin Bin Return,Nathan Merritt,,,,Rabbitohs,50:01,Rabbitohs vs Wests Tigers,2014
28,Kick Bomb,Luke Brooks,,,,Wests Tigers,49:57,Rabbitohs vs Wests Tigers,2014
29,Kick Bomb,Pat Richards,,,,Wests Tigers,48:22,Rabbitohs vs Wests Tigers,2014
30,Conversion-Made,Adam Reynolds,,,18-6,Rabbitohs,46:14,Rabbitohs vs Wests Tigers,2014
31,Try,Alex Johnston,,,16-6,Rabbitohs,44:42,Rabbitohs vs Wests Tigers,2014
32,Linebreak,Alex Johnston,,,,Rabbitohs,44:36,Rabbitohs vs Wests Tigers,2014
33,Conversion-Made,Pat Richards,,,12-6,Wests Tigers,42:55,Rabbitohs vs Wests Tigers,2014
34,Try,Blake Austin,,,12-4,Wests Tigers,42:08,Rabbitohs vs Wests Tigers,2014
35,Linebreak,Blake Austin,,,,Wests Tigers,42:07,Rabbitohs vs Wests Tigers,2014
