,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Sam
                
                  Tomkins",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,27.0,,20.0,168.0,55,,37.0,-,-,-,-,6,2,-,-,1,14,-,,1,2,23,50.0,1.15,,75%,6.0,2,-,1,9,,2,57,-,-,1,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Warriors,15,2014-06-21T07:30:00Z,Warriors vs Broncos,2014
1,,"David
                
                  Fusitu'a",2.0,Winger,,69:00,,-,-,-,-,-,-,-,,3.0,,9.0,117.0,81,,30.0,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,11.0,-,,100%,3.0,-,-,-,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,69:00,-,Warriors,15,2014-06-21T07:30:00Z,Warriors vs Broncos,2014
2,,"Konrad
                
                  Hurrell",3.0,Centre,,80:00,,4,1,-,-,-,-,-,,32.0,,13.0,128.0,19,,54.0,1,-,-,-,5,1,-,-,-,-,-,,1,-,1,15.0,0.08,,50%,6.0,5,1,-,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Warriors,15,2014-06-21T07:30:00Z,Warriors vs Broncos,2014
3,,"Ngani
                
                  Laumape",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,28.0,,13.0,135.0,-,,67.0,1,-,1,-,1,4,-,-,2,38,-,,-,1,4,19.0,0.31,,81.2%,13.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,1,-,-,,80:00,-,Warriors,15,2014-06-21T07:30:00Z,Warriors vs Broncos,2014
4,,"Manu
                
                  Vatuvei",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,15.0,,14.0,148.0,2,,59.0,-,-,-,-,2,4,-,-,-,-,-,,1,-,3,19.0,0.21,,100%,6.0,-,-,-,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Warriors,15,2014-06-21T07:30:00Z,Warriors vs Broncos,2014
5,,"Chad
                
                  Townsend",6.0,Five-Eighth,,80:00,,4,1,-,-,-,-,-,,48.0,,6.0,62.0,-,,9.0,-,-,-,-,1,-,-,-,2,27,-,,1,1,32,43.0,5.33,,85.7%,30.0,3,2,-,1,,7,114,2,3,1,-,3,-,,-,-,-,-,-,-,-,,80:00,-,Warriors,15,2014-06-21T07:30:00Z,Warriors vs Broncos,2014
6,,"Shaun
                
                  Johnson",7.0,Halfback,,80:00,,7,-,3,3,-,100%,1,,46.0,,4.0,36.0,-,,9.0,1,-,-,-,1,-,-,-,-,-,-,,-,3,37,55.0,9.25,,76.5%,13.0,3,1,-,-,,14,350,1,7,2,-,2,1,,-,-,-,-,-,-,-,,80:00,-,Warriors,15,2014-06-21T07:30:00Z,Warriors vs Broncos,2014
7,,"Jacob
                
                  Lillyman",8.0,Prop,,51:00,,-,-,-,-,-,-,-,,33.0,,11.0,93.0,14,,36.0,-,-,-,-,1,10,-,-,-,-,-,,-,-,4,15.0,0.36,,96.6%,28.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,51:00,-,Warriors,15,2014-06-21T07:30:00Z,Warriors vs Broncos,2014
8,,"Nathan
                
                  Friend",9.0,Hooker,,69:00,,-,-,-,-,-,-,-,,42.0,,5.0,48.0,-,,15.0,-,-,-,-,-,1,-,-,3,31,-,,-,2,87,90.0,17.4,,93.8%,45.0,3,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,69:00,-,Warriors,15,2014-06-21T07:30:00Z,Warriors vs Broncos,2014
9,,"Sam
                
                  Rapira",10.0,Prop,,46:00,,-,-,-,-,-,-,-,,25.0,,11.0,96.0,6,,31.0,-,-,-,-,-,10,-,-,-,-,-,,-,-,1,13.0,0.09,,96.2%,25.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,46:00,-,Warriors,15,2014-06-21T07:30:00Z,Warriors vs Broncos,2014
