,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Cowboys vs Rabbitohs,2014
1,Penalty - Hand in the Ruck,Sam Burgess,,,,Rabbitohs,78:22,Cowboys vs Rabbitohs,2014
2,Penalty - Dangerous Tackle,Ben Te'o,,,,Rabbitohs,77:45,Cowboys vs Rabbitohs,2014
3,Kick Bomb,Adam Reynolds,,,,Rabbitohs,77:12,Cowboys vs Rabbitohs,2014
4,Interchange - Sin Bin Return,Antonio Winterstein,,,,Cowboys,70:06,Cowboys vs Rabbitohs,2014
5,Kick Bomb,Adam Reynolds,,,,Rabbitohs,70:01,Cowboys vs Rabbitohs,2014
6,Conversion-Made,Adam Reynolds,,,20-18,Rabbitohs,66:23,Cowboys vs Rabbitohs,2014
7,Try,Greg Inglis,,,20-16,Rabbitohs,65:07,Cowboys vs Rabbitohs,2014
8,Linebreak,Greg Inglis,,,,Rabbitohs,64:44,Cowboys vs Rabbitohs,2014
9,Line Dropout,Adam Reynolds,,,,Rabbitohs,63:21,Cowboys vs Rabbitohs,2014
10,Penalty - Ball Strip,Thomas Burgess,,,,Rabbitohs,60:59,Cowboys vs Rabbitohs,2014
11,Penalty - Dangerous Tackle,Sam Burgess,,,,Rabbitohs,56:33,Cowboys vs Rabbitohs,2014
12,Penalty - Leg Pull,Glenn Hall,,,,Cowboys,51:49,Cowboys vs Rabbitohs,2014
13,Interchange - Sin Bin Return,Alex Johnston,,,,Rabbitohs,50:24,Cowboys vs Rabbitohs,2014
14,Line Dropout,Matthew Wright,,,,Cowboys,49:49,Cowboys vs Rabbitohs,2014
15,Penalty - Ball Strip,Jason Taumalolo,,,,Cowboys,47:48,Cowboys vs Rabbitohs,2014
16,Conversion-Made,Adam Reynolds,,,20-12,Rabbitohs,46:35,Cowboys vs Rabbitohs,2014
17,Try,Jason Clark,,,20-10,Rabbitohs,45:43,Cowboys vs Rabbitohs,2014
18,Linebreak,Jason Clark,,,,Rabbitohs,45:43,Cowboys vs Rabbitohs,2014
19,Penalty - Slow Peel,Anthony Mitchell,,,,Cowboys,44:49,Cowboys vs Rabbitohs,2014
20,Kick Bomb,Adam Reynolds,,,,Rabbitohs,41:41,Cowboys vs Rabbitohs,2014
21,Line Dropout,Matthew Wright,,,,Cowboys,39:28,Cowboys vs Rabbitohs,2014
22,Penalties - Other,Ashton Sims,,,,Cowboys,37:18,Cowboys vs Rabbitohs,2014
23,Penalty - Dangerous Tackle,Apisai Koroisau,,,,Rabbitohs,36:44,Cowboys vs Rabbitohs,2014
24,Penalty - 2nd Effort,Antonio Winterstein,,,,Cowboys,34:50,Cowboys vs Rabbitohs,2014
25,Penalty Shot-Made,Johnathan Thurston,,,20-6,Cowboys,32:55,Cowboys vs Rabbitohs,2014
26,Penalty - Slow Peel,Ben Te'o,,,,Rabbitohs,31:46,Cowboys vs Rabbitohs,2014
27,Line Dropout,Adam Reynolds,,,,Rabbitohs,31:07,Cowboys vs Rabbitohs,2014
28,Penalties - Other,Sam Burgess,,,,Rabbitohs,29:30,Cowboys vs Rabbitohs,2014
29,Conversion-Missed,Johnathan Thurston,,,,Cowboys,28:35,Cowboys vs Rabbitohs,2014
30,Try,Matthew Wright,,,18-6,Cowboys,27:25,Cowboys vs Rabbitohs,2014
31,Penalty - Crowding,James Tamou,,,,Cowboys,25:11,Cowboys vs Rabbitohs,2014
32,Kick Bomb,Johnathan Thurston,,,,Cowboys,24:49,Cowboys vs Rabbitohs,2014
33,Interchange - Sin Bin Return,Johnathan Thurston,,,,Cowboys,21:24,Cowboys vs Rabbitohs,2014
34,Kick Bomb,Adam Reynolds,,,,Rabbitohs,21:19,Cowboys vs Rabbitohs,2014
35,Conversion-Made,Adam Reynolds,,,14-6,Rabbitohs,20:03,Cowboys vs Rabbitohs,2014
36,Try,Chris McQueen,,,14-4,Rabbitohs,19:00,Cowboys vs Rabbitohs,2014
37,Penalty - Crowding,Glenn Hall,,,,Cowboys,17:44,Cowboys vs Rabbitohs,2014
38,Interchange - Sin Bin Return,Antonio Winterstein,,,,Cowboys,15:19,Cowboys vs Rabbitohs,2014
39,Kick Bomb,Adam Reynolds,,,,Rabbitohs,15:15,Cowboys vs Rabbitohs,2014
40,Kick Bomb,Robert Lui,,,,Cowboys,12:42,Cowboys vs Rabbitohs,2014
41,Conversion-Missed,Johnathan Thurston,,,,Cowboys,09:47,Cowboys vs Rabbitohs,2014
42,Try,Antonio Winterstein,,,14-0,Cowboys,08:34,Cowboys vs Rabbitohs,2014
43,Linebreak,Antonio Winterstein,,,,Cowboys,08:33,Cowboys vs Rabbitohs,2014
44,Penalties - Other,Adam Reynolds,,,,Rabbitohs,07:22,Cowboys vs Rabbitohs,2014
45,Conversion-Missed,Johnathan Thurston,,,,Cowboys,06:51,Cowboys vs Rabbitohs,2014
46,Try,Tariq Sims,,,10-0,Cowboys,05:33,Cowboys vs Rabbitohs,2014
47,Linebreak,Tariq Sims,,,,Cowboys,05:33,Cowboys vs Rabbitohs,2014
48,Conversion-Made,Johnathan Thurston,,,6-0,Cowboys,02:59,Cowboys vs Rabbitohs,2014
49,Try,Matthew Wright,,,4-0,Cowboys,01:51,Cowboys vs Rabbitohs,2014
50,KICK OFF,,,,,,00:00,Cowboys vs Rabbitohs,2014
