,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Alex
                
                  Johnston",2.0,Fullback,,80:00,,-,-,-,-,-,-,-,,29.0,,14.0,148.0,50,,29.0,1,-,-,-,5,-,-,-,1,9,1,,1,-,9,25.0,0.64,,77.8%,7.0,1,1,-,4,,-,-,-,-,-,-,-,-,,-,-,1,-,-,-,-,,80:00,-,Rabbitohs,17,2014-07-07T09:00:00Z,Rabbitohs vs Titans,2014
1,,"Nathan
                
                  Merritt",1.0,Winger,,80:00,,-,-,-,-,-,-,-,,15.0,,5.0,68.0,14,,16.0,1,-,1,-,1,-,-,-,-,-,-,,1,-,4,10.0,0.8,,100%,1.0,-,-,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,17,2014-07-07T09:00:00Z,Rabbitohs vs Titans,2014
2,,"Dylan
                
                  Walker",20.0,Centre,,80:00,,-,-,-,-,-,-,-,,40.0,,15.0,157.0,-,,40.0,-,-,-,-,8,1,-,-,-,-,-,,2,-,9,22.0,0.6,,75%,12.0,2,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,17,2014-07-07T09:00:00Z,Rabbitohs vs Titans,2014
3,,"Kirisome
                
                  Auva'a",22.0,Centre,,80:00,,-,-,-,-,-,-,-,,16.0,,13.0,104.0,8,,37.0,-,1,-,-,-,-,-,-,1,5,-,,1,-,6,20.0,0.46,,92.3%,12.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,3,-,-,-,-,-,,80:00,-,Rabbitohs,17,2014-07-07T09:00:00Z,Rabbitohs vs Titans,2014
4,,"Lote
                
                  Tuqiri",16.0,Winger,,80:00,,-,-,-,-,-,-,-,,26.0,,9.0,105.0,43,,29.0,1,-,-,-,4,1,-,-,-,-,-,,-,1,2,14.0,0.22,,81.8%,9.0,1,1,-,2,,1,11,-,-,1,-,-,1,,-,-,-,2,-,-,-,,80:00,-,Rabbitohs,17,2014-07-07T09:00:00Z,Rabbitohs vs Titans,2014
5,,"Luke
                
                  Keary",23.0,Five-Eighth,,80:00,,4,1,-,-,-,-,-,,37.0,,8.0,80.0,12,,21.0,-,1,-,-,2,-,-,-,-,-,-,,1,3,43,52.0,5.38,,100%,17.0,-,-,-,-,,1,26,-,1,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,17,2014-07-07T09:00:00Z,Rabbitohs vs Titans,2014
6,,"Adam
                
                  Reynolds",7.0,Halfback,,80:00,,6,-,1,1,2,100%,-,,50.0,,3.0,29.0,3,,5.0,-,-,-,-,3,-,-,-,-,-,-,,1,1,35,47.0,11.67,,89.3%,25.0,2,1,-,-,,10,271,-,4,-,-,1,-,,-,1,-,1,-,-,-,,80:00,-,Rabbitohs,17,2014-07-07T09:00:00Z,Rabbitohs vs Titans,2014
7,,"George
                
                  Burgess",18.0,Prop,,35:00,,-,-,-,-,-,-,-,,31.0,,14.0,141.0,-,,52.0,-,-,-,-,-,14,-,-,-,-,-,,1,-,1,15.0,0.07,,96.6%,28.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,35:00,-,Rabbitohs,17,2014-07-07T09:00:00Z,Rabbitohs vs Titans,2014
8,,"Apisai
                
                  Koroisau",9.0,Hooker,,35:00,,-,-,-,-,-,-,-,,33.0,,4.0,57.0,-,,25.0,-,-,-,-,1,-,-,-,3,50,-,,1,2,53,56.0,13.25,,90%,27.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,35:00,-,Rabbitohs,17,2014-07-07T09:00:00Z,Rabbitohs vs Titans,2014
9,,"David
                
                  Tyrrell",10.0,Prop,,43:00,,-,-,-,-,-,-,-,,33.0,,15.0,118.0,17,,35.0,-,-,-,-,1,13,-,-,-,-,-,,1,-,-,15.0,-,,92.9%,26.0,-,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,43:00,-,Rabbitohs,17,2014-07-07T09:00:00Z,Rabbitohs vs Titans,2014
