,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Michael
                
                  Gordon",1.0,Fullback,,80:00,,10,1,3,3,-,100%,-,,47.0,,19.0,164.0,68,,68.0,1,1,1,-,5,3,-,-,-,-,-,,1,1,14,36.0,0.74,,50%,2.0,-,2,-,10,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sharks,18,2014-07-13T05:00:00Z,Sharks vs Knights,2014
1,,"Sosaia
                
                  Feki",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,19.0,,13.0,129.0,45,,44.0,1,-,-,-,-,2,-,-,1,15,-,,-,-,3,19.0,0.23,,100%,5.0,-,-,-,3,,1,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sharks,18,2014-07-13T05:00:00Z,Sharks vs Knights,2014
2,,"Jonathan
                
                  Wright",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,12.0,,12.0,99.0,-,,37.0,-,-,-,-,-,4,-,-,-,-,-,,1,-,4,14.0,0.33,,77.8%,14.0,4,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sharks,18,2014-07-13T05:00:00Z,Sharks vs Knights,2014
3,,"Ricky
                
                  Leutele",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,18.0,,9.0,87.0,-,,27.0,-,1,1,-,-,2,-,-,-,-,-,,-,-,12,19.0,1.33,,66.7%,12.0,4,2,-,-,,1,4,-,-,1,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Sharks,18,2014-07-13T05:00:00Z,Sharks vs Knights,2014
4,,"Jacob
                
                  Gagan",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,4.0,,10.0,102.0,15,,32.0,-,-,-,-,-,4,-,-,-,-,-,,-,-,-,11.0,-,,80%,4.0,1,-,-,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sharks,18,2014-07-13T05:00:00Z,Sharks vs Knights,2014
5,,"Fa'amanu
                
                  Brown",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,38.0,,10.0,62.0,7,,17.0,-,-,-,-,2,1,-,-,-,-,-,,1,6,29,41.0,2.9,,93.9%,31.0,2,-,-,1,,1,13,-,1,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sharks,18,2014-07-13T05:00:00Z,Sharks vs Knights,2014
6,,"Jeff
                
                  Robson",7.0,Halfback,,80:00,,4,1,-,-,-,-,-,,56.0,,3.0,11.0,-,,2.0,1,-,-,-,1,-,-,-,-,-,-,,-,6,44,62.0,14.67,,83.3%,20.0,3,1,-,-,,14,462,-,-,1,-,2,1,,-,-,-,-,-,-,-,,80:00,-,Sharks,18,2014-07-13T05:00:00Z,Sharks vs Knights,2014
7,,"Anthony
                
                  Tupou",17.0,Prop,,60:00,,-,-,-,-,-,-,-,,33.0,,5.0,64.0,-,,26.0,-,-,-,-,-,5,-,-,-,-,-,,-,2,2,7.0,0.4,,94.3%,33.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,60:00,-,Sharks,18,2014-07-13T05:00:00Z,Sharks vs Knights,2014
8,,"Michael
                
                  Lichaa",9.0,Hooker,,23:00,,-,-,-,-,-,-,-,,23.0,,4.0,28.0,-,,7.0,-,-,-,-,-,1,-,-,3,25,-,,3,-,35,40.0,8.75,,94.1%,16.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,23:00,-,Sharks,18,2014-07-13T05:00:00Z,Sharks vs Knights,2014
9,,"Bryce
                
                  Gibbs",10.0,Prop,,33:00,,-,-,-,-,-,-,-,,17.0,,9.0,80.0,10,,32.0,-,-,-,-,-,8,-,-,-,-,-,,-,-,1,10.0,0.11,,94.1%,16.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,33:00,-,Sharks,18,2014-07-13T05:00:00Z,Sharks vs Knights,2014
10,,"Luke
                
                  Lewis",11.0,2nd Row,,51:00,,-,-,-,-,-,-,-,,37.0,,13.0,117.0,-,,39.0,-,-,-,-,1,12,-,-,1,11,-,,1,1,3,19.0,0.23,,96.9%,31.0,1,-,-,-,,1,43,-,-,-,-,-,-,,-,1,-,3,-,-,-,,51:00,-,Sharks,18,2014-07-13T05:00:00Z,Sharks vs Knights,2014
11,,"Wade
                
                  Graham",12.0,2nd Row,,73:00,,-,-,-,-,-,-,-,,54.0,,14.0,174.0,-,,64.0,-,-,-,-,6,14,-,-,-,-,-,,-,1,9,25.0,0.64,,86.5%,32.0,2,3,-,-,,2,78,-,-,-,-,-,-,,-,-,-,1,-,-,-,,73:00,-,Sharks,18,2014-07-13T05:00:00Z,Sharks vs Knights,2014
12,,"Paul
                
                  Gallen",13.0,Lock,,65:00,,-,-,-,-,-,-,-,,39.0,,22.0,195.0,3,,67.0,-,-,-,-,2,20,-,-,-,-,-,,3,-,10,30.0,0.45,,93.5%,29.0,2,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,65:00,-,Sharks,18,2014-07-13T05:00:00Z,Sharks vs Knights,2014
13,,"Sam
                
                  Tagataese",8.0,Interchange,,27:00,,-,-,-,-,-,-,-,,23.0,,6.0,53.0,-,,20.0,-,-,-,-,2,6,-,-,-,-,-,,1,-,1,7.0,0.17,,94.1%,16.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,27:00,-,Sharks,18,2014-07-13T05:00:00Z,Sharks vs Knights,2014
14,,"Pat
                
                  Politoni",14.0,Interchange,,57:00,,-,-,-,-,-,-,-,,50.0,,3.0,19.0,8,,5.0,-,1,1,-,-,1,-,-,1,11,-,,-,-,52,54.0,17.33,,95.6%,43.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,57:00,-,Sharks,18,2014-07-13T05:00:00Z,Sharks vs Knights,2014
15,,"Tinirau
                
                  Arona",16.0,Interchange,,43:00,,-,-,-,-,-,-,-,,23.0,,7.0,62.0,-,,26.0,-,-,-,-,1,7,-,-,-,-,-,,-,-,2,9.0,0.29,,83.3%,20.0,2,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,43:00,-,Sharks,18,2014-07-13T05:00:00Z,Sharks vs Knights,2014
16,,"Andrew
                
                  Fifita",20.0,Interchange,,47:00,,-,-,-,-,-,-,-,,46.0,,17.0,158.0,27,,57.0,-,-,-,-,4,15,-,-,-,-,1,,1,-,1,18.0,0.06,,92.1%,35.0,3,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,47:00,-,Sharks,18,2014-07-13T05:00:00Z,Sharks vs Knights,2014
0,,"Darius
                
                  Boyd",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,22.0,,14.0,184.0,83,,65.0,-,-,-,-,3,1,-,-,2,25,-,,-,-,23,38.0,1.64,,72.7%,8.0,-,3,-,6,,1,1,-,-,-,-,1,-,,-,-,-,-,-,-,-,,80:00,-,Knights,18,2014-07-13T05:00:00Z,Sharks vs Knights,2014
1,,"James
                
                  McManus",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,1.0,,13.0,161.0,47,,63.0,-,-,-,-,-,1,-,-,-,-,-,,-,-,1,13.0,0.08,,50%,1.0,1,-,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Knights,18,2014-07-13T05:00:00Z,Sharks vs Knights,2014
2,,"Dane
                
                  Gagai",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,23.0,,17.0,114.0,-,,38.0,-,-,-,-,3,1,-,-,1,12,-,,1,-,10,23.0,0.59,,87.5%,14.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,1,-,-,-,-,,80:00,-,Knights,18,2014-07-13T05:00:00Z,Sharks vs Knights,2014
3,,"Joseph
                
                  Leilua",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,30.0,,12.0,129.0,-,,45.0,-,-,-,-,5,2,-,-,1,1,-,,2,-,6,19.0,0.5,,100%,11.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Knights,18,2014-07-13T05:00:00Z,Sharks vs Knights,2014
4,,"Akuila
                
                  Uate",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,34.0,,16.0,173.0,65,,55.0,-,-,-,-,5,1,-,-,1,9,-,,3,-,-,16.0,-,,100%,3.0,-,-,-,5,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Knights,18,2014-07-13T05:00:00Z,Sharks vs Knights,2014
5,,"Jarrod
                
                  Mullen",6.0,Five-Eighth,,80:00,,5,1,-,-,-,-,1,,54.0,,3.0,56.0,-,,4.0,-,-,1,-,2,-,-,-,-,-,-,,-,-,26,44.0,8.67,,83.3%,15.0,3,-,-,-,,15,374,-,8,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Knights,18,2014-07-13T05:00:00Z,Sharks vs Knights,2014
6,,"Kurt
                
                  Gidley",7.0,Halfback,,80:00,,14,1,5,5,-,100%,-,,68.0,,6.0,54.0,-,,14.0,1,1,1,-,3,-,-,-,-,-,-,,1,2,35,43.0,5.83,,90.3%,28.0,3,-,-,1,,3,73,-,-,1,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Knights,18,2014-07-13T05:00:00Z,Sharks vs Knights,2014
7,,"Kade
                
                  Snowden",8.0,Prop,,41:00,,-,-,-,-,-,-,-,,33.0,,16.0,189.0,67,,68.0,-,-,-,-,1,12,-,-,-,-,-,,-,-,2,18.0,0.12,,91.2%,31.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,41:00,-,Knights,18,2014-07-13T05:00:00Z,Sharks vs Knights,2014
8,,"Adam
                
                  Clydsdale",9.0,Hooker,,27:00,,-,-,-,-,-,-,-,,27.0,,3.0,39.0,-,,16.0,-,-,-,-,1,1,-,-,2,23,-,,-,-,43,46.0,14.33,,95.8%,23.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,27:00,-,Knights,18,2014-07-13T05:00:00Z,Sharks vs Knights,2014
9,,"Willie
                
                  Mason",10.0,Prop,,40:00,,4,1,-,-,-,-,-,,38.0,,6.0,57.0,-,,24.0,1,-,-,-,-,6,-,-,-,-,-,,-,-,1,9.0,0.17,,86.7%,26.0,2,2,-,-,,1,6,-,-,1,-,-,-,,-,-,-,-,-,-,-,,40:00,-,Knights,18,2014-07-13T05:00:00Z,Sharks vs Knights,2014
10,,"Beau
                
                  Scott",11.0,2nd Row,,52:00,,4,1,-,-,-,-,-,,44.0,,8.0,73.0,-,,25.0,1,-,-,-,2,7,-,-,-,-,-,,1,-,1,9.0,0.12,,91.3%,21.0,-,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,52:00,-,Knights,18,2014-07-13T05:00:00Z,Sharks vs Knights,2014
11,,"Robbie
                
                  Rochow",12.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,30.0,,12.0,119.0,-,,51.0,-,-,-,-,-,12,-,-,-,-,-,,-,-,1,13.0,0.08,,88.2%,30.0,2,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Knights,18,2014-07-13T05:00:00Z,Sharks vs Knights,2014
12,,"Jeremy
                
                  Smith",13.0,Lock,,52:00,,-,-,-,-,-,-,-,,45.0,,12.0,132.0,11,,55.0,1,-,-,-,2,11,-,-,-,-,-,,2,-,4,16.0,0.33,,94.3%,33.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,52:00,-,Knights,18,2014-07-13T05:00:00Z,Sharks vs Knights,2014
13,,"Tyrone
                
                  Roberts",14.0,Interchange,,53:00,,-,-,-,-,-,-,-,,37.0,,2.0,18.0,-,,3.0,-,1,1,-,-,1,-,-,-,-,-,,1,2,78,83.0,39,,81.1%,30.0,5,2,-,-,,1,22,-,-,-,-,-,-,,-,2,-,-,-,-,-,,53:00,-,Knights,18,2014-07-13T05:00:00Z,Sharks vs Knights,2014
14,,"Chris
                
                  Houston",15.0,Interchange,,58:00,,-,-,-,-,-,-,-,,37.0,,12.0,101.0,-,,43.0,-,-,-,-,-,12,-,-,-,-,-,,-,-,3,16.0,0.25,,90.2%,37.0,2,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,58:00,-,Knights,18,2014-07-13T05:00:00Z,Sharks vs Knights,2014
15,,"Korbin
                
                  Sims",18.0,Interchange,,36:00,,-,-,-,-,-,-,-,,18.0,,12.0,128.0,-,,58.0,-,-,-,-,-,12,-,-,-,-,-,,-,-,-,12.0,-,,100%,18.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,36:00,-,Knights,18,2014-07-13T05:00:00Z,Sharks vs Knights,2014
16,,"David
                
                  Fa'alogo",19.0,Interchange,,41:00,,-,-,-,-,-,-,-,,36.0,,13.0,149.0,13,,52.0,1,-,1,-,-,10,-,-,-,-,-,,-,-,2,14.0,0.15,,92.3%,24.0,-,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,41:00,-,Knights,18,2014-07-13T05:00:00Z,Sharks vs Knights,2014
