,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"William
                
                  Zillman",1.0,Fullback,,69:00,,-,-,-,-,-,-,-,,16.0,,17.0,157.0,62,,46.0,-,-,-,-,2,2,-,-,-,-,-,,2,1,16,35.0,0.94,,50%,3.0,1,2,-,6,,1,41,-,-,-,-,-,-,,-,-,-,-,-,-,-,,69:00,-,Titans,18,2014-07-13T04:00:00Z,Titans vs Raiders,2014
1,,"Kevin
                
                  Gordon",2.0,Winger,,78:00,,8,1,2,4,-,50%,-,,28.0,,10.0,78.0,-,,19.0,1,-,-,-,2,-,-,-,1,10,-,,-,-,3,15.0,0.3,,83.3%,5.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,78:00,-,Titans,18,2014-07-13T04:00:00Z,Titans vs Raiders,2014
2,,"James
                
                  Roberts",3.0,Centre,,78:00,,4,1,-,-,-,-,-,,39.0,,7.0,55.0,-,,15.0,1,-,-,-,1,-,-,-,-,-,-,,2,1,7,16.0,1,,81.8%,18.0,1,3,-,-,,1,-,-,-,1,-,-,-,,-,-,-,3,-,-,-,,78:00,-,Titans,18,2014-07-13T04:00:00Z,Titans vs Raiders,2014
3,,"Brad
                
                  Takairangi",4.0,Centre,,78:00,,-,-,-,-,-,-,-,,19.0,,7.0,86.0,-,,41.0,-,1,1,-,1,-,-,-,2,25,-,,1,-,6,13.0,0.86,,61.5%,8.0,3,2,-,-,,1,8,-,-,1,-,-,-,,-,1,-,-,-,-,-,,78:00,-,Titans,18,2014-07-13T04:00:00Z,Titans vs Raiders,2014
4,,"Kalifa
                
                  Faifai Loa",22.0,Winger,,78:00,,8,2,-,-,-,-,-,,25.0,,18.0,154.0,16,,54.0,1,-,-,-,-,3,-,-,3,30,-,,1,-,3,21.0,0.17,,75%,3.0,1,-,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,78:00,-,Titans,18,2014-07-13T04:00:00Z,Titans vs Raiders,2014
5,,"Maurice
                
                  Blair",6.0,Five-Eighth,,65:00,,-,-,-,-,-,-,-,,23.0,,5.0,49.0,-,,17.0,-,-,-,-,1,1,-,-,1,11,-,,-,-,22,29.0,4.4,,87.5%,14.0,1,1,-,-,,5,108,-,1,1,-,-,-,,-,-,-,-,-,-,-,,65:00,-,Titans,18,2014-07-13T04:00:00Z,Titans vs Raiders,2014
6,,"Daniel
                
                  Mortimer",7.0,Halfback,,78:00,,-,-,-,-,-,-,-,,44.0,,7.0,35.0,1,,5.0,-,-,-,-,-,-,-,-,1,5,-,,2,2,25,42.0,3.57,,84.8%,28.0,3,2,-,2,,8,255,-,2,-,-,2,-,,-,-,-,-,-,-,-,,78:00,-,Titans,18,2014-07-13T04:00:00Z,Titans vs Raiders,2014
7,,"Luke
                
                  Bailey",8.0,Prop,,50:00,,-,-,-,-,-,-,-,,19.0,,16.0,165.0,39,,55.0,-,-,-,-,1,13,-,-,-,-,-,,1,-,1,15.0,0.06,,73.7%,14.0,3,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,50:00,-,Titans,18,2014-07-13T04:00:00Z,Titans vs Raiders,2014
8,,"Beau
                
                  Falloon",9.0,Hooker,,78:00,,-,-,-,-,-,-,-,,37.0,,3.0,16.0,-,,3.0,-,-,-,-,1,-,-,-,3,16,-,,-,1,90,93.0,30,,87.5%,28.0,1,3,-,-,,2,82,-,-,-,-,-,-,,-,-,-,-,-,-,-,,78:00,-,Titans,18,2014-07-13T04:00:00Z,Titans vs Raiders,2014
9,,"Luke
                
                  Douglas",10.0,Prop,,39:00,,-,-,-,-,-,-,-,,20.0,,6.0,30.0,-,,11.0,-,-,-,-,-,6,-,-,-,-,-,,-,-,3,9.0,0.5,,83.3%,20.0,2,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,39:00,-,Titans,18,2014-07-13T04:00:00Z,Titans vs Raiders,2014
