,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Dragons vs Sea Eagles,2014
1,Penalty - Offside General,Tom Symonds,,,,Sea Eagles,79:22,Dragons vs Sea Eagles,2014
2,Conversion-Missed,Gareth Widdop,,,,Dragons,77:22,Dragons vs Sea Eagles,2014
3,Try,Jason Nightingale,,,12-21,Dragons,76:58,Dragons vs Sea Eagles,2014
4,Linebreak,Jason Nightingale,,,,Dragons,76:58,Dragons vs Sea Eagles,2014
5,Eagles Interchange - Sin Bin Return,Jesse Sene-Lefao,,,,Sea,76:41,Dragons vs Sea Eagles,2014
6,Linebreak,Joel Thompson,,,,Dragons,75:46,Dragons vs Sea Eagles,2014
7,Eagles Interchange - Sin Bin Return,Steve Matai,,,,Sea,75:30,Dragons vs Sea Eagles,2014
8,Penalties - Other,Steve Matai,,,,Sea Eagles,75:27,Dragons vs Sea Eagles,2014
9,Drop Goal-Made,Daly Cherry-Evans,,,8-21,Sea Eagles,75:17,Dragons vs Sea Eagles,2014
10,Line Dropout,Gareth Widdop,,,,Dragons,74:41,Dragons vs Sea Eagles,2014
11,Penalty Shot-Missed,Jamie Lyon,,,,Sea Eagles,74:18,Dragons vs Sea Eagles,2014
12,Penalty - Hand in the Ruck,Joel Thompson,,,,Dragons,73:01,Dragons vs Sea Eagles,2014
13,Interchange - Sin Bin Return,Josh Dugan,,,,Dragons,72:10,Dragons vs Sea Eagles,2014
14,Line Dropout,Daly Cherry-Evans,,,,Sea Eagles,72:07,Dragons vs Sea Eagles,2014
15,Line Dropout,Daly Cherry-Evans,,,,Sea Eagles,69:07,Dragons vs Sea Eagles,2014
16,Line Dropout,Daly Cherry-Evans,,,,Sea Eagles,67:38,Dragons vs Sea Eagles,2014
17,Line Dropout,Daly Cherry-Evans,,,,Sea Eagles,65:43,Dragons vs Sea Eagles,2014
18,Penalty - Slow Peel,Will Matthews,,,,Dragons,61:34,Dragons vs Sea Eagles,2014
19,Conversion-Missed,Jamie Lyon,,,,Sea Eagles,60:45,Dragons vs Sea Eagles,2014
20,Try,Jorge Taufua,,,8-20,Sea Eagles,59:05,Dragons vs Sea Eagles,2014
21,Linebreak,Jorge Taufua,,,,Sea Eagles,59:05,Dragons vs Sea Eagles,2014
22,Interchange - Sin Bin Return,Adam Quinlan,,,,Dragons,57:46,Dragons vs Sea Eagles,2014
23,Kick Bomb,Daly Cherry-Evans,,,,Sea Eagles,57:42,Dragons vs Sea Eagles,2014
24,Interchange - Sin Bin Return,Mike Cooper,,,,Dragons,56:50,Dragons vs Sea Eagles,2014
25,Kick Bomb,Benji Marshall,,,,Dragons,56:44,Dragons vs Sea Eagles,2014
26,Conversion-Made,Jamie Lyon,,,8-16,Sea Eagles,54:33,Dragons vs Sea Eagles,2014
27,Try,Tom Symonds,,,8-14,Sea Eagles,52:57,Dragons vs Sea Eagles,2014
28,Linebreak,Tom Symonds,,,,Sea Eagles,52:57,Dragons vs Sea Eagles,2014
29,Interchange - Sin Bin Return,Brett Morris,,,,Dragons,51:19,Dragons vs Sea Eagles,2014
30,Penalty - Flop,Anthony Watmough,,,,Sea Eagles,49:26,Dragons vs Sea Eagles,2014
31,Penalty - Crowding,Josh Dugan,,,,Dragons,47:16,Dragons vs Sea Eagles,2014
32,Penalty - Holding Down,Brenton Lawrence,,,,Sea Eagles,45:21,Dragons vs Sea Eagles,2014
33,Penalty - Offside General,Josh Dugan,,,,Dragons,43:25,Dragons vs Sea Eagles,2014
34,Penalty - Slow Peel,Jason Nightingale,,,,Dragons,42:03,Dragons vs Sea Eagles,2014
35,Interchange - Sin Bin Return,Joel Thompson,,,,Dragons,38:42,Dragons vs Sea Eagles,2014
36,Conversion-Made,Gareth Widdop,,,8-10,Dragons,37:39,Dragons vs Sea Eagles,2014
37,Try,Benji Marshall,,,6-10,Dragons,36:12,Dragons vs Sea Eagles,2014
38,Linebreak,Benji Marshall,,,,Dragons,36:10,Dragons vs Sea Eagles,2014
39,Penalty - Hand in the Ruck,Jason King,,,,Sea Eagles,35:32,Dragons vs Sea Eagles,2014
40,Penalty - Obstruction,Jamie Buhrer,,,,Sea Eagles,33:00,Dragons vs Sea Eagles,2014
41,Line Dropout,Gareth Widdop,,,,Dragons,32:33,Dragons vs Sea Eagles,2014
42,Line Dropout,Gareth Widdop,,,,Dragons,30:58,Dragons vs Sea Eagles,2014
43,Penalty - Dangerous Tackle,Joel Thompson,,,,Dragons,29:00,Dragons vs Sea Eagles,2014
44,Kick Bomb,Benji Marshall,,,,Dragons,27:53,Dragons vs Sea Eagles,2014
45,Kick Bomb,Gareth Widdop,,,,Dragons,25:53,Dragons vs Sea Eagles,2014
46,Conversion-Missed,Jamie Lyon,,,,Sea Eagles,23:11,Dragons vs Sea Eagles,2014
47,Try,Kieran Foran,,,2-10,Sea Eagles,22:22,Dragons vs Sea Eagles,2014
48,Linebreak,Steve Matai,,,,Sea Eagles,22:19,Dragons vs Sea Eagles,2014
49,Conversion-Made,Jamie Lyon,,,2-6,Sea Eagles,20:56,Dragons vs Sea Eagles,2014
50,Try,Steve Matai,,,2-4,Sea Eagles,19:14,Dragons vs Sea Eagles,2014
51,Linebreak,Steve Matai,,,,Sea Eagles,19:14,Dragons vs Sea Eagles,2014
52,Penalty - Crowding,Ben Creagh,,,,Dragons,13:33,Dragons vs Sea Eagles,2014
53,Kick Bomb,Gareth Widdop,,,,Dragons,11:01,Dragons vs Sea Eagles,2014
54,Penalty Shot-Made,Gareth Widdop,,,2-0,Dragons,07:54,Dragons vs Sea Eagles,2014
55,Penalty - Slow Peel,Daly Cherry-Evans,,,,Sea Eagles,06:38,Dragons vs Sea Eagles,2014
