,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Sharks vs Cowboys,2014
1,Interchange - Sin Bin Return,Jonathan Wright,,,,Sharks,76:34,Sharks vs Cowboys,2014
2,Penalty - 2nd Effort,Robert Lui,,,,Cowboys,75:40,Sharks vs Cowboys,2014
3,Conversion-Made,Michael Gordon,,,18-36,Sharks,74:37,Sharks vs Cowboys,2014
4,Try,Michael Gordon,,,16-36,Sharks,73:49,Sharks vs Cowboys,2014
5,Linebreak,Michael Gordon,,,,Sharks,73:49,Sharks vs Cowboys,2014
6,Penalty - Offside Downtown,Ray Thompson,,,,Cowboys,72:50,Sharks vs Cowboys,2014
7,Kick Bomb,Robert Lui,,,,Cowboys,72:45,Sharks vs Cowboys,2014
8,Linebreak,Sosaia Feki,,,,Sharks,71:20,Sharks vs Cowboys,2014
9,Interchange - Sin Bin Return,Tariq Sims,,,,Cowboys,70:03,Sharks vs Cowboys,2014
10,Linebreak,Michael Morgan,,,,Cowboys,69:54,Sharks vs Cowboys,2014
11,Conversion-Made,Johnathan Thurston,,,12-36,Cowboys,68:59,Sharks vs Cowboys,2014
12,Try,Johnathan Thurston,,,12-34,Cowboys,67:25,Sharks vs Cowboys,2014
13,Linebreak,Anthony Tupou,,,,Sharks,65:42,Sharks vs Cowboys,2014
14,Penalty - Ball Strip,Tautau Moga,,,,Cowboys,64:49,Sharks vs Cowboys,2014
15,Conversion-Made,Johnathan Thurston,,,12-30,Cowboys,63:19,Sharks vs Cowboys,2014
16,Try,Glenn Hall,,,12-28,Cowboys,61:56,Sharks vs Cowboys,2014
17,Linebreak,Glenn Hall,,,,Cowboys,61:55,Sharks vs Cowboys,2014
18,Kick Bomb,Johnathan Thurston,,,,Cowboys,57:34,Sharks vs Cowboys,2014
19,Conversion-Made,Johnathan Thurston,,,12-24,Cowboys,56:21,Sharks vs Cowboys,2014
20,Try,Michael Morgan,,,12-22,Cowboys,55:23,Sharks vs Cowboys,2014
21,Linebreak,Michael Morgan,,,,Cowboys,55:23,Sharks vs Cowboys,2014
22,Line Dropout,Fa'amanu Brown,,,,Sharks,54:32,Sharks vs Cowboys,2014
23,Penalty - Offside inside 10m,Pat Politoni,,,,Sharks,50:38,Sharks vs Cowboys,2014
24,Penalty - Ball Strip,Anthony Tupou,,,,Sharks,49:47,Sharks vs Cowboys,2014
25,Penalty Shot-Made,Johnathan Thurston,,,12-18,Cowboys,49:09,Sharks vs Cowboys,2014
