,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Peta
                
                  Hiku",1.0,Fullback,,79:00,,-,-,-,-,-,-,-,,27.0,,12.0,135.0,106,,30.0,-,-,-,-,5,2,-,-,-,-,-,,2,2,7,21.0,0.58,,100%,5.0,-,-,-,6,,1,20,-,-,1,-,-,1,,-,-,-,-,-,-,-,,79:00,-,Sea,2,2014-03-14T08:40:00Z,Sea Eagles vs Rabbitohs,2014
1,,"Cheyse
                
                  Blair",2.0,Winger,,79:00,,4,1,-,-,-,-,-,,28.0,,12.0,105.0,9,,33.0,1,-,-,-,4,3,-,-,2,22,-,,-,-,2,15.0,0.17,,50%,2.0,1,1,1,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,79:00,-,Sea,2,2014-03-14T08:40:00Z,Sea Eagles vs Rabbitohs,2014
2,,"Jamie
                
                  Lyon",3.0,Centre,,79:00,,6,-,1,2,2,75%,-,,30.0,,10.0,77.0,-,,23.0,-,-,-,-,2,-,-,-,-,-,-,,1,-,9,20.0,0.9,,94.7%,18.0,-,1,-,-,,1,31,-,-,-,-,-,-,,-,-,-,-,-,-,-,,79:00,-,Sea,2,2014-03-14T08:40:00Z,Sea Eagles vs Rabbitohs,2014
3,,"Steve
                
                  Matai",4.0,Centre,,79:00,,-,-,-,-,-,-,-,,21.0,,13.0,146.0,-,,56.0,-,1,1,-,3,4,-,-,-,-,-,,1,1,5,17.0,0.38,,71.4%,5.0,2,-,1,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,79:00,-,Sea,2,2014-03-14T08:40:00Z,Sea Eagles vs Rabbitohs,2014
4,,"David
                
                  Williams",5.0,Winger,,79:00,,-,-,-,-,-,-,-,,13.0,,8.0,93.0,17,,12.0,-,-,-,-,2,3,-,-,1,7,-,,1,-,2,11.0,0.25,,50%,2.0,1,1,1,3,,1,20,-,-,1,-,-,-,,-,-,-,-,-,-,-,,79:00,-,Sea,2,2014-03-14T08:40:00Z,Sea Eagles vs Rabbitohs,2014
5,,"Kieran
                
                  Foran",6.0,Five-Eighth,,79:00,,-,-,-,-,-,-,-,,26.0,,10.0,84.0,-,,25.0,-,-,-,-,1,2,-,-,1,4,-,,-,3,26,37.0,2.6,,81.8%,18.0,3,1,-,1,,5,131,-,1,-,-,2,1,,-,-,-,-,-,-,-,,79:00,-,Sea,2,2014-03-14T08:40:00Z,Sea Eagles vs Rabbitohs,2014
6,,"Daly
                
                  Cherry-Evans",7.0,Halfback,,79:00,,4,1,-,-,-,-,-,,47.0,,9.0,100.0,31,,23.0,-,-,-,-,2,-,-,-,1,5,-,,1,3,33,51.0,3.67,,89.5%,17.0,2,-,-,1,,9,311,-,2,1,-,-,-,,-,2,-,1,-,-,-,,79:00,-,Sea,2,2014-03-14T08:40:00Z,Sea Eagles vs Rabbitohs,2014
7,,"Josh
                
                  Starling",8.0,Prop,,35:00,,-,-,-,-,-,-,-,,24.0,,9.0,52.0,16,,13.0,-,-,-,-,1,7,-,-,-,-,-,,-,-,2,11.0,0.22,,95.5%,21.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,35:00,-,Sea,2,2014-03-14T08:40:00Z,Sea Eagles vs Rabbitohs,2014
8,,"Matt
                
                  Ballin",9.0,Hooker,,79:00,,-,-,-,-,-,-,-,,56.0,,6.0,61.0,-,,22.0,-,-,-,-,-,1,-,-,4,47,-,,-,3,92,99.0,15.33,,88.3%,53.0,3,4,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,79:00,-,Sea,2,2014-03-14T08:40:00Z,Sea Eagles vs Rabbitohs,2014
9,,"Brenton
                
                  Lawrence",10.0,Prop,,47:00,,-,-,-,-,-,-,-,,39.0,,12.0,87.0,8,,25.0,-,-,-,-,-,11,-,-,-,-,-,,1,-,-,14.0,-,,87.5%,35.0,2,3,-,-,,-,-,-,-,-,-,-,-,,-,2,-,-,-,-,-,,47:00,-,Sea,2,2014-03-14T08:40:00Z,Sea Eagles vs Rabbitohs,2014
