,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Sam
                
                  Perrett",23.0,Fullback,,80:00,,-,-,-,-,-,-,-,,14,,14,127,85,,34,-,-,-,-,3,-,-,-,2,23,-,,-,-,18,33,1.29,,75%,6,2,-,-,10,,1,5,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,20,2014-07-26T09:30:00Z,Bulldogs vs Cowboys,2014
1,,"Corey
                
                  Thompson",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,15,,11,95,21,,21,1,-,-,-,2,1,-,-,1,11,-,,1,-,2,15,0.18,,80%,4,1,-,-,2,,2,18,-,-,1,-,-,1,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,20,2014-07-26T09:30:00Z,Bulldogs vs Cowboys,2014
2,,"Moses
                
                  Mbye",6.0,Centre,,80:00,,-,-,-,-,-,-,-,,15,,10,88,-,,41,-,1,1,-,1,2,-,-,1,4,-,,-,-,10,21,1,,66.7%,8,4,-,-,-,,1,21,1,-,1,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Bulldogs,20,2014-07-26T09:30:00Z,Bulldogs vs Cowboys,2014
3,,"Timoteo
                
                  Lafai",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,34,,18,174,9,,50,-,-,-,-,6,-,-,-,1,3,-,,-,1,9,24,0.5,,80%,12,-,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,20,2014-07-26T09:30:00Z,Bulldogs vs Cowboys,2014
4,,"Mitch
                
                  Brown",1.0,Winger,,80:00,,4,1,-,-,-,-,-,,23,,10,102,48,,32,1,-,-,-,2,1,-,-,3,24,-,,-,-,4,15,0.4,,60%,3,1,1,-,5,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,20,2014-07-26T09:30:00Z,Bulldogs vs Cowboys,2014
5,,"Tony
                
                  Williams",12.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,17,,14,148,-,,74,-,-,-,-,2,9,-,-,1,13,-,,1,1,18,33,1.29,,90.9%,10,1,-,-,-,,1,6,-,-,1,-,-,-,,-,-,-,1,1,-,-,,80:00,-,Bulldogs,20,2014-07-26T09:30:00Z,Bulldogs vs Cowboys,2014
6,,"Trent
                
                  Hodkinson",7.0,Halfback,,80:00,,4,-,2,2,-,100%,-,,46,,2,19,-,,6,-,1,1,-,-,-,-,-,-,-,-,,-,2,33,45,16.5,,96%,24,1,-,-,-,,9,252,1,2,-,-,2,-,,-,1,-,-,-,-,-,,80:00,-,Bulldogs,20,2014-07-26T09:30:00Z,Bulldogs vs Cowboys,2014
7,,"Sam
                
                  Kasiano",8.0,Prop,,51:00,,-,-,-,-,-,-,-,,33,,10,108,34,,41,-,-,-,-,1,7,-,-,-,-,-,,3,-,3,13,0.3,,84.4%,27,4,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,51:00,-,Bulldogs,20,2014-07-26T09:30:00Z,Bulldogs vs Cowboys,2014
8,,"Michael
                
                  Ennis",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,51,,3,10,-,,6,-,-,-,-,-,-,-,-,3,10,-,,-,2,109,113,36.33,,95.7%,45,1,1,-,-,,3,123,-,-,-,-,-,1,,-,-,-,1,-,-,-,,80:00,-,Bulldogs,20,2014-07-26T09:30:00Z,Bulldogs vs Cowboys,2014
9,,"James
                
                  Graham",10.0,Prop,,70:00,,-,-,-,-,-,-,-,,43,,17,154,19,,49,-,-,-,-,3,16,-,-,-,-,-,,-,-,14,31,0.82,,97%,32,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,70:00,-,Bulldogs,20,2014-07-26T09:30:00Z,Bulldogs vs Cowboys,2014
